artist,song,link,text
Arminder Gill,Yaariyan,/a/arminder+gill/yaariyan_21051427.html,"Assi Gabru Punjabi Dil Jihde Naal Laaiye, 
Ohnu Chadh Ke Na Jaaiye Ni
Jadon Kar Laiye Pyaar, Saare Kaul Karaar, 
Poore Karke Vikhaye Ni
Paanwe Kare Jag Vayr, Picche Karida Ni Payr, 
Assi Todh Chadhaiye Ni
Jihnu Dil Ch Vasaiye, Ohnu Jind Vi Banaiye, 
Kade Akh Na Churaiye Ni
Laggian Laa Ke, Apna Keh K
Sajna Toh Na Kade Mukh Partaiye Ni

Laaiye Je Yaarian
Phir Laa Ke Todh Nibhaiye Ni
Muk Jaave Paanwe Jaan Eh
Par Yaar Toh Door Na Jaaiye Ni (x2)

Sachiyan Preetan Jadon La Laiye, 
Sajna Nu Nayi Azmaayida
Dil Jadon Dil Na Vata Laiye, 
Hath Nayion Apna Chudaayida
Sohne Paanwe Mil Jaan Lakh Ni, 
Kade Ni Yaar Vataayida
Nachna Je Pai Je Bann Ghungru, 
Nach Ke Vi Yaar Manaayida
Je Naa Hove, Sohna Raazi
Ik Pal Vi Na, Kite Chain Na Paaiye Ni

Laaiye Je Yaarian
Phir Laa Ke Todh Nibhaiye Ni
Muk Jaave Paanwe Jaan Eh
Par Yaar Toh Door Na Jaaiye Ni (x2)

Tereyan Khayalan Vich Langde, 
Din Mere Inj Jiven Raat Ni
Akkhiyan Ch Rehan Tere Supne, 
Karda Rawa Teri Baat Ni, 
Ishq Na Mangdaiye Jag Nu, 
Ishq Na Puchdaiye Zaat Ni
Mangeaiye Tenu Assi Rab Ton, 
Akkhiyan Ch Lai Jazbaat Ni
Ik Tu Howey, Ik Main Howan
Dove Saare Jag Nu Bhul Jaaiye Ni

Laaiye Je Yaarian
Phir Laa Ke Todh Nibhaiye Ni
Muk Jaave Paanwe Jaan Eh
Par Yaar Toh Door Na Jaaiye Ni (x2)"
Atif Aslam,Aa Bhi Ja Sanam,/a/atif+aslam/aa+bhi+ja+sanam_20873639.html,"Aaa... 
Aa bhi ja sanam yun na kar sitam
Teri baahon mein... 
Aa bhi ja sanam yun na kar sitam
Teri baahon mein marr mitenge hum
Aa bhi ja sanam yun na kar sitam
Teri baahon mein, marr mitenge... hum

Baahon mein koi chehra hoga
Chehre pe mera pehra hoga
Aawarapan kahe hai mujhse
Sach ho jaaye ga tera mera jo hai ye saara sapna

Aa bhi ja sanam yun na kar sitam
Teri baahon mein marr mitenge hum
Aa bhi ja sanam yun na kar sitam
Teri baahon mein, marr mitenge... hum"
Atif Aslam,Aadat,/a/atif+aslam/aadat_20539568.html,"Juda hoke bhi... tu mujhme kahi baki hainnn...
Palkome banke aaAnsooOn... tu chali aati haiii...
Juda hoke bhiii...

Waise zinda hoon aay zindagi
Bin tere meinnn...
Dard hi dard baki raHaAn hai
SeEneEy meinnn...

Saans lena barhir yahan
Jeena nahi haiii...
Ab to aadat si hai mujhKOoo
Aise jineEy meinnn...

Juda hoke bhi... tu mujhme kahi baki hainnn...
Palkome banke aaAnsooOn... tu chali aati haiii...

Saat mere hai tuu hur pal
Shabke andhere meinnn...
Paas mere hai tu hur dumm
Ujhle sawaAreEy meinnn...

Dil se dhadkan bhuladena
Aasaan nahii hainnn...
Ab to aadat si hai mujhKOoo
Aise jiney meinnnn...

Juda hoke bhi... tu mujhme kahi baki hainnn...
Palko mein banke aaAnsooOn... tu chali aati haiii...

AaaAaaaAaa...
Ab to aadat sii hain mujhKOoo aisee jineEy meinnn...
HeheeeEeee... hohoooOooo... AaaaAaaaAaa... OoOoooOooo...

Yei jo yadein hain (2)
Sabhi kaAnte haiiinnn...
KatAdo innhain (2)
Mitado innhaiii...

AaaaAaAaaaAa... OoOoooOoooOooOOO...
Ab to aadat si hain mujhKOooOoOoo..."
Atif Aslam,Ankhon Say,/a/atif+aslam/ankhon+say_20660873.html,"Ankho say jabhi ho teri ankhein juda
Mann say jub bhi ho tera man khaffa
Tou jee pukaray
Pukarey tujhay
Tou mann ghabrai
Bulai tujhay

Dil harey pukarey tujhay
Mann jaa ray mana lay mujhay
Sunn pyarey laga ley galay
Kho jaa ray tu gaa ray sung ray

Teray bina zindagi lagay ek saza
Tera sath ho yeh saza lagay ek jaza
Tou barhtey jai
Rastey saray
Duniya peechay
Hum hain aagay

Dil harey pukarey tujhay
Mann jaa ray mana lay mujhay
Sunn pyarey laga lay galay
Kho jaa ray tu gaa ray sung ray

Sagar sa
Yeh mann dolay
Tu jo ho tou
Yeh dil behlay

Kay dil harey pukarey tujhay
Mann jaa ray mana lay mujhay
Sunn pyarey laga lay galay
Kho jaa ray tu gaa ray sung ray

Dil harey"
Atif Aslam,Bakhuda Tumhi Ho,/a/atif+aslam/bakhuda+tumhi+ho_21059756.html,"Tu hi ehsason mein, 
Tu hi jazbaton mein, 
Tu hi lamhaton mein, 
Tu hi din raaton mein

Bakhuda tumhi ho, 
Har jagah tumhi ho, 
Haan mein dekhua jahan jab, 
Uss jagah tumhi ho, 
Yeh jahan tumhi ho, 
Wo jahan tumhi ho, 
Iss zameen se falak ke, 
Darmiyaann tumhi ho, 
Tum hi ho, beshumaar, 
Tum hi ho
Tum hi ho, mujh mein haan, 
Tum hi ho Tum hi ho

Kaise bataye tumhe, 
Aur kis tarah yeh, 
Kitna tumhe hum chahte hai, 
Saaya bhi tera dikhe, 
To paas jaake, 
Usmein simat hum jaate hai, 

Raasta tum hi ho, 
Rehnuman tum hi ho, 
Jiski khwahish hai humko, 
Wo panah tum hi ho, 
Tum hi ho, beshumaar, 
Tum hi ho
Tum hi ho, mujh mein haan, 
Tum hi ho

Tum hi ehsason mein, 
Tum hi jazbaton mein, 
Tum hi lamhaton mein, 
Tum hi din raaton mein... 

Kaise bataye tumhe, 
Shab mein tumhare, 
Khwaab haseen jo aate hai, 
Kaise bataye tumhe, 
Lamz wo saare, 
Jism ko jo mehkate hai

Iftida tum hi ho
Intehaan tum hi to
Tum ho jeene ka maksad
Aur wajah tum hi ho... 

Bakhuda tumhi ho, 
Har jagah tumhi ho, 
Haan mein dekhua jahan jab, 
Uss jagah tumhi ho, 
Yeh jahan tumhi ho, 
Wo jahan tumhi ho, 
Iss zameen se falak ke, 
Darmiyaann tumhi ho, 
Tum hi ho, beshumaar, 
Tum hi ho
Tum hi ho, mujh mein haan, 
Tum hi ho Tum hi ho"
Atif Aslam,Bheegi Yaadein,/a/atif+aslam/bheegi+yaadein_21569139.html,"Bheegi bheegi yaadein
Bheegi bheegi yaadein

Naa main jaanu
Naa tu jaane
Kaisa hai yeh aalam
Koi naa jaane

Phir kyun hai yeh tanhayi
Kaisi hai yeh russwaai
Ghum ho gaye tum
Kho gaye hum

Lahmheyyy

Aandhi ho ya tufan ho
Mere maan mein rahe tu sada
Koi apna ho ya paraya ho
Usse dhoondoo main kahan
Toh kyu hai yeh tanhaiye
Kaisi hai yeh ruswaai
Ghum ho gaye tum
Kho gaye hum

Lamhey... raatein
Koi naa jaane
Thi kaisi baatein
Woh barasatein
Woh bheegi bheegi yaadein
Woh bheegi bheegi yaadein

Sagar ki in lehron se gehra hai mera pyar
Sehraaon ki hawaaon mein kaise aayegi bahaar
Phir kyun hai yeh tanhaiye
Kaisi hai yeh russwaai
Ghum ho gaye hum

Lamhey... woh raatein
Koi naa janey
Thi kaisi baatein
Woh barasatein
Woh bheegi bheegi yaadein...
Woh bheegi bheegi yaadein

Who lamhey woh raatein
Koi naa jaaney..
Bheegi raatein
Bheegi yaadein
Woh lamhe wo raatein
Koi na jaane...
Bheegi yaadein
Wo lamhe wo raatein
Koi na jaane
Bheegi yaadein

Wo lamhe"
Atif Aslam,Chalte Chalte,/a/atif+aslam/chalte+chalte_21627649.html,"ये चेहरे इश्क ना जाने
ये परदे हटा देती है
जहां दिल का है ठिकाना
ये राहें बता देती है

मुसाफ़िर मैं हूँ फिर भी
मंजिल पास तू है
चलूँ मैं जिस राह पर
तू है वहाँ

चलते चलते..
चलते चलते..
यूँही कोई मिल गया था
यूँही कोई मिल गया था
सर-ए-राह चलते चलते

वो वो..

तुमसे मिला जो पहली दफ़ा
आँखों को सुकून मिला
करीब मेरे तू जो हुआ
सफ़र को कारवां मिला

तू मेरे पास है फिर भी

बस इक बात तो है
चलें दो सांसें अलग पर
इक है वजह

चलते चलते..
चलते चलते..
यूँही कोई मिल गया था
यूँही कोई मिल गया था
सर-ए-राह चलते चलते
सर-ए-राह चलते चलते.."
Atif Aslam,Chor Gayae,/a/atif+aslam/chor+gayae_20758793.html,"Chupke se aye sab ke darmaiyaan
Sirf mein janu tu hai kahan kahan

Chupke se aye sab ke darmaiyaan
Sirf mein janu tu hai kahan kahan

Hawa vo sur vo geet vo
Awaaz vo,
Narmi garmi ahat ya
Saaz vo,

Kyun chor gaye rastey
Kabhi sath chaley they jin pey

Hawa vo sur vo geet vo
Awaaz vo,
Narmii garmi ahat ya
Saaz vo

Ahat sunu tum ko dekhun
Jab dekh lun kya mein kahun
Hont khuley zaban gung ho
Lafzon ki khoj mein main gum rahun

Wooohooohooo laaalaaalaaa

Kyun chor gaye rastey
Kabhi sath chaley the jin peyy [x3]

Kab tak bharun khud mein junun
Tum na milo kaisey sahun
Apni wafa pey hai yakeen
Tum sath na tau kya karun

Kyun chor gaye rastey

Yeh ghariyon ki saazish hai keh
Aaa aaa aaye na,
Yeh meri guzaarish hai
Ayein tau jayein na"
Atif Aslam,Doorie,/a/atif+aslam/doorie_20660886.html,"Doorie
Doorie
Doorie
Sahi jae na
Sahi jai na
Sahi jai na
Sahi jai na

Khamoshiya yeh seh na saku
Awaz de kay mujhay tu dai jaa sukoon
Khamoshiya yeh seh na saku
Awaz de kay mujhay tu dai jaa sukoon

Doorie
Doorie
Sahi jai na
Sahi jai na
Sahi jai na
Sahi jai na

Adhura hoon main ab tere bina
Adhuri mei zindagani reh jayegi
Adhura hoon main ab tere bina
Adhuri mei zindagani reh jayegi

Doorie
Doorie
Sahi jai na
Sahi jai na
Sahi jai na
Sahi jai na

Har raha mai tu
Aai nazar
Cut ta nahi ab akelay tanhaa safar
Har raha mai tu
Aai nazar
Cut ta nahi ab akelay tanhaa safar

Doorie
Doorie
Sahi jai na
Sahi jai na"
Atif Aslam,Ehsaas,/a/atif+aslam/ehsaas_20660874.html,"Mai ek fard hoon ya ek ehsaas hoon
Mai ek jism hoon ya rooh ke pyaas hoon

Kay sach ke talash hai
Durr akash hai
Manzil pass nahi
Kya tu meray pass hai

Kabhi mai aaml hoon
Kabhi beaaml hoon
Garr tujh mai nahi
Tou phir bemehel hoon

Kay sach ke talash hai
Durr akash hai
Manzil pass nahi
Kya tu meray pass hai

Nanananaanana...

Kay sach ke talash hai
Durr akash hai
Manzil pass nahi
Kya tu meray pass hai

Kay sach ke talash hai
Durr akash hai
Manzil pass nahi
Kya tu meray pass hai

Mai ek fard hoon ya ek ehsaas hoon
Mai ek jism hoon ya rooh ke pyaas hoon"
