artist,song,link,text
Frank Sinatra,'s Wonderful,/f/frank+sinatra/s+wonderful_20344865.html,"`S wonderful! `S marvelous! You should care for me.
`S awfully nice!  `S paradise! `S what I love to see!
You made  my life so glamorous, you can't blame me for feeling amorous.
Oh `S wonderful!  `S marvelous, that you should care for me."
Frank Sinatra,(I Offer You The Moon) Senorita,/f/frank+sinatra/i+offer+you+the+moon+senorita_20193932.html,"I offer you the moon set in a summer sky
That is mine to give, seorita.
I offer you the breeze singing a lullaby,
That is mine to give, seorita.
I can't bring a golden crown set with pearls and rubies rare,
But I can bring a rose and place it in your hair.
I offer you these things that come from up above,
I give them and my love to you.

I can't bring a golden crown set with pearls and rubies rare,
But I can bring a rose and place it in your hair.
I offer you these things that come from up above,
I give them and my love to you."
Frank Sinatra,(Just One Way To Say) I Love You,/f/frank+sinatra/just+one+way+to+say+i+love+you_20973428.html,"I love you, I love you, there is no other way,
 Just one way to say, I love you.
 I love you, I love you, and try as I may,
 That's all I can say, I love you.
 Much more could be said if I thought with my head,
 But I only can think with my heart.
 I love you, I love you, and yearn for the day,
 The day when you'll say, I love you.

 Much more could be said if I thought with my head,
 But I only can think with my heart.
 I love you, I love you, and yearn for the day,
 The day when you'll say, I love you."
Frank Sinatra,(Once Upon) A Moonlight Night,/f/frank+sinatra/once+upon+a+moonlight+night_20270563.html,"Once upon a moonlight night
Two hearts blended
Love surrendered
With embracing arms
Remember

Once the dawn came into sight
Ears that listened
Eyes that glistened
Knew its charms

And with our first kiss
Our first tender sigh
A shower of moondust
Fell from the sky

We'll always keep
The love light shining bright
That started
Once upon a lovely moonlight night

And with our first kiss
Our first tender sigh
A shower of moondust
Fell from the sky

We'll always keep
The love light shining bright
That started
Once upon a lovely moonlight night"
Frank Sinatra,(We've Got A) Sure Thing,/f/frank+sinatra/weve+got+a+sure+thing_20349854.html,"Won't say that grass will grow or ivy will climb,
But darling, I'd say, we've got a sure thing this time,
I'd say that we're on our way to a star,
And, take a tip from me, we are, we are.
Won't say that rivers flow or day turns to night,
But darling, I'd say we've got a sure thing all right.
Won't say it's winter when snow falls from above,
But darling, it's a sure thing we're in love.

I never predict the future, I haven't a crystal ball,
I wouldn't attempt to tell you when tomorrow will fall.
Why should I have opinions, supposing I might be wrong,
I'm mucht better off if I just call along.
(Won't say that rivers flow or day turns to night,)
(But darling, I'd say we've got a sure thing all right.)
Won't say it's winter when snow falls from above,
But darling, it's a sure thing we're in love."
Frank Sinatra,A Baby Just Like You,/f/frank+sinatra/a+baby+just+like+you_20055988.html,"The season is upon us now
A time for gifts and giving
And as the year draws to its close
I think about my living
The Christmas time when I was young,
The magic and the wonder,
But colors dull and candles dim,
And dark my standing under
O little Zachary, shining light
You've set my soul to dreaming
You've given back my joy in life
And filled me with new meaning

A Savior King was born that day,
A baby just like you,
And as the Magi came with gifts,
I come with my gift too
That peace on Earth fills up your time,
That brotherhood surrounds you.

That you may know the warmth of love,
And wrap it all around you
It's just a wish, a dream I'm told
From days when I was young

Merry Christmas, little Zachary
Merry Christmas, everyone
Merry Christmas, little Zachary
Merry Christmas, everyone"
Frank Sinatra,A Cottage For Sale,/f/frank+sinatra/cottage+for+sale+a_20056273.html,"A little dream castle with every dream gone
Is lonely and silent, the shades are all drawn
And my heart is heavy as I gaze upon
A cottage for sale

The lawn we were proud of is waving in hay
A beautiful garden has withered away
Where you planted roses the weeds seem to say
A cottage for sale

From every single window I see your face
But when I reach a window there's empty space
The key's in the mailbox the same as before
But no one is waiting for me anymore
The end of our story is there on the door
A cottage for sale"
Frank Sinatra,A Day In The Life Of A Fool,/f/frank+sinatra/a+day+in+the+life+of+a+fool_20055645.html,"A day in the life of a fool, a sad and a long lonely day
I walk the avenue, and hope I'll run into
The welcome sight of you, coming my way
I stop just across from your door, but you're never home any more
So back to my room, and there in the gloom
I cry tears of good bye
That's the way it will be every day in the life of fool"
Frank Sinatra,A Fella With An Umbrella,/f/frank+sinatra/a+fella+with+an+umbrella_20195821.html,"I'm just a fella, a fella with an umbrella,
Looking for a girl who saved her love for a rainy day.
I'm just a fella, a fella with an umbrella,
Glad to see the skies of blue have turned into skies of gray.
Raindrops have brought us together,
And that's what I long to see.
Maybe the break in the weather will prove to be a break for me.
So I'll be the fella, that fella with an umbrella,
If you'll be the girl who saved her love for a rainy day.

Oh, the raindrops have brought us together,
And that's what I long to see.
Maybe the break in the weather will prove to be a big break for me.
So I'll be the fella, the kid with the small umbrella,
If you'll be the girl who saved her love for a rainy day.
If you will be the girl, the girl who saved her love for a rainy day."
Frank Sinatra,A Fellow Needs A Girl,/f/frank+sinatra/a+fellow+needs+a+girl_20195792.html,"A fellow needs a girl to sit by his side, at the end of a weary day.
To sit by his side and listen to him talk and agree with the things he'll say.
A fellow needs a girl to hold in hid arms when the rest of the world goes wrong,
To hold in his arms and know that she believes that her fellow is wise and strong.
When things go right, and his job's well done,
He wants to share the prize he's won.
If no one shares and no one cares,
Where is the fun of a job well done? Or a prize you've won?
A fellow needs a home, his own kind of home, but to make this dream come true,
A fellow needs a girl, his own kind of girl, my kind of girl is you."
Frank Sinatra,A Fine Romance,/f/frank+sinatra/a+fine+romance_20055835.html,"A fine romance, with no kisses
A fine romance, my friend this is
We should be like a couple of hot tomatoes
But you're as cold as yesterday's mashed potatoes
A fine romance, you won't nestle
A fine romance, you won't wrestle
I might as well play bridge
With my old maid aunt
I haven't got a chance
This is a fine romance

A fine romance, my good fellow
You take romance, I'll take jello
You're calmer than the seals
In the arctic ocean
At least they flap their fins
To express emotion
A fine romance with no quarrels
With no insults and all morals
I've never mussed the crease
In your blue serge pants
I never get the chance
This is a fine romance"
Frank Sinatra,A Foggy Day,/f/frank+sinatra/foggy+day+a_20055349.html,"A foggy day,
In london town,
It had me low,
And it had me down
I viewed the morning,
With much alarm,
The british museum,
Had lost it's charm
How long I wondered,
Could this thing last,
But the age of miracles,
It hadnt past
And suddenly,
I saw you standing right there
And in foggy london town,
The sun was shining everywhere"
Frank Sinatra,A Friend Of Yours,/f/frank+sinatra/a+friend+of+yours_20199908.html,"Just say that I'm a friend of yours and maybe they won't get wise,
And if they see us together, I'll brush the dream from my eyes.
I'll tell my heart it mustn't seem the song of remember when,
Just say that I'm a friend of yours that you happen to meet again.

I'll tell my heart that it mustn't seem the song of remember when,
Just say that I'm a friend of yours that you happen to meet again."
Frank Sinatra,A Garden In The Rain,/f/frank+sinatra/garden+in+the+rain+a_20056285.html,"'twas just a garden in the rain
Close to a little leafy lane
A touch of color 'neath skies of gray

The raindrops kissed the flower beds
The blossoms raised their thirsty heads
A perfumed ""Thank you"" they seemed to say

Surely here was charm beyond compare - to view
Maybe it was just that I was there - with you

'twas just a garden in the rain
But then the sun came out again
And sent us happily on our way

[instrumental]

'twas just a garden in the rain
But then that sun came out again
And sent us happily on our way"
Frank Sinatra,A Good Man Is Hard To Find,/f/frank+sinatra/a+good+man+is+hard+to+find_20204031.html,"[Girl]

Now here's a story with quite a moral,
And all you gals, you gotta pay some mind,
When you find a guy [yeah?] worth keeping, be satisfied,
Make sure you treat him very kind..
'Cause a good guy [Ow!] is hard to find,
You could always get the other kind.
[But when you think that you got her tied, you'll find her]
Messing around with another guy.
Then you rave and you'll even start to crave,
Man, you want to see her lying deep down in the grave.
So if the guy's nice, you better take my advice,
You better love him in the morning, kiss him every night,
Ooo, give him plenty of loving, treat him right,
Because a good man nowadays is hard to find.

[Buster, you gotta be kidding, you see this little guy?]
[The one with the feeble mind, he always been, he moving time.]
[One fine day he dug another chick, she took all his loot and cut him quick.]
[Now, he's calling me back on the phone, he says]
Baby, don't you go away, I'm coming right home.
[But if you wanna come back, come on in our little grass shack,]
[You gotta love me in the morning, kiss me in the night,]
[You give me lots of loving, treat me right,]
['Cause a good gal nowadays is hard to find.]

Well, I went back, but I told this doll,
I said:  Woman, then is then, but now is now,
If you want me to stay, there's just one but (what?)
Keep a smile on your face, and keep your big mouth shut.
Well, we're back together, and everything is fine,
[I'm a-running the show, jack, you better stay in line.]
[Now you know what to do when the day is through.]
I better love you in the am [that's right!], kiss you in the pm [what else?]
Give plenty of loving [show me!] with all my mind [good boy!]
[For a good gal nowadays are hard to find.. Leroy!]  Yes, ma'am!
[I am just.. You better keep those cotton picking hands off all those other dames or I'll]
Or you'll what? [I'll fly over there and turn off all your lights.]
Uh yeah, like I was saying, a good
[Oh man, yes!]"
Frank Sinatra,A Hundred Years From Today,/f/frank+sinatra/hundred+years+from+today+a_20055542.html,"Hey don't save your kisses - just pass 'em around
You'll find my reason - is logically sound
Who's gonna know that you past them around
A hundred years from today
And why crave a penthouse - that's fit for a queen
You're nearer heaven - on mamma Earth's green
If you had millions - what would they all me
One hundred years from today
So (Hey) laugh and sing - make love the thing
Be happy while you may
('Cause) There's always one - beneath the sun
Who's bound to make you feel that way
The moon is shining - and that's a (very) good sign
Cling to me closer - say (that) you'll be mine
Remember baby we won't see it shine
A hundred years from today, a hundred years from today"
