artist,song,link,text
Hambog,Alaala Nalang,/h/hambog/alaala+nalang_20910548.html,"1st Verse:

Hindi ko ginusto ang ilayo ako sayo mahal
Ngunit ito ang desisyon ng tadhana at may kapal
Alam ko din ako'y magtatagal sa lugar na to
Na kung saan wala ka kaya kulang kulang ako
Hindi lang araw hindi lang buwan kundi ilang taon
Tayo ay di magkikita makakaya ko ba yon
Sa tingin ko hinde hindi ko kaya
Dahil ako'y mamamatay kapag wala ka
Wala ka na dito sa aking tabi kaya di na mapigil ang luha
Gusto kitang makapiling mayakap mahalikan yun lang di ko pa makuha
Dahil ilang kilometro at milya ang ating distansya at ating pagitan
Pangungulila ko sa iyo yan ang resulta ng aking biglaang paglisan
Di ito madali para sayo ngunit mas hindi madali to para sakin
At alam kong hindi tayo magkakalapet kahit sa isang libong dalangin
Nadadama ang lungkot at puot hinagpis at ang pagkabigo at pasakit
Ngunit gaano ka man kalayo saking puso palagi ka ditong malapit

CHORUS:

Inisip ko kung bakit ganito ang langit
Nilayo ako sayo
Hindi ko matanggap mahirap magpanggap
Na ako'y hindi bigo
ngunit di ko rin inaasahang mangyayari to
Kung ikaw ay alaala nalang paano na ako

2nd verse:

Binibilang ang mga araw hanggang saking pagalis
Habang palapit ng palapit lalo akong nagtitiis
At tinatago ang namumuong lungkot saking damdamin
Di mo lang alam di ko na kaya di ko lang maamin
Dahil sabi mo sa akin masaya ka para sakin
Di mo lang alam ako'y nalulungkot na para satin
Dahil tayo'y magkakalayo ng walang kalaban laban
Ang masakit pa doon kung kelan pa tayo nagmamahalan
Nagmahalan tayong dalawa ngunit bakit ito naging plano
Ng kapalarang naging malupet ako'y inilayo sayo ng eroplano
Habang ako'y nasa himpapawid ako'y nakatingin sa mga alapaap
At iniisip na sa alaala nalang ba kita muling makakayakap
At sa gabi nakatitig sa mga larawan na katabi ko saking kama
Nakatingin at tinatanong dito na lamang ba tayo magkakasama
Nasa malayo na ang aking katawang tao at parang pinipilas
Dahil puso ko'y naiwan jan sayo sa Pilipinas

CHORUS:

Inisip ko kung bakit ganito ang langit
Nilayo ako sayo
Hindi ko matanggap mahirap magpanggap
Na ako'y hindi bigo
ngunit di ko rin inaasahang mangyayari to
Kung ikaw ay alaala nalang paano na ako

3rd Verse:

Ang pilitin kong limutin na sa buhay ko'y wala sya
Ay parang pilit sinusuot singsing na hindi kasya
Dahil habang pinipilt mas sumasakit ng todo
Kaya buhay ko ay parang musikang wala sa tono
Di ba pwede naman magsama ang nagmamahalan
Di ba pwede naman wala na din ang hiwalayan
Di ba pwede naman sa pagibig walang hadlang
At pwede ba sya ay ibalik nalang
Walang matarik na bundok walang karagatang malalim
Na aking tatawirin maibalik ka lang sa akin
Dahilan kung bat nabuhay sakin ang pagkasawi
Ay ang pagibig nating tamang nasa oras na mali
At sana wag mo palitan jaan sa puso mo pangalan
Ng lalake na nagsabe na ""mahal kita paalam
At magingat palage"" noong aalis na sya
At higit sa lahat ""Mamimiss kita""

CHORUS:

Inisip ko kung bakit ganito ang langit
Nilayo ako sayo
Hindi ko matanggap mahirap magpanggap
Na ako'y hindi bigo
ngunit di ko rin inaasahang mangyayari to
Kung ikaw ay alaala nalang paano na ako

4th Verse:

Paano na ko mamumuhay nito kung sa piling ko ay nawala
Ang nagiisang minahal ko makasama ko sya ay isa nalang bang himala
Alam ko na sa oras na to ay nakikinig kang pinipigil mo ang pagiyak
Sige ilabas mo wag pigilin ang emosyon ng iyong puso na nagkabiyak
Dahil ang alaala nating dalawa ay nagiwan ng sugat na nakamarka
Sino ba naman ang hindi masasaktan kapag nalayo ang tao na mahal ka
At kung minsan naisip ko din na wag nang ituloy itong nagawa ko na kanta
Dahil malamang pag narinig ko ito sigurado na maaalala kita
Pero kahit pilitin umiwas sa sitwasyon naten ay kusang bumabalik ang
Mga nakaraan kaya titulo ng kanta ko ngayon ay alaala nalang
Dahil sa alaala nalang umiikot ang aking isipan na nalilito
At prisensya ng pagmamahal mo sa akin ay dala ko lagi at naririto
HIndi man kita nabigyan ng materyal pero di mo alam may iniwan ako
Ito ang isang bagay na di maluluma yun ay ang pagmamahal ko sa iyo
Sana pagkaingatan mo yan hanggang sa oras na ikaw ay muli kong balikan
Dahil ipinangako di na ko iibig sa puso ko di ka mapapalitan

CHORUS:

Inisip ko kung bakit ganito ang langit
Nilayo ako sayo
Hindi ko matanggap mahirap magpanggap
Na ako'y hindi bigo
ngunit di ko rin inaasahang mangyayari to
Kung ikaw ay alaala nalang paano na ako"
Hambog,Breakup,/h/hambog/breakup_21087129.html,"First Verse:

Alam mo yung feeling na pagnakinig ka ng kanta?
Basta love song, “Naaalala sya”
Lalo na kapag nakaraan dinalaw ka nito
Ang nadadama ng puso, “Bakit ganito?”
Pag pangalan mo ay merong nagbanggit
Ako’y naiinis, totoo, “Ang sakit”
Pag sa profile mo sa Facebook napasilip
Bumabalik pagmamahal sa puso ko at isip
At sabi ko madami pa kong pwedeng ipalit
Sa loob loob ko, “Pwede kaw nalang ulit?”
Nasira na ang buhay ko nung sabi mo “Break na tayo”
Gusto ko sanang bumawe kaso “Too late na ba ko?”
Wala na bang pagasa? Ha? Wala na ba?
Ibalik sa date buhay ko na kasama ka
Baka pwede pang maayos to daan naten sa usap
Dahil di ko kaya ako’y nakikiusap

Chorus:

Nagiisa man ako ngayon
Ramdam ang lamig ng panahon
Bakit ba sakin pa
Napunta ang mga ganitong pagkakataon at kalungkutan na
Aking nadarama

2nd Verse:

Relasyon iyong tinigel pagibig mo’y pinigel
Kaya ako ay miserable sa pagiging single
Akala mo ba masaya ako? Male
Nakangiti kunyare ngunit puso ko’y sawe
Purkit ba nakangiti ako ay tanggap ko na
Na wala ka na di ba pwedeng panggap muna
Makita lang litrato mo ako’y naiiyak
Kaya ang ginawa sa Facebook ko ikaw ay naka-block
Dahil alam nila sa puso natanggal na din kita
Pero alam ko sa sarili kong mahal pa rin kita
Mahal pa rin kita mahal pa rin kita
Mahal pa rin kita kahit ang sakit sakit na
Grabe
Pag bumawi sa pananakit mga babae
Ang hirap makatulog dahil sa mga nangyare
Sana ay bumalik yung ikaw na mahal mo pa ko date

Chorus:
Nagiisa man ako ngayon
Ramdam ang lamig ng panahon
Bakit ba sakin pa
Napunta ang mga ganitong pagkakataon at kalungkutan na
Aking nadarama

3rd Verse:

Hindi ka na sa akin anong magagawa ko
Bakit mahal pa rin kita pilit ko mang mabago
Ang naramdaman sayo hanggang ngayon ganun pa rin
Kahit sa kanya ka masaya kahit masakit “Tatanggapin”
Ang di ko lamang matanggap ba’t date ang saya pa natin
At ang masakit doon yun ay di na babalik sa akin
Sabi mo wala na tayo ba’t pa ko nagdadamdam
Ewan ko, ewan ko, hindi ko din alam
Dahil galit ako sa bago mo sakin di yon maayos
Bakit kahit di na tayo bakit pa ko nagseselos
Para na akong tanga saking mga ginagawa
Tinitiis ko yon pero sila sakin awang awa
Nanjan lamang ang babae, at madami daw
Madami nga pero sa puso ko may nagiisang ikaw
Sana’y marinig mo to itong kanta para sayo
Pasensya na pasigaw ito kase nasaktan ako
(Nasaktan ako)

Teka di pa ko tapos meron pa kong sasabihen
Ikaw lang ang mahal ko yan ang lagi mong isipen
Ganda sana ng pinagsamahan ba’t natapos lang
Kaya kung ikaw ay babalik sa akin ayos lang
Kahit turing lang akong reserba at pangalawa
Ayos lang basta’t kasama ka yun ang mahalaga
Sabihan na akong madrama dito sa aking kanta
Nilalabas ko lang naman “Aking nadarama”

Chorus:

Nagiisa man ako ngayon
Ramdam ang lamig ng panahon
Bakit ba sakin pa
Napunta ang mga ganitong pagkakataon at kalungkutan na
Aking nadarama"
Hambog,Classmate,/h/hambog/classmate_20985461.html,"[Chorus:]
Unang araw palang minahal na kita
Bakit ba ganito ang aking nadama
Di man kita lubusan pang kilala
Eh ano naman basta mahal kita

[Verse :]
Unang araw sa school ako'y nasa eskwelahan
Uniporme ay cool baka may maeksenahan
Syempre meron bagong chicks ngayon nagenroll
Kaso yung iba mukang pang shake rattle and roll (Oh)
Pero iisa ang agaw pansin
Isang babaeng kumakain magisa sa canteen
Tapos lalo pa kong natuwa at lalong sumaya
Nung nalaman ko ang crush ko classmate ko pala
Haha ngayon nga madiskartehan
Wala akong pake kung magtaray o maginarte yan
Basta gusto ko lang sabihin salitang nakakasado
Sa exam ng puso ko alam mo ba ikay pasado
Pero teka lang pangalan mo di ko pa alam
""Hoy mister wag kang maingay"" tumahimik ka ma'am
Anyway di ko pa rin alam pangalan mong banal
Pero pwede ba tawag ko nalang sayo mahal

[Chorus:]
Unang araw palang minahal na kita
Bakit ba ganito ang aking nadama
Di man kita lubusan pang kilala
Eh ano naman basta mahal kita

[Verse 2:]
2nd subject andun kame sa may lab
Hindi ako nakikinig titig ako kay my love
Oo love na nga kita L-O-V-E
Di ko dama ang pagod ko kahit na mag P. E.
Pag topic ay P. C. ito'y hindi easy
Kaya ika'y busy pero ako'y sisi-
Ngit pa rin sa oras mo kahit ikaw ay maines
Kase ikaw bumubusog sa puso ko kapag recess
Kung eskwelahan ang puso ko ikaw ang principal
Dahil sinusunod lamang nito kanyang minamahal
Daig ko pa ang first honor kapag nakita kita
Ikaw solution sa problem sa matematika
Ng buhay ko kase ikaw plus ako equals for better
Multiply by tiwala at love equals forever
At wala ng pwedeng magdivide sa ating dalawa
Kase sa aklat ng Sibika tayo'y nakatalaga

[Chorus:]
Unang araw palang minahal na kita
Bakit ba ganito ang aking nadama
Di man kita lubusan pang kilala
Eh ano naman basta mahal kita

[Verse 3:]
Tumatangge ako sa tropa pagsinabeng cutting tayo
Kase misyon ko saking pagpasok maging tayo
Yayayain lang nila ko sa bilyarang kalapitan
Bakit pa ko dun sasamakung sayong tabe kalangitan
Di ba tama aking katuwiran
Sa eskwelahan dun lang kita natatabihan
Kapag ikaw ang seatmate ko ayoko ng lumisan
Sana dito nalang tayo at walang uwian (Damn)
Baliw na ba ko hay nako lagot
Saking assignment, quiz at exam pangalan mo sagot
Lagi kong hinahanap ang yong essence at presence
Kase kinukumpleto mo ang nonsense na sentence
Kaya di na aabsent you're the angel God sent
Ayos ba ang accent syempre laging present
Di nawawala sa school laging lumalapag
Kase ikaw ang dahilan kung bat ako nagsisipag

[Chorus:]
Unang araw palang minahal na kita
Bakit ba ganito ang aking nadama
Di man kita lubusan pang kilala
Eh ano naman basta mahal kita

[Verse 4:]
Ika'y iba sa lahat masasabeng ibang klase
At salamat sapagkat ika'y aking naging kaklase
At ikaw ngayon ang subject dito sa aking rap
Kung hindi ka nakilala malamang ako'y nadrop
Kase tamad akong binatang sawa sa eskwelahan
Ngunit ikaw ay estudyante don kaya may kwenta yan
Gumawa ako ng project tulang ipapabasa
Di ito para kay ma'am sayo ko to papasa
Sana pumasa ako sayo
Sana magreview ka rin na umaasa ko sayo
At ang mahalin kita hindi ko yon pinagaralan
Dahil nadama ko yon ng kusa at agad agaran
Classmate kong mahal sana maisip mo na
Matamis mong oo ang tuturing kong diploma
At bago ka mawalay sakin sa bakasyon
School year na kasama ka sa puso ko babakas yon

[Chorus:]
Unang araw palang minahal na kita
Bakit ba ganito ang aking nadama
Di man kita lubusan pang kilala
Eh ano naman basta mahal kita

[Bridge:]
(Classmate ko na)
Nagbigay ng kaligayahan
Kaya ang nais ko ikaw ay lagi lang na nanjaan
Sana kahit tayo ay magkalayo
(Classmate)
Maalala mo ako
(Dahil)
Unang araw palang minahal na kita
Bakit ba ganito ang aking nadama
Di man kita lubusan pang kilala
Eh ano naman basta mahal kita"
Hambog,Ermats,/h/hambog/ermats_21091842.html,"Ako ay anim na taon nung ako'y iniwanan mo
Kaya nung bata pa ako ikaw ay iniwasan ko
Kasi ako'y may katanungan at ako'y nagtatampo
""Wala na nga akong ama iniwan pa ng nanay ko?""
Sa eskwela pag magulang pinapupunta nila!
Ako'y walang kasama dahil ako'y walang ama't ina!
Bakit Po? Ba't iniwan nyu akung nagiisa?
Ba't ganun? Ba't sila? Andon ang ina nila?

Nung ikaw ay umalis bakit di mo ko dinala
Alam mo ang pangalan ko pero di mo kilala
Dahil ang aking paglaki hindi mo nasubaybayan
Iniwan mo akung anghel ngayon ay may sungay na yan
Ilang kaarawan ko na ang nagdaan laging wala ka
Kung kaya't habang umeedad mas lalong lumala pa
Pero wag magalala di masama aking loob
Bakit? Ma pakinggan mo ang susunod...

Iingatan ka
Aalagaan ka
Sa puso ko ikaw ang pag-asa
Sa 'ting mundo
May gagabay sa iyo
Ang alay ko'y itong pagmamahal ko
May nagmamahal, aakay sa iyo
Aking inay ikaw ang nagbigay
Ng buhay ko
Buhay na kay ganda
Pangarap ko na makamtan ko na

2nd verse
Hindi mo ginusto noong ako ay naiwanan mo
Lahat ng binigay mo sakin ay pinaghirapan mo
Tanging inisip mo nalamang ay kinabukasan ko
Sarili mo hindi mo inisip nilunasan mo
Ang ating buhay na mahirap kaya ika'y nagsikap
Sarap ng buhay ko ikaw naman ay naghihirap
Kaya nagtanung ako bakit ba ko nagtampo
""Pwedi ka namang maghirap basta sama mo ako""

Dahil ang buhay mo alam ko at aking nakabisa
Matagal ka nang hirap, tagal mo nang nagiisa
Ayukong dumating yung araw lahat ay huli na ma
Yung dapat kung ipadama hindi ko naipadama
Kaya hayaan mo ako hanggang ika'w nandito pa
Magsimula ng panibago ulitin sa umpisa
Alam mung puso ko'y manhid at bakal ang pagkasadya
Pero mahal kita ma hindi lang mo mahalata

3rd Verse
Hinahanap mo pa ang pagmamahal ng babae sa iba
Eh, ang babae na tapat kung magmahal ay ang ina""
Madameng babaeng daan sayu at iba'y Iiwan Ka Din Nila
Pero ang yung ina'y ang syang babae na matitira
Dahil ang isang ""inay"" ay kayang maghintay
Magbago ang kanyang anak at di sya bibigay
Ngunit kanyang ibibigay, lahat ng kayang ibigay
Kahit walang matira sa kanya walang problima kay inay

Ang galing galing nila no?
Kaya sana'y suklian natin sila kahit papano
Di usapan kung magkano ang usapan ay paano
Ipakita at ipadama sa kanya kung gaano
Mo sya kamahal at nagpapasalamat tayu
Sa pagmamaha nilang walang talo laging panalo
Kung wala aking inay, walang ""Hambog Ng Sagpro""
Hanggang dito nalang dahil naiiyak na nga ko

Sa katulad kong anak ay dapat nga lang mainis
Pero ikaw ay nag tiyaga at saakin ay nagtiis
Kaya ako'y awang-awa habang sayo'y nakatingin
Kahit walang kwentang anak pinilit kong intindihin
Lahat ay kaya mong gawin Basta lamang para sakin
At patawad sa lahat sana ako ay patawarin
Pag ako ay namatay sa kapalarang malupit
Sa kabilang buhay maging nanay ko sana ikaw ulit

Dahil kahit hirap ka na sa tulad ko na pabigat
Magaan pa rin loob mo sakin kaya halika't
Pakinggan kanta ng anak mung suwail at pasaway
Ngunit tinanggap mung buo naging mabuti kang inay
Kahit ngayun ako mayroon ng dalawang anak
Kekwento ko sa kanila ang lola nyu ay nagpatak
Ng luha, pawis at dugo at laging nasa tabi ko
Kaya salamat ""Ermats"" ikaw kakampi ko"
Horrible Histories,Australia Song,/h/horrible+histories/australia+song_21080054.html,"In Britain's Georgian times
There were so many crimes
No time to hang each crook guilty of a felony
Cos there's no room to jail you
They'd send you to Australia
To live in our new-fangled penal colony
Think that sounds like heaven?
In 1787, it wasn't that kind of once in a lifetime trip
First fleet took the journey
Months at sea so churny
Over 40 died while they were on the ship

Those that lived were plucky
Plucky, plucky, plucky
Crammed on board with rats and vermin, cockroaches in bed
Stench inside was sicky
Yucky, yucky, icky
Lice not very nice, can't get them out of my head

Landed Bay of Botany
Convicts' life was rotteny
Needed food and shelter but everything failed
Threes too strong for felling
Stagnant water smelling
A real step back in time in New South Wales
Soil too poor for budding
Huts washed up by flooding
Plans for building houses came to sticky ends
The best of all their labours
Attacked by local natives
And that is when your neighbours don't become good friends

Situation tricky
Tricky, tricky, tricky
Then a second fleet of ships was due aground
Some thought this was lucky
But illness had strucky
Half were dead or I'll
Fever was spinning around

After seven years
Convict record clears
Just one catch
You got to pay your own way back
No wages meant no money
No choice, but what's funny
Many stayed, became farmers and made a stack
Original arrivers
Proved hardy survivors
Sydney turned into a place you'd choose to go
Think that they'd be fairer
To convicts who were sent there?
No way they built prisons even more remote

Port Arthur was one of the jails
Where every escape attempt fails
Was one man who nearly got through
Billy Hunt dressed as a kangaroo

Inmate's life still sucky
Sucky, sucky, sucky
Life behind bars was not very nice
Hideous and messy
Who would ever guessy
This hellhole would become a
Holiday paradise?"
Horrible Histories,Aztec Priests Song,/h/horrible+histories/aztec+priests+song_20982116.html,"We're Aztec priests so mind your head,
Our prisoners always wind up dead.
Our favourite colour is blood red,
We're not nice.

At an Aztec temples opening day,
We priest would please the gods this way.
Hoards of enemies we'd slay,
Mass sacrifice.

To win at war, make crops grow more,
To cure our kids when ill.
The sun to shine, this song to rhyme,
More victims we must kill.

Ha! Ha! Ha! Ha!

You won't survive! You won't survive!

Ha! Ha! Ha! Ha!

Ain't staying alive! Ain't staying alive!
Yeahhh!

With scarifice, we priest appease,
Our gods each powerful big cheese.
Lets hear it for your favourits please! Haaa!

We're doing it for Toci, the Aztec goddess of the earth's heart,
We're doing it for Chantigo, goddess who makes volcanoes start.
We're doing it for Itzli, the goddess of stone knives.
We're doing it for Itzpapalotlometeotlchiconahuiehecatl,
Errr? Some other gods great lives!

Ha! Ha! Ha! Ha!

Don't cross us Aztecz, we advise ya!

Ha! Ha! Ha! Ha!

Or you'll end up as fertiliser!
Yeahhhhh!

Our year starts in november, when every priestly member,
Is asked if they'll remember, our Aztec dead.
We do this if you haven't guessed, by getting something off your chest,
Your heart would proberbly be best, or else your head.
And then on our year planners, it's the raising of the banners,
And it's only polite manners, to kill more guys.

December and January, desmembering methods vary,
All you need to know, is that we pill them high.
May and June, it's summer time, the killing is easy,
It's only halfway through the year, bet you're feeling queasy.
In autumn time, we sweep our home and kill some more but then,
By late October, the killings over, then it starts up again!

Ha! Ha! Ha! Ha!

You won't survive! You won't survive!

Ha! Ha! Ha! Ha!

Ain't staying alive! Ain't staying alive!

Ha! Ha! Ha! Ha!

Want to live until you're old?

Ha! Ha! Ha! Ha!

Avoid us priests, you've been told!"
Horrible Histories,Blackbeard's Song,/h/horrible+histories/blackbeards+song_20914077.html,"When I was a nipper
I boarded a clipper
Sailed the seas as a goods importer, oh!

Edward Teach is my name
But I earned my fame
As Blackbeard the pirate of the water, oh!

Was a jolly chap
With a jaunty cap
Always gave my crew good quarter, oh!
But I'm best known for
Blood and guts and gore
And a vicious reign of murdering and slaughter, oh!

Best known for
Blood and guts and gore
And a vicious reign of murdering and slaughter, oh!

Left my home in Bristol
With a sword and pistol
Bid a fond farewell
To old Blighty, oh!

What my enemies feared
Was my thick, black beard
Which I always enjoyed
Setting light to, oh!

Once I had a thing
For a captive's lovely ring
That shone like a jewel in the nighty, oh!
When the man said no
I just said 'Oh! '
And chopped off his hand and said 'Rightio! '

Man said no
He said 'Oh! '
Chopped off his hand and said 'Rightio! '

Oh, I love to sail the ocean
With my flag that inspired emotion
With it's smiling pile of skull and bones
Smashing hearts with a violent stabbing motion

And I love to escape detection
And to win my crew's affection
Which was nothing to do with the twelve guns he wore
On his belt that were for protection

I was awfully nice
But I had the odd vice
Which occasionally caused a commotion
The thing that I'd do
Was shoot members of my crew
If they didn't show enough devotion

The thing he'd do
Was shoot members of the crew
If they didn't show enough devotion

Once when very irate
I shot my first mate, Israel Hans
For a bit of pleasure, oh!
And when my debt's grew
Killed half of my crew
To increase my share of the treasure, oh!

Was doing well then
Seemed to run out of men
My captives boarded at their leisure, oh!
Smoted me dead
Then cut off my head
And displayed it on my mast for good measure, oh!

Smoted him dead
Chopped off his head
Displayed it on the mast for good measure, oh!"
Horrible Histories,Blue Bloody Blues,/h/horrible+histories/blue+bloody+blues_21019629.html,"I bet you think the Stuarts were an English dynasty,
But we only came to England when the crown belonged to me,
Our clan may hail from Scotland
But our tales are not a bonnie one, you'll see.

We got the blue blooded blues,
In our blue Stuart shoes,
Each king queen and heir
Had there own personal nightmare,
Have you heard the news?
We got the blue blooded blues.

Let's start with me, King Robert iii,
Some say I was a fool,
Once fell off my horse and hurt my self,
Quite badly, how un-cool,
Ended up with a limp,
And limp was what they called my rule.
(And I tell you for why).

We got the blue blooded blues,
Strapping(?) sons, he had two.
One in prison, starved in jail,
The other captured, epic fail,
The worst kings, my review,
I got the blue bloody blues.

The next 5 kings all called James,
But none was lucky Jim,
James I hid down a sewer,
Got caught by assassins.
James ii was less unpopular,
But killed by his own cannon so, pretty dim
(And it doesn't end there. You're not wrong)

We got the blue blooded blues,
So many ways to lose.
3 and 4 killed in battle,
5 lost at war and that'll,
Explain why we got confused,
About the Stuarts clan blues
(Sing it Mary go on girl)

I'm Mary queen of Scots,
Misfortune I had lots
To Queen Liz was a threat
She threw me into prison yeah
Still accused me of plotin'
Can you seewhere I'm heading?
Liz is a Tudor, take a guess
Beheaded? Yeah!

After queen Liz died,
I was made King of England too.
Became James the first in England,
But the Stuart luck stayed true
Guy Fawkes try to blow me up,
And turn me into stuart stew

(One more time! Yeah!)
We got the blue blooded blues,
Not the role I would choose.
With my son Charles a decapity,
We briefly killed off royalty,
Stuart mourners it's true...
Cause we're the blue blooded blues
(That's what I'm talking about)"
Horrible Histories,Boudicca,/h/horrible+histories/boudicca_20914092.html,"Gonna cause a stink
Won't be the first to blink
I'm not who you think
Don't mess with me, I'm Boudicca!

My husband Presotagus died
He was a Celtic king
I was his queen, so due to me
Was half of everything

Roman law gave half to me
So half was what they got
Till their nasty soldiers came
And took the blessed lot

Hey mister!
I say you got the wrong end of the stick
His answer turned this sister
Into one angry chick!

No man, Roman'll
Push around this woman
You won't get far, with Boudicca
Foeman, yeoman,
Smash the Roman foeman
All say yah! Yah! Boudicca!

I built a massive army
Headed straight for the city
Beat 'em all with ease
And like me, it wasn't pretty

Chopped 'em and hacked but
What made their red blood curl
Bad enough being beaten
But beaten by a girl?

Wacked 'em, smacked 'em
Boy how we attacked 'em
Near and far, ha ha ha!
Flayed 'em, slayed 'em
Up and down parade 'em
Boudicca! Toughest by far!

Colchester, London, St. Albans
Everybody talk about dead Romans!

We marched on up the Roman road
That's known as Watling Street
They trapped us in the forest
Then thrashed us to our defeat

By now you'd guessed I'm not the kind
Of girl to sit and cry
Be sold a slave to Romans?
You know I'd rather die!

They tried to take me prisoner
So I led the Roman boys on
Instead of giving in to them
I swallowed special poison!

Martyr, smarter
Capturer, non-starter
This was our last hurrah!
Slaughtered, dismembered
Our tribe always remembered
Boudicca! Superstar!
Boudicca! Superstar!"
Horrible Histories,British Things,/h/horrible+histories/british+things_20914067.html,"I love to be a British queen
I am Victoria, you see
Now where's my British butler
With my British cup of tea?
Tea is not from Britain, ma'am
From India it was brought
Yes, for your cuppa, thousands died
And many wars were fought

British things, my British things
It seems that tea is not
British things, my British things
Can I sweeten it a jot?

Do tell me sugar's British though
No, it's Caribbean imported
For sugar in your cup of tea
Slavery's been supported
I know it's wrong, your majesty
But slaves in Africa
Worked hard in fields of sugar cane
To sweeten up your char

British things, ah British things
I thought that there were many
British things, ah British things
Afraid there's hardly any

You know your British cotton vest
What's wrong with it? Explain! 
The cotton's from America
And picked by... slaves again! 
Your empire's built on fighting wars
That's how your income's swollen
Your British things are from abroad
And most are frankly stolen

Whatever next? Go on! Pray tell! 
Our British queen is foreign as well?
It's true, I am of foreign descent
And your husband, Albert? A German gent! 
At least I've got a British name
Victoria's Latin... that's a shame! 

British things, ah British things
There are none, we declare
All our favourite British things
Seem to come from elsewhere!"
