artist,song,link,text
Irving Berlin,A Fella With An Umbrella,/i/irving+berlin/a+fella+with+an+umbrella_20068111.html,"I'm just a fella, a fella with an umbrella,
Looking for a girl who saved her love for a rainy day.
I'm just a fella, a fella with an umbrella,
Glad to see the skies of blue have turned into skies of gray.
Raindrops have brought us together,
And that's what I long to see.
Maybe the break in the weather will prove to be a break for me.
So I'll be the fella, that fella with an umbrella,
If you'll be the girl who saved her love for a rainy day.

Oh, the raindrops have brought us together,
And that's what I long to see.
Maybe the break in the weather will prove to be a big break for me.
So I'll be the fella, the kid with the small umbrella,
If you'll be the girl who saved her love for a rainy day.
If you will be the girl, the girl who saved her love for a rainy day."
Irving Berlin,A Pretty Girl Is Like A Melody,/i/irving+berlin/a+pretty+girl+is+like+a+melody_20298549.html,"[Verse]
I have an ear for music, and I have an eye for a maid
I like a pretty girlie, with each pretty tune that's played
They go together
Like sunny weather
Goes with the month of May
I've studied girls and music, so I'm qualified to say

[Chorus]
A pretty girl is like a melody
That haunts you night and day
Just like the strain
Of a haunting [Refrain]
She'll start upon a marathon and run around your brain
You can't escape she's in your memory
By morning, night and noon
She will leave you and then
Come back again
A pretty girl is just like a pretty tune"
Irving Berlin,Alexander's Ragtime Band,/i/irving+berlin/alexanders+ragtime+band_20068096.html,"By Irving Berlin
Copyright 1911 by Ted Snyder Music, Inc.

Verse 1:
Oh, ma hon-ey, oh, ma hon-ey, bet-ter hur-ry and let's me-an-der
Ain't you go-in'? Ain't you go-in'? To the lea-der-man, rag-ged me-ter man?
Oh, ma hon-ey, oh, ma hon-ey, Let me take you to Al-ex-an-der's
Grand stand brass band, ain't you com-in' a-long?

Chorus:
Come on and hear! Come on and hear! Al-ex-an-der's rag-time band!
Come on and hear! Come on and hear! It's the best band in the land!
They can play a bu-gle call like you nev-er heard be-fore
So nat-you-ral that you want to go to war
That's just the best-est band what am, oh, ma hon-ey lamb
Come on a-long, come on a-long, let me take you by the hand
Up to the man, the funny man, who's the lead-er of the band
And if you care to hear the Swa-nee Riv-er played in rag-time
Come on and hear, come on and hear,
Al-ex-an-der's Rag-Time Band.

Verse 2:
Oh, ma hon-ey, oh, ma hon-ey, there's a fid-dle with notes that scree-ches,
Like a chick-en, like a chick-en, and the clar-i-net is a col-ored pet
Come and list-en, come and list-en, to a class-i-cal band what's pea-ches
Come now, some-how, bet-ter hur-ry a-long!

Chorus:
Come on and hear! Come on and hear! Al-ex-an-der's rag-time band!
Come on and hear! Come on and hear! It's the best band in the land!
They can play a bu-gle call like you nev-er heard be-fore
So nat-you-ral that you want to go to war
That's just the best-est band what am, oh, ma hon-ey lamb
Come on a-long, come on a-long, let me take you by the hand
Up to the man, up to the man, who's the lead-er of the band
And if you care to hear the Swa-nee Riv-er played in rag-time
Come on and hear, come on and hear,
Al-ex-an-der's Rag-Time Band"
Irving Berlin,All Alone,/i/irving+berlin/all+alone_20068112.html,"All alone, I'm so all alone
There is no one else but you
All alone by the telephone
Waiting for a ring, a ting-a-ling

I'm all alone every evening
All alone, feeling blue
Wond'ring where you are and how you are
And if you are all alone too



I wonder where you are (remember me) and how you are (remember me)
And if you are (I love you) all alone (I love you) too
Note: backup in final stanza is a soprano"
Irving Berlin,All By Myself,/i/irving+berlin/all+by+myself_20068113.html,"I'm so unhappy
What'll I do?
I long for somebody who
Will sympathize with me
I'm growing so tired of living alone
I lie awake all night and cry
Nobody loves me
That's why

All by myself in the morning
All by myself in the night

I sit alone with a table and a chair
So unhappy there
Playing solitaire

All by myself I get lonely
Watching the clock on the shelf

I'd love to rest my weary head on somebody's shoulder
I hate to grow older
All by myself"
Irving Berlin,Always,/i/irving+berlin/always_20068114.html,"{this intro is not used in the ella version; it's included here for completeness}
Intro:
Everything went wrong,
And the whole day long
I'd feel so blue.
For the longest while
I'd forget to smile,
Then I met you.
Now that my blue days have passed,
Now that I've found you at last -
{end intro}

I'll be loving you always
With a love that's true always.
When the things you've planned
Need a helping hand,
I will understand always.

Always.

Days may not be fair always,
That's when I'll be there always.
Not for just an hour,
Not for just a day,
Not for just a year,
But always.

I'll be loving you, oh always
With a love that's true always.
When the things you've planned
Need a helping hand,
I will understand always.

Always.

Days may not be fair always,
That's when I'll be there always.
Not for just an hour,
Not for just a day,
Not for just a year,
But always.

Not for just an hour,
Not for just a day,
Not for just a year,
But always."
Irving Berlin,An Old Fashioned Wedding,/i/irving+berlin/an+old+fashioned+wedding_20277073.html,"Interpolated in 1966 revival]

[Frank:]
We'll have an old-fashioned wedding
Blessed in the good old-fashioned way

I'll vow to love you forever
You'll vow to love and honor and obey

Somewhere in some little chapel
Someday when orange blossoms bloom

We'll have an old-fashioned wedding
A simple wedding for an old-fashioned bride and groom

[Annie:]
I wanna wedding in a big church with bridesmaids and flower girls
A lot of ushers in tailcoats, reporters and photographers

A ceremony by a bishop who will tie the knot and say
""Do you agree to love and honor?"" Love and honor, yes, but not obey

I wanna wedding ring surrounded by diamonds in platinum
A big reception at the Waldorf with champagne and caviar

I wanna wedding like the Vanderbilts have, ev'rything big, not small
If I can't have that kind of a wedding I don't wanna get married at all

[Coda:]

[Frank:]
We'll have an old-fashioned wedding

[Annie:]
If it's not a big wedding I don't wanna get married at all"
Irving Berlin,An Orange Grove In California,/i/irving+berlin/an+orange+grove+in+california_21299155.html,"I've a longing to go
Where the oranges grow
I know a cozy nest
'Way out west

And I miss it so
California my own
Oh how lonely I've grown
That's why I'm on the run

To the one
I left there all alone

Arm in arm we will rove
Through a sweet orange grove
Far away in California
Like a bird I mean to fly west again

And I'll hold her close to my breast again
When the blossoms unfold
And the green turns to gold
Some fine day in California

You'll see a happy girlie and a happy fellow
'Mid the fields of yellow
In an orange grove"
Irving Berlin,Anything You Can Do,/i/irving+berlin/anything+you+can+do_20289288.html,"Annie: Anything you can do I can do better
...... I can do anything better than you
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can, yes, I can

Frank: Anything you can be I can be greater
...... Sooner or later I'm greater than you
Annie: No, you're not
Frank: Yes, I am
Annie: No, you're not
Frank: Yes, I am
Annie: No, you're not
Frank: Yes, I am, yes I am

Frank: I can shoot a partridge with a single cartridge
Annie: I can get a sparrow with a bow and arrow
Frank: I can live on bread and cheese
Annie: And only on that?
Frank: Yes
Annie: So can a rat

Frank: Any note you can reach I can go higher
Annie: I can sing anything higher than you
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can

Annie: Anything you can buy I can buy cheaper
...... I can buy anything cheaper than you
Frank: Fifty cents
Annie: Forty cents
Frank: Thirty cents
Annie: Twenty cents
Frank: No, you can't
Annie: Yes, I can, yes, I can

Frank: Anything you can say I can say softer
Annie: I can say anything softer than you
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can, yes, I can

Frank: I can drink my liquor faster than a flicker
Annie: I can do it quicker and get even sicker
Frank: I can open any safe
Annie: Without being caught?
Frank: Sure
Annie: That's what I thought (you crook)

Frank: Any note you can hold I can hold longer
Annie: I can hold any note longer than you
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can, yes, I can
Frank: No, you can't - yes, you can

Annie: Anything you can wear I can wear better
...... In what you wear I'd look better than you
Frank: In my coat
Annie: In your vest
Frank: In my shoes
Annie: In your hat
Frank: No, you can't
Annie: Yes, I can, yes, I can

Frank: Anything you can say I can say faster
Annie: I can say anything faster than you
Frank: Noyoucan't
Annie: Yesican
Frank: Noyoucan't
Annie: Yesican
Frank: Noyoucan't
Annie: Yesican
Frank: Noyoucan't
Annie: Yesican

Frank: I can jump a hurdle
Annie: I can wear a girdle
Frank: I can knit a sweater
Annie: I can fill it better
Frank: I can do most anything
Annie: Can you bake a pie?
Frank: No
Annie: Neither can I

Frank: Anything you can sing I can sing sweeter
Annie: I can sing anything sweeter than you
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Oh, yes, I can
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't
Annie: Yes, I can
Frank: No, you can't, can't, can't
Annie: Yes, I can, can, can, can
Frank: No, you can't
Annie: Yes, I can"
Irving Berlin,"Be Careful, It's My Heart",/i/irving+berlin/be+careful+its+my+heart_20068115.html,"Be careful, it's my heart
It's not my watch you're holding, it's my heart
It's not the note that I sent you that you quickly burned
It's not the book I lent you that you'll never return

Remember, it's my heart
The heart with which so willingly I part
It's yours to take, to keep or break
But please, before you start
Be careful, it's my heart"
Irving Berlin,Blue Skies,/i/irving+berlin/blue+skies_20068097.html,"I was blue, just as blue as I could be
Ev'ry day was a cloudy day for me
Then good luck came a-knocking at my door
Skies were gray but they're not gray anymore

Blue skies
Smiling at me
Nothing but blue skies
Do I see

Bluebirds
Singing a song
Nothing but bluebirds
All day long

Never saw the sun shining so bright
Never saw things going so right
Noticing the days hurrying by
When you're in love, my how they fly

Blue days
All of them gone
Nothing but blue skies
From now on


[2]
I should care if the wind blows east or west
I should fret if the worst looks like the best
I should mind if they say it can't be true
I should smile, that's exactly what I do"
