artist,song,link,text
Nicki Minaj,1-900-Ms-Minaj,/n/nicki+minaj/1+900+ms+minaj_21385167.html,"(feat. Gravy, Ransom, Murda Mook, Red Cafe & Hell Rell)

Young Big Mike, Dirty Money
And the new problem in the Game
She go by the name of Nicki Minaj
As Ms. Minaj if you nasty (ta-ha)
This shit right here
Is the motherfuckin' Mixtape
Playtime is over
Find you one, I don't co-sign no bullshit
No more talk, lets get it poppin'!

Phone Rings
Yes Sir! Young Big Mike
Nicki Minaj!
Lets get into another brand new joint
This shit right here is called 1-900
Nicki Minaj, Dirty Money!

Nicki moans
Shout out to Fendi, Gravy!
Shout out to the whole Young Money!
Weezy, what's poppin'?

[Nicki Minaj]
Nicki moans
That tickles
Hey...
You've reached... Nicki Minaj
And umm... I can't come to the phone right now 'cause...
I'm sitting on your favorite rapper's face

[Nicki Giggles]
Umm... anyway...
As soon as I get up...
I'll call you back
Bye"
Nicki Minaj,2 Lit 2 Late Interlude,/n/nicki+minaj/2+lit+2+late+interlude_21385011.html,"[Verse]
I said I'm cool on it, baby, yeah, I'm straight
You say it's love, I don't it want it, yeah, too late
Boy, you're too much, too little, yeah, too late
You do too much, too little, yeah, too late

[Chorus]
Boy, you're too much, too little, yeah, too late
Boy, you're too much, too little, yeah, too late
Boy, you're too much, too little, yeah, too late
Boy, you're too much, too little, yeah, too late
Boy, you're too much, too little, yeah, too late
Boy, you're too much, too little, yeah, too late
Boy, you're too much, too little, yeah, too late
Boy, you're too much, I'm cool on it, I'm straight

[Outro]
You shoulda been listenin', listenin' in
Too busy glistenin', glistenin' in
Why you ain't listen then, listen back then?
Now you're too much, too little, yeah, too late"
Nicki Minaj,2012 (It Ain't The End),/n/nicki+minaj/2012+it+aint+the+end_21476777.html,"Oh oh
Jay Sean
Two, zero, one, two
Nicki Minaj
It's alright, oh it's alright

You know what they say
Life ain't always easy and everyday
We're survivors
So forget the day
Its all about tonight act a fool, and start a riot, be a rebel
Bottles poppin' til we cant stand
We keep it rockin' 'til six A.M.
New York to London over to Japan

Turn it up, turn it up
Mash it up
We gonna party like
Party like, like it's the end of the world
We gonna party like, like it's 2012
You know that it doesn't matter as long as we got each other
Turn it up, turn it up
Mash it up
It ain't the end of the world, oh
Gonna live like it's the end of the world
Gonna party like, oh
Turn it up, turn it up
Mash it up
It ain't the end of the world

Simile's, metaphors and we pop pills
Sick flow inundated with the doc bills
Work hard, now we know how to top bills
In the middle of the street doing cartwheels
Lot of them tryna do it but its not real
Wasn't a rapper then I couldn't got a pop deal
White clothes in a hot pink hot wheels
Lot of bottles and a lot of fruity cocktails
Uh, days of our lives, you wink it goes by
So we'll just get it with no Edison
Anything goes so no time for closed minds
And free my Lil' Weezy, and lets just get right
Young Money, Cash Money in the building
Lets go the world ends tonight

Have a drink with me
And lets make tonight go down
In history, in history yeah
Lets play make believe
Its the last twenty-four hours and this
Whole world is ours eternally, eternally

Hey
Bottles poppin' til we cant stand
We keep it rockin' til six A-M
New York to London over to Japan
Turn it up, turn it up
Mash it up
We gonna party like

Party like, like its the end of the world
We gonna party like, like it's thousand and twelve
You know that it doesn't matter as long as we got each other
Turn it up, turn it up
Mash it up
It ain't the end of the world, oh
We gotta live like its the end of the world
We gotta party like, oh

Turn it up, turn it up
Mash it up
It ain't the end of the world, no
No I'm not gonna follow
Anything that they say anymore
It's never to late to start living
So let start it with here right now

Party like like its the end of the world
We gonna party like like it's two thousand and twelve
You know that it doesn't matter as long as we got each other

Turn it up
Turn it up, mash it up
It ain't the end of the world, oh
We're gonna live like its the end of the world
We're gonna party like, oh
Turn it up, turn it up
Mash it up
It ain't the end of the world
The world
Because the world keeps spinning
The world keeps spinning around"
Nicki Minaj,40 Bars,/n/nicki+minaj/40+bars_21385169.html,"[Nicki Minaj Speaking]
Ha ha, ha ha
It's your girl Nicki Minaj, bitches
Listen, y'all better buckle y'all motherfuckin' seat-belts broads
It's goin' down

[Verse 1]
Fitted down and I'm ready to play
When ya album gonna drop, bitches never could say
Say, ""Fuck I look like giving birds they props?
Bitches act like they hot, but I heard they not""
How the fuck you in the game like ten years strong
You bitches still can't write ya own damn songs
You see me on the stoop man these birds just salute me
Whether I'm in the coupe or the hoopti, Duke see
I'm always with a dude, that'll off the kufi
Let him eat my coochie and cop me Pucci
House in the boonies, rock a doobie
Cock the twenty-two,then spark a loosey
He tell me I'm the one, he probably right
He pressing me like button downs on a Friday night
Your girl get it poppin' like dynamite
Dynamite, the coke albino white
Name one bitch in the game, that I can't murder
Chicken noodle bitches, on the side with a soda
Give it to everybody, like a cop with a quota
Stop playing poker hop in something mocha
I eat bitches, no knife, no fork-a (or)
Bitch want it with me? Living the life lo-ca
Oh, I get it you a joker
Leave a dot on your head, and I ain't talking bout polka
You the type, that be runnin' ya mouth
See you on the block, wanna run in ya house
I'm with that nigga Fendi, never fucks with a slouch
I fuck with dirty money, like what's under the couch
Cause ain't a bitch could fuck with my flow
When it comes to drugs, mami just say no
Either you're on something or you're S-L-O
Had to switch up the flow, let this skeptos (sketels) know
I come, cum hard, I don't come with garbage
Just one phone call, they gon' come regardless
I always got the ball ma, I don't roll with starters
Write my own bars and my flow's the hardest, nigga"
Nicki Minaj,Ain't Gone Do It,/n/nicki+minaj/aint+gone+do+it_21112187.html,"[Hook]
Gold in my champagne
Your shit blank, boy your shit lame
Probably just like your dick game
So I don't need to know your name
Don't you see these on my feet?
Bet you can't guess how much I paid
That's a shame
Fuck these simple hoes tryna swerve in my lane

[Verse 1]
Who the fuck told you to not have no chill?
Who the fuck told you we splittin' that bill?
Who the fuck told you that I'm in the hood?
When you know fuckin' right I'm in Beverly Hills
Why you keep starin' at me like you know me?
Spur of the moment, I ball like Ginobili
ESPN, photoshootin' with Kobe
You Photoshop bitches be needin' Adobe
Oh, oh, that's some baloney
Oh, this is Missoni
Oh, you are still lookin' for Kony
Would tell you to call me, but I am not phony
Oh, why your car got a cheap gear?
Mothafucka in his car with some cheap gear
I'm draped in McQueen, Balmain on my jean
Ask Givenchy and Marie Claire

[Hook]
Gold in my champagne
Your shit blank, boy your shit lame
Probably just like your dick game
So I don't need to know your name
Don't you see these on my feet?
Bet you can't guess how much I paid
That's a shame
Fuck these simple hoes tryna swerve in my lane

[Post-Hook]
Do it for the niggas
Girl I ain't gon' do it
Girl I ain't gon' do it
Girl I ain't gon' do it
Do it, do it, do it, do it
Girl I ain't gon' do it
Do it for the niggas
Girl I ain't gon' do it
Girl I ain't gon' do it
Girl I ain't gon' do it
Nah I ain't gon' do it

[Verse 2]
TBA

[Hook]
Gold in my champagne
Your shit blank, boy your shit lame
Probably just like your dick game
So I don't need to know your name
Don't you see these on my feet?
Bet you can't guess how much I paid
That's a shame
Fuck these simple hoes tryna swerve in my lane

[Post-Hook]
Do it for the niggas
Girl I ain't gon' do it
Girl I ain't gon' do it
Girl I ain't gon' do it
Do it, do it, do it, do it
Girl I ain't gon' do it
Do it for the niggas
Girl I ain't gon' do it
Girl I ain't gon' do it
Girl I ain't gon' do it
Nah I ain't gon' do it

[Bridge]
He said, ""Arch your back""
I ain't gon' do it
He said, ""Kiss my neck""
I ain't gon' do it
Talk dirty in my ear
I ain't gon' do it
Do it, do it, do it, do it
He said, ""Arch your back""
I ain't gon' do it
He said, ""Kiss my neck""
I ain't gon' do it
Talk dirty in my ear
I ain't gon' do it
I'ma need some fresh air, bitch

[Hook]
Gold in my champagne
Your shit blank, boy your shit lame
Probably just like your dick game
So I don't need to know your name
Don't you see these on my feet?
Bet you can't guess how much I paid
That's a shame
Fuck these simple hoes tryna swerve in my lane

[Post-Hook]
Do it for the niggas
Girl I ain't gon' do it
Girl I ain't gon' do it
Girl I ain't gon' do it
Do it, do it, do it, do it
Girl I ain't gon' do it
Do it for the niggas
Girl I ain't gon' do it
Girl I ain't gon' do it
Girl I ain't gon' do it
Nah I ain't gon' do it"
Nicki Minaj,All Things Go,/n/nicki+minaj/all+things+go_21091474.html,"[Verse 1]
Yo, I had to reinvent, I put the V in vent
I put the heat in vents, man I been competin' since
I look beyond what people sayin', and I see intent
Then I just sit back and decipher, what they really meant
Cherish these nights, cherish these people
Life is a movie, but there will never be a sequel
And I'm good with that, as long as I'm peaceful
As long as 7 years from now, I'm taking my daughter to preschool
Cherish these days, man do they go quick
Just yesterday, I swear it was '06
Ten years ago, that's when you proposed
I look down, yes I suppose

[Hook]
All things go, all things go
All things go, all things go
I feel a minute, yeah we got it then it's gone
While we keep waiting for a moment 'til it falls
So can't nobody ever tell me that I'm wrong
Cause I'ma ride I'm with you still the night is young
We keep goin', we go, we go, we go
We wake back up and do it all again
We know, we know, say fuck the world, we ridin' til the end
I know its sudden, look at what we've become
I just want you to know that I did it all for you

[Verse 2]
I lost my little cousin to a senseless act of violence
His sister said he wanted to stay with me, but I didn't invite him
Why didn't he ask, or am I just buggin'?
Cause since I got fame, they don't act the same
Even though they know that I love him
Family ties broken before me, niggas trynna kill him, he ain't even call me
And that's the reflection of me, yes I get it, I get it, it was all me
I pop a pill and remember the look in his eyes, the last day he saw me

[Hook]
All things go, all things go
All things go, all things go
I feel a minute, yeah we got it then it's gone
While we keep waiting for a moment 'til it falls
So can't nobody ever tell me that I'm wrong
Cause I'ma ride I'm with you still the night is young
We keep goin', we go, we go, we go
We wake back up and do it all again
We know, we know, say fuck the world, we ridin' til the end
I know its sudden, look at what we've become
I just want you to know that I did it all for you

[Verse 3]
Let me make this clear I'm not difficult, I'm just about my business
I'm not into fake industry parties, and fake agendas
Rock with people for how they make me feel not what they give me
Even the ones that hurt me the most, I still show forgiveness
I love my mother more than life itself, and that's a fact
I'd give it all, if I could somehow, just rekindle that
She never understands, why I'm so overprotective
The more I work, the more I feel like, somehow they're neglected
I want 'Caiah to go to college, just to say ""We did it!""
My child with Aaron, would've have been sixteen, any minute
So in some ways I feel like 'Caiah, is the both of them
It's like he's 'Caiah's little angel, looking over him
And I know Jelani will always love me, and I'll always love him
And I'm just his little sister not Nicki Minaj when I'm around him
Yeah we did it, let's leave this imprint
Just finished writing, this is The Pinkprint

[Hook]
All things go, all things go
All things go, all things go
I feel a minute, yeah we got it then it's gone
While we keep waiting for a moment 'til it falls
So can't nobody ever tell me that I'm wrong
Cause I'ma ride I'm with you still the night is young
We keep goin', we go, we go, we go
We wake back up and do it all again
We know, we know, say fuck the world, we ridin' til the end
I know its sudden, look at what we've become
I just want you to know that I did it all for you"
Nicki Minaj,Anaconda,/n/nicki+minaj/anaconda_21086231.html,"[Intro]
My anaconda don't
My anaconda don't
My anaconda don't want none
Unless you got buns, hun

[Verse 1]
Boy toy named Troy, used to live in Detroit
Big dope dealer money, he was gettin' some coins
Was in shootouts with the law, but he live in a palace
Bought me Alexander McQueen, he was keeping me stylish
Now that's real, real, real
Gun in my purse, bitch, I came dressed to kill
Who wanna go first? I had them push daffodils
I'm high as hell, I only took a half a pill
I'm on some dumb shit, by the way, what he say?
He can tell I ain't missing no meals
Come through and fuck him in my automobile
Let him eat it with his grills, and he tellin' me to chill
And he telling me it's real, that he love my sex appeal
Say he don't like em boney, he want something he can grab
So I pulled up in the Jag, and I hit him with the jab like
Dun-d-d-dun-dun-d-d-dun-dun

[Pre-Hook]
My anaconda don't
My anaconda don't
My anaconda don't want none
Unless you got buns, hun

[Hook]
Oh my gosh, look at her butt
Oh my gosh, look at her butt
Oh my gosh, look at her butt
(Look at her butt)
Look at, look at, look at
Look, at her butt

[Verse 2]
This dude named Michael used to ride motorcycles
Dick bigger than a tower, I ain't talking about Eiffel's
Real country-ass nigga, let me play with his rifle
Pussy put his ass to sleep, now he calling me NyQuil
Now that bang, bang, bang
I let him hit it cause he slang cocaine
He toss my salad like his name Romaine
And when we done, I make him buy me Balmain
I'm on some dumb shit, by the way, what he say?
He can tell I ain't missing no meals
Come through and fuck him in my automobile
Let him eat it with his grills, and he telling me to chill
And he telling me it's real, that he love my sex appeal
Say he don't like em boney, he want something he can grab
So I pulled up in the Jag, Mayweather with the jab like
Dun-d-d-dun-dun-d-d-dun-dun... 

[Pre-Hook + Hook]

[Bridge]
Little in the middle but she got much back
Little in the middle but she got much back
Little in the middle but she got much back
(Oh my God, look at her butt)

[Pre-Hook] (x2)

[Hook]

[Outro]
Yeah, he love this fat ass, HAHAHAHAHAHAHA! 
Yeah! This one is for my bitches with a fat ass in the fucking club
I said, where my fat ass big bitches in the club?
Fuck the skinny bitches! fuck the skinny bitches in the club! 
I wanna see all the big fat ass bitches in the muthafuckin' club
Fuck you if you skinny bitches, what! Kyuh
Hahaaaa, hahaa
I got a big fat ass (ass, ass, ass...)
Come on!"
Nicki Minaj,Autobiography,/n/nicki+minaj/autobiography_20847175.html,"[Chorus:]
May the lord protect me as the world gets hectic
My voice projected my life reflected

Daddy was a crack feind 2 in the morning had us running down the street like a track team

[Verse 1:]
When he burnt the house down n my mother was in it
How could I forget it the, pain infinite
She's my queen and I ain't even british
She's the only reason that I went to school and I finished
She told me that I had talent
Got on her knees and prayed for me when I started being violent
She saw something in me that, until this day I don't know if I could be dat
But I'm a die tryin and when I'm done cryin
Grab the iron
And black out like I'm retiring
Nightmares of you killing my mother
The reason that I sleep with my head under the covers
N shoulda thrown a book at, ch'you cause I hate you so much that it burn when I look at ch'you

[Chorus: x2]
May the lord protect me as the world gets hectic my voice projected my life reflected

[Verse 2:]
Damn I wanna run to you
Hold you n kiss you tell you how I miss you
Thought I would have a son for you
But now it's official it's over and I can't let you go
But I gotta let you know all the s*** I did make it feel like I'm dyin real slow, cause no one understands me they don't know what to do when I'm hurt when I'm angry
You was my friend and my man and my daddy,
You was there when that bitch tried to stab me anything I ever needed knew you had me
Cause of you all them chicks could'ntstand me
So why hurt you that's the question
It took this long for me to learn my lesson
Cause now all I want is peace and get drama
I finally understand the true meaning of karma

[Chorus: x2]
May the lord protect me as the world gets hectic my voice projected my life reflected

Please baby forgive me, mommy was young, mommy was to busy tryna have fun now I pat myself on the back for sending you back cause god knows I was better than that to conceive then leave you the concept alone seems evil I'm trapped in my concience
I adhear to the nonsense listened to people who told me I wasn't ready for you
But how the fuck would they know what I was ready to do
And of course it wasn't your fault
It's like I feel it in the air, I hear you sayin mommy don't cry can't you see I'm right here I gotta let you know what you mean to me when I'm sleeping I see you in my dreams with me wish I could touch your little face or just hold your little hand if it's part of gods plan, maybe we can met again

[Chorus: x2]
May the lord protect me as the world gets hectic my voice projected my life reflected"
Nicki Minaj,Automatic,/n/nicki+minaj/automatic_21010871.html,"I can't control the way I'm movin my hips
Bet you never ever seen it like this
I'm a monster on the floor get with
No no it's automatic, it's automatic

It's automatic I'm a run away train
And it's likely that I tear up this place
When I go I go hard
I'm a show you best side tonight-night-ni-i-ight

It's automatic my conditions unknown
There's no remedy and no antidote
It's just the way that I am
Nicki nicki so bad tonight-night-ni-I-ight

I can't control the way I'm movin my hips
Bet you never ever seen it like this
I'm a monster on the floor get with
No no it's automatic, it's automatic
It's automatic

It's automatic some might call it insane
I asure I'll be stuck in your brain
You'll be fallin for me boy
Just like a domino tonight-night-ni-i-ight

It's automatic when I'm rockin the beat
Systematically I'm droppin your heat
It's just the way that I am
Nicki nicki so bad tonight-night-ni-i-ight

I can't control the way I'm movin my hips
Bet you never ever seen it like this
I'm monster on the floor get with
No no it's automatic, it's automatic

Press rewind
P-p-press rewind
It's automatic
I-I'm einstein
I'm lookin for that einstein
Wales London Ireland
Scotland I have idoled in
South Africa and Brazil
Shut the club down
Bring the bill
Ri-ri-ri-ri-ring the bill
Br-bri-bri-bri-bring the bill
Bri-bri-bring the bill
Shut the club down
Bring the bill

I can't control the way I'm movin my hips
Bet you never ever seen it like this
I'm a monster on the floor get with
No no it's automatic, it's automatic"
Nicki Minaj,Back Together,/n/nicki+minaj/back+together_21477729.html,"Hey Robin

Didn't I rock with you all night
Wasn't it good enough, don't lie
Didn't you tell me that I blew your mind
Brought out the animal in me
Nobody else can tame that beast
Why did you have to go and say goodbye

Now all I wanna do is get, get you back (get, get)
'Cause girl, you're still the best that I've ever had
A one, two, three, let's go

You used your love to tear me apart
Now put me back together (now put me back together)
You put a bullet into my heart
Now put me back together
Come on, I'm an addict
Come on, gotta have it
Come on, let me at it tonight
You used your love to tear me apart
Now put me back together

I wanna live between your legs
Hear all the freaky things you said
I don't like what you're turning me into, into
Baby, you left me on the floor
Now I keep driving past your door
I don't know why you gotta be so cruel (I don't know why)

Now all I wanna do is get, get you back
(Wanna get you back, yeah, yeah, baby, get you back)
'Cause girl you're still the best that I've ever had
A one, two, three, let's go

You used your love to tear me apart (you used your love)
Now put me back together (now put me back together)
You put a bullet into my heart (straight into my heart)
Now put me back together
Come on, I'm an addict
Come on, gotta have it
Come on, let me at it tonight
You used your love to tear me apart (you used your love)
Now put me back together (together, baby)

Yo, ayo, Robin
I get more head than when they noddin'
Kitty on fleek, it's popping, I'm Mary Poppins
Just for the record, that hard is what I'm copping
Blasting 2Pac in some fishnet stockings
You know you miss this, right
M I S S, miss this spot
Used to call me Hillary cause I ride 'em (Rodham)
I said, ring, ring, ring, ring, ra-ring, ring
Put a ring on it or ding, da-ding, ding
Boy your times up, where'd you wind up
There's levels to this, you shoulda climbed up
(Let's go)

You used your love to tear me apart
Now put me back together (now put me back together)
You put a bullet into my heart (right into my heart)
Now put me back together (now put me back together)
Come on, I'm an addict
Come on, gotta have it
Come on, let me at it tonight
You used your love to tear me apart (you used your love)
Now put me back together (put me back together)

Come on, I'm an addict
Come on, gotta have
Come on, let me at it tonight
You used your love to tear me apart (you used your love)
Now put me back together (put me back together)"
