artist,song,link,text
4 Non Blondes,Bless The Beast And The Children,/4/4+non+blondes/bless+the+beast+and+the+children_20530611.html,"Bless the beast and the children
For in this world they have no voice
They have no choice

Bless the beast and the children
For the world can never be
The world they see

Light their way
When the darkness surrounds them
Give them love
Let it shine all around them

Bless the beast and the children
For in this world they have no voice
They have no choice

Bless the beast and the children
Give them shelter from a storm
Keep them safe
Keep them warm

Light their way
When the darkness surrounds them
Give them love
Let it shine all around them

Bless the beast and the children
For in this world they have no voice
They have no choice"
4 Non Blondes,Calling All The People,/4/4+non+blondes/calling+all+the+people_20001270.html,"How can you tell
When your wellness is not well
Make no mistakes now
Please do excuse
My itchy attitude
I'm feelin' righteous
Why, why are we always asking why
To lamely try to justify
For what it is a lack of drive
Calling all the people
Have you nothin' brewin'
Time to flap your big fat mouth
Let's rap how we be doin'
Say might what you say
That's really all it takes to break through
Where is it at
When your moral is a hat
Full of money
Can you explain
Why the messy kitchen sink
Is so confusing
Why, why are we always asking why
To lamely try to justify
For what it is a lack of drive
Calling all the people
Have you nothin' brewin'
Time to flap your big fat mouth
Let's rap how we be doin'
Say might what you say
That's really all it takes
Calling all the people
Have you nothin' brewin'
Time to flap your big fat mouth
Let's rap how we be doin'
Say might what you say
That's really all it takes to break through
Calling all the people"
4 Non Blondes,Dear Mr. President,/4/4+non+blondes/dear+mr+president_10203161.html,"I'm looking outside of my window
The view that I see
And the child is begging for money
Is a child and mama
Tell me why, tell me why
Is she so broke
The woman is blind
The kid's dealing crime
It's such a beautiful city,
But the word is burning it down
I go to my room to turn on the tv
I sit myself down
And I start laughing hard
'cause this man he's asking for money
I'll send you stuff to make you rich fast""
He say ""if you send me lots of cash
But the man he's burning it down
It's such a wonderful country
Yea yea yea yea yea yea
Yea yea yea yea yea
It's such a wonderful country
But the man he's burning it down
Yea yea yea yea yea yea
Yea yea yea yea yea
And it's burning down
One day I'm going to have lots of money
And it's called the us of A
But I'll have to give it up for this rich society
Oh please Mr. President will you lend me a future
'cause you'll just get it back
With the kid on the corner
From the little blind woman
Yea yea yea yea yea yea
And the people full over, doin' crack
Yea yea yea yea yea
But the man he's burning it down
It's such a wonderful country
Yea yea yea yea yea yea
And it's burning down
Yea yea yea yea yea
And it's called the us of A
I'm walking outside on a sunny day
With no one around
And I wonder what's wrong
Then I hear this loud piercing siren
And everybody climbed right on top screaming
Oh my God the bomb has just dropped
What a wonderful country
But the man he's burning it down
He's burning it down
Yea yea yea yea yea yea
But the man he's burning it down
Yea yea yea yea yea
Yea yea yea yea yea yea
It's such a wonderful country
Yea yea yea yea yea
And it's called the us of A and it's burning down"
4 Non Blondes,Drifting,/4/4+non+blondes/drifting_20001271.html,"What a wonderful hesitation
Collapsed to my knees and fell fast into sleep
Who would bear to feel sorry for me
Dropped another pill just to calm me
There I was drifting
Way out into the sunshine
Look at me I'm a tangled puppet
Expecting to crash but I'm tied to a string
I might be a mess but I'm sure can survive
Find myself awake counting sad days
1-2-3 that's too many for me
Reached for my hand but it was already there
Dropped another pill just to find me
Then I started believin'
That I fell out of a tiny raindrop
That lost it's way when I decided to roam
Chasing me was a hungry dweller
Come follow me you won't expect the illusion
But I had escaped it by pretending to die
You'll see it's my imagination
Hand me your eyes
I will put them in front of mine
You'll see a little better
You'll see a little better
Where I am now
What a wonderful destination
I can no longer see
Dropped another pill just to kill me
Collapsed to my knees and fell fast into sleep
There I was drifting
Way out into the sunshine
Look at me I'm a tangled puppet
Expecting to crash but I'm tied to a string
I might be a mess but I'm sure can survive
But I had escaped it by pretending to die"
4 Non Blondes,I'm The One,/4/4+non+blondes/im+the+one_21565808.html,"We came here to entertain you 
Leaving here we aggravate you 
Don't you know it means the same to me, honey 

I'm the one the one you love 
Come on baby, show your love 
Hey, give it to me 
I see a glow that fills this room 
I see it rolling out of you 
Feed her your message from above 
I'm tellin' you, ow 

Show, come on and show your love, ah, yeah 
(Show your love) 
Ow, woo, oh, show (show) show your love babe, ah, yeah 
(Show your) Show it, ow 

Look at all these little kids 
Takin' care of the music biz 
Don't their business take good care of me, honey 

I'm the one the one you love 
Come on baby, show your love 
Hey, give it to me 
I see a glow that fills this room 
I see it rolling out of you 
Feed her your message from above 
I'm telling you, ow 

Show, show your love babe, ah, yeah 
(Show your love) 
Ow, whoo, woo, show (show) show your love babe, ah, yeah 
(Show your...) Show me 
Whoo, Bop bada, shoobe doo wah, bop bada, shoobe doo wah, (ba da whum) 
Bop bada, shoobe doo wah ( bop bada, shoobe doobe doobe doo whum) 
Bop bada, shoobe doobe doobe doo wah 
Bop bada, shoobe doo wah ( bop bada, shoobe doobe doobe doo whum) 
Bop bada, shoobe doobe doobe doo wah 
Bop bada, shoobe doo wah ( bop bada, shoobe doobe doobe doo whum) 
Bop bada, shoobe doo wah, whoo 
Ow (Show your love) 
Ow, ow, come on and show me 
(Show your love) 
Better show, better show your love, now, uh 
(Show your love) 
Ah, yeah, wow 
(Show your) Ow"
4 Non Blondes,Mary's House,/4/4+non+blondes/marys+house_21564196.html,"Fried my brain before my time.
Looked around at all the beautiful people.
And then my arm turned red...
And all I saw was my blood just rush away.
Hid the needle with a smiling face.
Going down just to find my mind...
To lose it in a pile of waste.

Went on down to a merry-go-round.
Chased myself into a vertical hideaway.
And then I fell to the ground.
Someone, please, please,
Take me back to Mary's house...
To push it with a needle again
Don't tell my momma...
She was my only friend

Let me out...
I want out of here.
I refuse to break my hands again.
My best friend is an emergency.
And its Mary's fault..
That's what she said.

Plenty of nights of knotting pain.
Take a drink and help me anyone.
Oh I have lost all shame.
Was it fun?
Who will take me back to Mary's house?
To push it with a needle again.
Don't tell my momma..
She wouldn't understand.

Let me out...
I want out of here.
I refuse to break my hands again.
My best friend is an emergency.
And its Mary's fault...
That's what she said.

I am Mary's house.
I beg you to stay.
I am Mary's house.
I beg you to stay.
I am Mary's house.
I beg you to stay."
4 Non Blondes,Misty Mountain Hop,/4/4+non+blondes/misty+mountain+hop_21091239.html,"Walkin' in the park just the other day, baby
What do ya  what do you think I saw?
Crowds of people sittin' on the grass with flowers in their hair said,
""Hey Man, do you wanna score?""
And you know how it is
I really don't know what time it was, woh, oh, oh
So I asked them if I could stay awhile  yeah, yeah, yeah

I didn't notice but it had got very dark and I was really
I was really out of my mind
Just then a policeman stepped up to me and asked us, said,
""Please, hey, would we care to all get in line? Get in line!""
Well, you know, they asked us to stay for tea and have some fun  oh, oh, oh
He said that his friends would all drop by, ooh
Oooo, oooo, ooooo

Why don't you take a good look at yourself and describe what you see
And baby, baby, baby, do you like it?
There you sit, sitting spare like a book on a shelf rustin'
Ah, not trying to fight it
You really don't care if they're coming  oh, oh, oh
I know that it's all a state of mind

If you go down in the streets today, baby, you better
You better open your eyes  WOAH WOAH YEAH
Folk down there really don't care, really don't care, don't care, really don't
Which, which way the pressure lies
So I've decided what I'm gonna do now
So I'm packing my bags for the Misty Mountains
Where the spirits go now
Over the hills where the spirits fly
I really don't know"
4 Non Blondes,Morphine Chocolate,/4/4+non+blondes/morphine+chocolate_20001273.html,"Substitute my gloom with happiness
Substitute my sickness with health
Substitute my enemies with real good friends
Morphine & chocolate are my substitute, substitutes
Morphine & chocolate can bring me up
Can warm my heart whenever I want it
And every once in a while when I stop and think
Morphine & chocolate are my substitute, substitutes
And you can say ""hey, we've really come a long way""
And you can say ""say, it can only be this way""
But, you might be careful, it really, it really come a long way
And you can say ""hey, it can only be this way""
But, you might be careful, it really hurts when it's real
You might be careful, it really hurts when it's real
You might be careful, it really hurts when it's real
You'll go down, down, down, ooh
Set the alarm clock, baby,
Don't you miss the sun?
I'm feeling really warm hearted baby
Don't you know I'm feeling like someone
I'm fearing for my heart
Morphine & chocolate could never substitute my art!
And that's real love baby
And that's real love baby
And that's real love baby"
4 Non Blondes,No Place Like Home,/4/4+non+blondes/no+place+like+home_20001274.html,"When I wake up in my house
I get dressed then I get lost
I don't know which way to go
Where the hell was I anyways
I guess I'll have a cup of Joe
So I end up on the street

Walkin' talkin' to my own beat
In a fog, in a haze
1-2-3

I've been trippin' out for days
Can you help me find my way home
Don't rock teh boat now, just let it slide
Groovy people walking back and forth, that's right
So I hop on to this bus
Destination reads please save us
Not a soul that I know
To be found in this dark hole
Can you help me find my way home
I'm so tired of looking for the door
Can you help me find my way home
Please help me find my way
I can't find the door
Please help me find my way
Where am I now, where am I now
I find myself just out there floating"
4 Non Blondes,Old Mr. Heffer,/4/4+non+blondes/old+mr+heffer_10203165.html,"Stumbled my way on the darkest afternoon
I got a beer in my hand and I'm draggin' a stoagle too
The back of my brain is tickin' like a clock
I simmer down gently but boil on what the f
Get back 'cause I'm feelin' good tonight
Trouble is a word that stars with a capital T
Get back 'cause I'm feelin' right
I refer myself to the word 'cause I'm so keen
Little do they know that I'm struttin' such a style
It makes the trouble in me all worth the while
So get back 'cause I'm feelin' good tonight
Get back 'cause I'm feelin' right
There goes Billy and Susie walkin' hand by hand
I quickly caught up slurring yo what's the plan
They had fear in their eyes and bellies that ran like dogs
I barrelled down laughing screaming Susie
You forgot your clogs
Well, Old Mr. Heffer
I'm really pleased to meet you
And Susie wouldn't look at me
But Billy wouldn't talk to me
I didn't mean to scare your blue-eyed child
It made me so doggone crazy
I had to chase them for a mile
All wanted was change for a buck
Yea I'm back and I'm feelin' right
Jesus!
Well I'm back and I'm feelin' good tonight
So get back 'cause I'm feelin' right

Check it out!
Back To Search

Browse All Lyrics
Voting:
Rating:
0. 0

0 votes
Rate this song!

Vote for 4 Non Blondes!
Other songs by 4 Non Blondes
4 Non Blondes!

4 Non Blondes cds"
