artist,song,link,text
Phineas And Ferb,12 Days Of Christmas,/p/phineas+and+ferb/12+days+of+christmas_20911308.html,"(Phineas)On the 1st day of christmas pls santa give to me a jet powered rocket ski
(Candace)On the 2nd day of christmas pls santa give to me 2 busted brothers
(Phineas)and a jet powered rocket ski
(Isabella)on the 3rd day of christmas pls santa give to me a sash full of patches
(Candace)2 busted brothers
(Phineas)and jet powered rocket ski(Isabella)on the 3rd day of christmas pls
(Jeremy)on the 4th day of christmas pls santa give to me a silver guitar
(Isabella)a sash full of patches
(Candace)2 busted brothers
(Phineas)and jet powered rocket ski
(Dr Doofenshmirtz)on the 5th day of christmas pls santa give to me the entire tri state area
(Jeremy)a silver guitar
(Isabella)a sash full of patches
(Candace)2 busted Brothers
(Phineas)and jet powered rocket ski
(Baljeet)on the 6th day of christmas pls santa give to me a kiss from a girl
(Dr doofenshmirtz)the entire tri state area or at least a large portion of it, I don't wanna get to greedy
(Jeremy)a silver guitar
(Isabella)a sash full Of Patches
(Candace)2 busted brothers
(Phineas)and a jet powered rocket ski
(Buford)on the 7th day of christmas pls santa give to me more nerds to bully
(Baljeet)a kiss from a girl
(Dr doofenshmirtz)the entire tri state you know what, how about just two of these three sates? That's fair right? Deal?
(Jeremy)a silver guitar
(Isabella)a sash full of patches
(Candace)2 busted brothers
(Phineas)and a jet powered rocket ski
(Francis monogram)on the 8th day of christmas pls santa give to me promotion to colonel
(Buford)more nerds to bully
(Baljeet) a kiss from a girl
(Dr doofenshmirtz)one single state I feel like I was overreaching before, just... Just one state area will be fine, go on with the song
(Jeremy) a silver guitar
(Isabella) a sash full of patches
(Candace)2 busted brothers
(Phineas)and jet powered rocket ski
(Phineas)on the 9th day of christmas pls santa give to me(perry growls)
(Francis)promotion to colonel
(Buford)more nerds to bully
(Baljeet)a kiss from a girl
(Dr doofenshmirtz)five golden rings ya know I had to sing it that way at least once it's tradition and I am traditional
(Jeremy)a silver guitar
(Isabella) a sash full of patches
(Candace)2 busted broyhers
(Phineas) and a jet powered rocket ski
(Carl)on the 10th day of christmas pls santa give to me a job that pays me money
(Perry)krrrrrrrrrrrrr
(Francis)promotion to colonel
(Buford)more nerds to bully
(Baljeet)a kiss from a girl
(Dr doofenshmirtz)yeah actually promotion to colonel sounds pretty sweet is it... Is it too late to change mine
(Jeremy)a silver guitar
(Isabella) a sash full of patches
(Candace)2 busted brothers
(Phineas)and jet powered rocket ski
(Vanessa)on the 11th day of christmas pls santa give to me my own set of wheels
(Carl)a job that pays me money
(Perry)krrrrrrrrr
(Francis)promotion to colonel
(Buford)more nerds to bully
(Baljeet)a kiss from a girl
(Dr doofenshmirtz)you know this is way to much pressure being put on the spot for one thing that I want from this mythic all powerful gift giver who only comes once in a year it insane!
(Jeremy)a silver guitar
(Isabella)a sash full of patches
(Candace)2 busted brothers
(Phineas)and a jet powered rocket ski
(Ferb)on the 12th day of christmas pls santa give to me one line of dialogue
(Vanessa)my own set of wheels
(Carl)a job that pays me money
(Perry)krrrrrrrrrrrrrrr
(Francis)promotion to colonel
(Buford)more nerds to bully
(Baljeet)a kiss from a girl
(Dr doofenshmirtz)how about just some almond brittle? Its a realistic request right?
(Jeremy)a silver guitar
(Isabella) a sash full of patches
(Candace)ah forget it
(Phineas)and a jet powered rocket ski... Inator(dr doofenshmirtz)"
Phineas And Ferb,Aglet,/p/phineas+and+ferb/aglet_20858022.html,"Through the eye of a needle
Time to loosen your tounge
Got a tip how to make ends meet.

A-G-L-E-T! Don't forget it! Get's us all on our feet! Yeah Yeah Yeah
A-G-L-E-T! Aglet! Don't forget it
A-G-L-E-T! Aglet! Don't forget it

A-G-L-E-T! Aglet! Don't forget it
A-G-L-E-T! Aglet! Don't forget it
A-G-L-E-T! (We're tying the world together) Aglet! Don't forget it

A-G-L-E-T! (We're tying the world together) Aglet! Don't forget it
A-G-L-E-T! (We're gonna tie the world together) Aglet! Don't forget it
A-G-L-E-T! (We're gonna tie the world together) Aglet! Don't forget it

One word at a time

Phineas (Talking):
Ladies and Gentlemen my sister, Candace Flynn!

Candace (Singing):
And in the end the most important thing
Is that we never forget
The end of a shoelace is called the...
The uhhh...
Candace (Talking):
Wait a minute! It doesn't matter.
I can't beleive I was almost sucked into this!

Phineas (Talking):
I can't believe you still don't know the word.
I mean we spelled it a bunch of times in the song!"
Phineas And Ferb,Ain't Got Rhythm,/p/phineas+and+ferb/aint+got+rhythm_20746896.html,"So you're saying that you don't have rhythm
But listen at what you're doing right there
With that stamp and a book you've got a real nice hook
Sounds to me like you've got rhythm to spare

I have no idea what your talking about
I've got as much rhythm as that chair
What happened to me was a tragedy
But I don't have to be a millionaire
Look I got a sweet deal going on here
I've got all the books that I can read
All these sweet old ladies and this carpet from the 80's
What more could a librarian need?
Besides I ain't got rhythm
No I ain't got rhythm
Said I ain't got rhythm
I ain't got rhythm

You're kidding me right, you're, you're kidding me
Don't you see what you were doing right then
That's a wicked groove you were starting to move
Mr., you got rhythm times 10

I think perhaps that your not listening
I find it tedious to repeat
It's no big crime
I just can't keep time
I'm telling you I lost the beat
I don't need my face on t-shirts
Or hit a power-chord guitar
They were screaming my name
I guess it's a shame
But I don't need to be a rock star
Besides I ain't got rhythm
No I ain't got rhythm
Said I ain't got rhythm
I ain't got rhythm

I ain't got rhythm
Sounds like rhythm to me
No I ain't got rhythm
Seems like they all agree
Said I ain't got rhythm
I aint got rhythm
But your laying down some funky syncopation
I ain't got rhythm
But you got that beat
No I ain't got rhythm
Look at them, their stomping their feet
Said I ain't got rhythm

I ain't got rhythm
It's time for you to rock a brand new generation
Gonna rock a brand new generation

Cause I ain't got rhythm
Would you just go join the band
Hey! Look at me!
Hey I got rhythm!"
Phineas And Ferb,Alien Heart,/p/phineas+and+ferb/alien+heart_20912099.html,"Announcer: And now, the band you've been waiting for, Max Modem and the Mainframes! 
Lawrence: I think my girlfriend is an alien, 
Invading force from Planet 10, 
Said she was from out of town, 
But I know what she meant... 

Lawrence and Phineas: I know she's from another galaxy, 
Lawrence: I don't know just what she's a-doing with me! 
She treats my love like a science experiment... 

Hubble-Bubble

Does she love me for who I am?
Or does she want to put my brain in a can?
She can have it 'cause I never want to be apart... 
Fan-girl: Take my leg warmers, Max! 

Lawrence: From her alien heart! 

(She's got an alien) Heart! 
(She's got an alien) Heart! 
(She's got an alien) She's got an alien heart! 
(She's got an alien) Heart! 
(She's got an alien) Heart! 
(She's got an alien) Heart! 

Perry/Doofenshmirtz interruption

She's got an alien heart! 
(She's got an alien) Pumps like the Dickens! 
(She's got an alien) She's got an alien heart! 
(She's got an alien) Heart... 
(She's got an alien) Heart... 
(She's got an alien) She's got an alien heart... 

We're Max Modem and the Mainframes! Thank you Tri-State Area!"
Phineas And Ferb,All The Convoluted Reasons We Pretend To Be Divorced,/p/phineas+and+ferb/all+the+convoluted+reasons+we+pretend+to+be+divorced_21101282.html,"Charlene-2: When a dictator gets deposed, 
And then he's thrown into the DOC... 
Doofenshmirtz-2: Oy vey! 
Charlene-2: His wife is thrown in right beside him
Under key and lock.
So to avoid a situation
With such limited appeal... 
Doofenshmirtz-2: Me and Mrs. Doofenshmirtz, 
We struck a little deal.

Charlene-2: We told everyone around us
We had split.
Doofenshmirtz-2: Yes, we were through! 
So, if they came to haul me off, 
They wouldn't get her, too.
Charlene-2: There's that and then there's also tax
Advantages, of course.
Doofenshmirtz-2 and Charlene-2: All the convoluted reasons
We pretend to be divorced.

We get double the amount
Of discount coupons in the mail.
We have twice the junk to offer
In our annual yard sale.
We each have our separate bathrooms, 
Bedrooms, living rooms, and dens, 
We see each other all the time
But through a telescopic lens.

Charlene-2: We don't agree on restaurants
Or where to holiday.
Doofenshmirtz-2: But now for those activities
We go our separate ways.
Doofenshmirtz-2 and Charlene-2: We spend so little time together, 
Conversation's never forced.
All the convoluted reasons
We pretend to be divorced."
Phineas And Ferb,Aren't You Alittle Young To Build A Rollercoaster,/p/phineas+and+ferb/arent+you+alittle+young+to+build+a+rollercoaster_21024167.html,"Engineer: Aren't you a little young to build a rollercoaster
Phineas: Yes, yes I am
Eng.: Well I must say that I'm really quite impressed
But all your permits are in order
Don't forget the bricks and morter
And if you need a power loader be my guest
But if I'm pressed
I'd say you look a little young to drive a forklift
Phineas: Yes, yes I am
Eng.: It's good to see a younger guy like you

Who's creative and ambitious
A little bigger than his britches
And who got a fresh, exciting point of view
Yes, it's true
That you seem a little young
To do the things that you do
Even with all the moxie you've got
Yes, you seem a little green
To be controlling this machinery
Phineas: Yeah, I get that a lot"
Phineas And Ferb,Back In Gimmelshtump,/p/phineas+and+ferb/back+in+gimmelshtump_20913167.html,"Dr. Doofenshmirtz: Back in Gimmelschtump
I always had to keep it real
Cause when you grow up in Gimmelshtump
Young Heinz: Your childhood is less than ideal! 
Dr. Doofenshmirtz: So I don't dwell on how I'll crawled my way out of the gutter
No I don't! 
When people ask me what I mean, I say
D-D-D-Do I stutter! 

Dr. Doofenshmirtz: But I'm no longer a hater
Cause I got an Inator
And a over-complicated scheme
I get a couple of checks
Every month from my Ex
So I can finance my coming regime! 

And though my past was a wreck
I won't let it affect
My aspirations to cause mass hysteria
Cause I'm as sure as can be
That it's my destiny
To be the ruler of the Tri-State Area!"
Phineas And Ferb,Backyard Beach,/p/phineas+and+ferb/backyard+beach_20734402.html,"Listen up people on the beacha,
Bout Phineas and Ferb in the backyard beach,
Every mornin' Phineas he gonna say,
Brother what you gonna do today,
Now you see were have fun playing under the sun,
Get in line... Get in line cause the wet skis runnin,
My backyard beach... My backyard beach,
Nothing's out of reach in the backyard beach,
You can change in the broken hut,
Drink out of a coconut,
3 game for a token but the rest is free,
You got skiing... Para sailing,
Surfing and a flailing put our contacts in saline or the rest you can't see,
At the backyard beach... At the backyard beach,
Nothing's out of reach at the backyard beach,
The backyard beach... The backyard beach,
Don't fall into the breech at the backyard beach!
Ahhhhhhhhhhhhhhahhhhhhhhhhhhhhhhhhhh!"
Phineas And Ferb,Baliwood,/p/phineas+and+ferb/baliwood_20905837.html,"Baljeet: From the mountains of the Himalayas, 
To the valleys of Kashmir.
My forefathers and their four fathers
Knew one thing very clear:
That to be a great success in life, 
You have to make the grade.
But if I cannot build a prototype, 
My dreams will be purйed! 
Phineas, Ferb, Baljeet: Purйed! Purйed! 

Phineas: I know what we are going to do today! 
Ferb and I are on the case! 
We'll help you build your prototype, 
You won't be a disgrace! 

Baljeet: Good! With your mechanical inclinations, 
And my scientific expertise, 
We are a team that can not be beaten-

Phineas: Wait, something just occurred to me, 
Where's Perry?
Where's Perry?"
Phineas And Ferb,Brand New Best Friend,/p/phineas+and+ferb/brand+new+best+friend_21119307.html,"[Spoken]
Do I know you?
Yeah, I'm you, from another dimension!
Well, that would explain the handsomeness
Right back atcha, big guy!
Does that mean you and I are exactly alike?
...I suppose so...

[Verse 1]
Do you want some rice pudding?
Ick, no, that's gross!
It was a test! Almond brittle?
Ooh, I love it the most!
Me too!

[Verse 2]
Do you collect coins?
Yeah, just in case
Vending machines become the
Dominant race

[Pre-Chorus]
I've been alone all these years
With my irrational fears
(But not that vending machine thing
That's gonna happen)
But now before me I see
Someone with whom I agree

[Chorus]
I've found a brand new best friend
And it's me
I've found a brand new best friend
And it's me

[Verse 3]
Hmm, I thought I'd be taller
I've been told I slouch
I thought I've have both my eyes, you know?
It's in this pouch. Ouch!

[Spoken]
You know, I can't help but notice that your scar goes over your eyepatch
Yeah...
...Nothing...

[Verse 4]
Do llamas weird you out?
Yeah, are they camels or sheep?
No, no, I meant Lorenzo
Oh, that's right, he played Meap

[Pre-Chorus]
Now I know all about you
And you know all about me (ooh, wee, ooh!)
And now before me I see
Someone with whom I agree

[Chorus]
I've found a brand new best friend
And it's me
I've found a brand new best friend
And it's me

[Outro]
Now that I've found you
We can be a duo
That's right, twice the evil
Double Doofenshmirtz
Coming at you Fridays!

[Spoken]
What's that, are we doing a TV show together?
Oh, no, it just sort of sounded like- I-I mean we could. We should!
Hmm, maybe we're not so much alike...
That could be your catchphrase! You're the grumpy one. Eh?"
