artist,song,link,text
Queen,'39,/q/queen/39_20112598.html,"Words and music by Brian May

In the year of '39
Assembled here the volunteers
In the days when lands were few.
Here the ship sailed out into the blue and sunny mornin',
The sweetest sight ever seen.
And the night followed day,
And the storytellers say
That the score brave souls inside
For many a lonely day
Sailed across the milky seas
Ne'er looked back, never feared, never cried.

Don't you hear my call
Though you're many years away?
Don't you hear me calling you?
Write your letters in the sand
For the day I take your hand
In the land that our grandchildren knew.

In the year of '39
Came a ship in from the blue,
The volunteers came home that day.
And they bring good news
Of a world so newly born,
Though their hearts so heavily weigh.
For the earth is old and grey
To a new home we'll away,
But my love this cannot be,
For so many years have gone
Though I'm older but a year
Your mother's eyes from your eyes cry to me.

Don't you hear my call
Though you're many years away?
Don't you hear me calling you?
Write your letters in the sand
For the day I'll take your hand
In the land that our grandchildren knew.

Don't you hear my call
Though you're many years away?
Don't you hear me calling you?
All your letters in the sand
Cannot heal me like your hand,
For my life
Still ahead.
Pity me."
Queen,(You're So Square) Baby I Don't Care,/q/queen/youre+so+square+baby+i+dont+care_20944081.html,"==============================================
Queen - (You're So Square) Baby I Don't Care
==============================================

Words and music by Buddy Holly

You don't like crazy music, you don't like rockin'
You just want to go to a movie show, and sit their holdin' hands
You're so square, baby I don't care

I don't know why my heart blips, I only know it does
I only want to love you baby, I guess its just because
You're so square, baby I don't care

You don't know any dance steps, but I do-a-hoo-hoo
I only know why I love you like I do-a-do-a-do-a-do
You don't like crazy music, you don't like rockin'
You just want to go to a movie show, and sit their holdin' hands
You're so square, baby I don't care
Baby I don't care, baby I don't care"
Queen,A Human Body,/q/queen/a+human+body_20112709.html,"Words and music by roger taylor

They were talking in whispers
In bear skins and fur
Captain scott and his heroes to be
To have laboured so long
To have made it this far
Ooh its been such a long ride
Ooh you know its been a long way
For a human human human
For a human body you see
Can you believe it happens?
Now it happens here
Do you believe do you believe or really care
Can you believe it happens?
Now it happens here
To a human human
With a human body you see

There aint nobody gets out of this moonlight
Today is surprisingly fair
Oh oh oh oh woo woo

Weve got problems the lone ranger can't fix
The invisible man couldn't see
It takes a tough guy
To learn some new tricks
Ooh it takes such a long time
Ooh its been such a long way
For a human human human
For a human body you see
Can you believe it happens?
Now it happens here
Do you believe do you believe or really care
Can you believe it happens?
Now it happens here
To a human human
With a human body you see

You know its been such a long while
Its been such a long while
Takes such a long time
It takes such a long time
Its been such a long way
Been such a long way
Its been such a long while
Been such a long while
Yeah yeah yeah yeah yeah yeah!
Its gonna be a long ride"
Queen,A Kind Of Magic,/q/queen/a+kind+of+magic_20112487.html,"Words and music by roger taylor

It's a kind of magic
It's a kind of magic
A kind of magic

One dream one soul one prize one goal
One golden glance of what should be

It's a kind of magic
One shaft of light that shows the way
No mortal man can win this day

It's a kind of magic
The bell that rings inside your mind
Is challenging the doors of time

It's a kind of magic
The waiting seems eternity
The day will dawn of sanity
Is this a kind of magic

It's a kind of magic
There can be only one
This rage that lasts a thousand years
Will soon be done
This flame that burns inside of me
I'm here in secret harmonies

It's a kind of magic
The bell that rings inside your mind
Is challenging the doors of time
It's a kind of magic

It's a kind of magic
The rage that lasts a thousand years
Will soon be will soon be
Will soon be done
This is a kind of magic
There can be only one
This rage that lasts a thousand years
Will soon be done-done
Magic - it's a kind of magic
It's a kind of magic
Magic magic magic magic
Ha ha ha it's magic
It's a kind of magic"
Queen,A Winter's Tale,/q/queen/a+winters+tale_20112563.html,"Its winter-fall
Red skies are gleaming - oh -
Sea-gulls are flyin over
Swans are floatin by
Smoking chimney-tops
Am I dreaming...
Am I dreaming...?

The nights draw in
Theres a silky moon up in the sky - yeah -
Children are fantasising
Grown-ups are standin by
What a super feeling
Am I dreaming...
Am I dreaming...?
Woh-woh-woh-woh

(dreaming)
So quiet and peaceful
Tranquil and blissful
Theres a kind of magic in the air
What a truly magnificent view
A breathtaking scene
With the dreams of the world
In the palm of your hand

(dreaming)
A cosy fireside chat
A little this, a little that
Sound of merry laughter skippin by
Gentle rain beatin on my face
What an extraordinary place!
And the dreams of the child
Is the hope of the man

Its all so beautiful
Like a landscape painting in the sky - yeah -
Mountains are zoomin higher - mm -
Little girls scream an cry
My world is spinnin and spinnin and spinnin
Its unbelievable
Sends me reeling
Am I dreaming...
Am I dreaming...?
Oooh - its bliss."
Queen,Action This Day,/q/queen/action+this+day_20112446.html,"Action
This street honey is a mean street
Living in thsi street honey needsa a mean
Streak
Weve got criminals living in this street
But there's a heartbeet pulse that keeps on
Pumping
Like a jukebox playing the same dead record
Or a radio in the corner keeps blaring
I gotta feeling, this world is using me
This town honey is a dead town
Living in this town honey is a showdown
But there's a heartbeat pulse that keep in
Pumping
Some sunshine ray through a crack in a
Shutter
Or a sight of a light at
The end of a tunnel
I got a feeling, this world is using me
Action this day
Action this night
Weve gotta learn to learn to live to love
You can't say it aint right
Action this day
Action this night
Youve got the power, youve got the power
Youve got the power to love and to live
You can't say it aint right
Your mind honey is a bleak place
Living in your minds living in a bleak place
Your mind is coming from a rat racce
But there's a heartbeet pulse that keeps on
Pumping
Like a jukebox playing the same dead record
Or a radio in the corner keeps blaring
I gotta feeling that just wont quit, this
World is using me
Action this day
Action this night
Weve gotta learn to learn to live to love
We can't say it aint right
Action this day
Action this night
Youve got the power, youve got the power
Youve got the power to love, to live
You can't say it aint right
Action
Action this day"
Queen,"All Dead, All Dead",/q/queen/all+dead+all+dead_20112586.html,"Memories, my memories
How long can you stay
To haunt my days
She came without a farthing
A babe without a name
So much ado about nothing
Is what shed try to say
So much ado my lover
So many games we played
Through every fleeted summer
Through every precious day

All dead all dead
All the dreams we had
And I wonder why I still live on
All dead all dead
And alone Im spared
My sweeter half instead
All dead
And gone
All dead...

All dead all dead
At the rainbows end
And still I hear her own sweet song
All dead all dead
Take me back again
You know my little friends
All dead
And gone
All dead and gone

Her ways are always with me
I wander all the while
But please you must forgive me
I am old but still a child

All dead all dead
But I should not grieve
In time it comes to everyone
All dead all dead
But in hope I breathe
Of course I dont believe
Youre dead
And gone
All dead
And gone"
Queen,All God's People,/q/queen/all+gods+people_20112459.html,"So all you people give freely
Make welcome inside your homes
Thank God you people give freely
Dont turn your back on the lesson of the lord
All prime ministers and majesty around the world
Open your eyes look, touch and feel
Rule with your heart, live with your conscience
Love, love,
Love, love and be free
Were all gods people
Gotta face up
Better grow up
Gotta stand tall and be strong
Gotta face up
Better grow up
Gotta stand tall and be strong
Gotta face up
Were all gods people
Yeah - yes there was this magic light
I said to myself
Id better go to bed and have an early night
Then i, then i, then I went into a dream
Rule with your heart and live with your conscience
Were all gods people give freely
Make welcome inside your homes
Let us be thankful, hes so incredible
Were all gods people
Were all gods people
Were all gods people
Were all gods people"
Queen,Another One Bites The Dust,/q/queen/another+one+bites+the+dust_20112678.html,"Steve walks warily down the street with the brim pulled way down low
Ain't no sound but the sound of his feet, machine gun's ready to go
Are you ready? Hey, are you ready for this?
Are you hanging on the edge of your seat?
Out of the doorway the bullets rip to the sound of the beat, Yeah
Another one bites the dust
Another one bites the dust
And another one gone
And another one gone
Another one bites the dust
Hey, I'm gonna get you too
Another one bites the dust

How do you think I'm gonna get along without you when you're gone?
You took me for everything that I had and kicked me out on my own
Are you happy? Are you satisfied?
How long can you stand the heat?
Out of the doorway the bullets rip to the sound of the beat (Look out)
Another one bites the dust
Another one bites the dust
And another one gone
And another one gone
Another one bites the dust
Hey, I'm gonna get you too
Another one bites the dust

Hey
Oh, take it
Bite the dust
Bite the dust yeah

Hey
Another one bites the dust
Another one bites the dust, oh
Another one bites the dust, hey, hey
Another one bites the dust, heeeeey
Oh, shoot out

There are plenty of ways you can hurt a man and bring him to the ground
You can beat him, you can cheat him
You can treat him bad and leave him when he's down
But I'm ready, yes I'm ready for you
I'm standing on my own two feet
Out of the doorway the bullets rip, repeating the sound of the beat. Oh yeeeah
Another one bites the dust
Another one bites the dust
And another one gone
And another one gone
Another one bites the dust
Hey, I'm gonna get you too
Another one bites the dust
Shoot it
Hey
Alright"
Queen,April Lady,/q/queen/april+lady_20112636.html,"Words and music by brian may and tim staffell

She won our hearts the arts she loved
Is painting pictures for free
When she was done she hung them up
For all the children to see
Goodbye april lady
Its been good to have you around
Goodbye april lady
Youve done a lot for the folks in this town
The children learned to read
She strung their beads
Its sorry she was the one
As you can see isn't she good
She don't leave nothing undone
Goodbye april lady
Its been good to have you around
Goodbye april lady
Youve done a lot for the folks in this town
She taught them all to love
She was their cream
And we don't want her to go
But we know too well
She fell in love
And theres no stopping her so
Goodbye april lady
Its been good to have you around
Goodbye april lady
Youve done a lot for the folks in this town
Goodbye april lady..."
