artist,song,link,text
Repablikan,Aking Pagmamahal,/r/repablikan/aking+pagmamahal_20784192.html,"Mahal sana'y pakinggan mo... 
Ang awitin kung ito
Na handa akung magbago para lamang saiyo

Lahat ay aking gagawin
Wag ka lang mawalay sa akin
At ang puso't isip ko sana'y iyo din angkinin... 

At maramdaman muh sana ang pag-ibig saiyo... 
Di sasayangin ang pag-ibig na inalay mo... 

At handa ko pung baguhin ang lahat lahat sa akin... 
Bhie mahalin mo lang ako yun lang ang tangi kung hiling

Aking pagmamahal sana nama'y maramdaman
At malaman mo lang na ikaw lang ang siyang laman
Ang isang tulad ko na umiibig sa iyo
Sana'y dinggin ang mga panalangin at awitin kong ito... 

Aking pagmamahal, sana nama'y masuklian... 
At ang nais ko lang sana iyong maramdaman
Ang isang tulad ko na umiibig sa iyo
Sana'y dinggin ang mga panalangin at awitin kong to... 

At ngaun alam kuh na tibok ng puso muh sinta, 
At ikaw lang ang babae sakin nagpapasaya
Sana'y malaman ng pag-ibig na inalay ko sayo... 
At ikaw ang dahilan kaya ako ay nagbabago... 

Tanging hiling sa maykapal na tau pa ay magtagal
Pangako kuh sau mahal ihaharap ka sa altar... 
At salamat nga pala sa mga kaibigan ko na nagpapasaya sa akin pag pinapaluha mu... 

Aking pagmamahal sana nama'y maramdaman
At malaman mo lang na ikaw lang ang siyang laman
Ang isang tulad ko na umiibig sa iyo
Sana'y dinggin ang mga panalangin at awitin kong to... 

Aking pagmamahal,, sana nama'y masuklian
At ang nais ko lang sana iyong maramdaman
Ang isang tulad ko na umiibig sa iyo
Sana'y dinggin ang mga panalangin at awitin kong to... 

Kay sarap naman isipin na pang habang buhay na
Ang samahan nating dalawa
Na palagi kang masaya
At ikaw lang at ako ang tutupad sa pangarap mo
Dingin muh sana ang pag-ibig na inalay ko sayo

Lahat ay aking gagawin
Mahalin lang ang katulad ko
At kung maskatan ka, sana na ako'y handang magbago... 
At lahat lahat ng to'y nagawa koh para sa iyo at ikaw ang dahilan kaya ako'y nagsusumamo... 

Aking pagmamahal sana nama'y maramdaman
At malaman mo lang na ikaw lang ang siyang laman
Ang isang tulad ko na umiibig sa iyo
Sana'y dinggin ang mga panalangin at awitin kong ito... 

Aking pagmamahal, sana nama'y masuklian... 
At ang nais ko lang sana iyong maramdaman
Ang isang tulad ko na umiibig sa iyo
Sana'y dingin ang mga panalangin at awitin kong ito... 

Nanana nananana nananna nananana nana

Aking pagmamahal, sana nama'y masuklian... 
At ang nais ko lang sana iyong maramdaman
Ang isang tulad ko na umiibig sa iyo
Sana'y dinggin ang mga panalangin at awitin kong ito... oohhh..."
Repablikan,All Star,/r/repablikan/all+star_20769763.html,"Verse I:

Ako nang unang bibira para mabomba ang bara
Kaya kong mag ihaw ng taba gamit ang lampara
Pinto ko'y di ko sasara mananatili tong bukas
Para sa mga ungas na susubok saking lakas
Tanging sandigan ay taas matindi pa ko sa batas
At nung ako ay lumabas mga pulgas nagsikalas
Ang isang makatang taga manda ang pangalan ay pangaso
Di ko binanggit ang pangalan mo wala kang kaso
Tinrangkaso ang mga tangang makatang puro yabang
Sarap isargo ng pangang pangharang ng malamang
Ako si lirico payat na malaki noo
Pakinggan mo awit nato para sayo to ginoo

Verse I I:

Ang paglapag ko sa isang laro kung san ka bagay
Kung papalag ka pa bano tignan kung san ka bagay
Pag ako ang bumuga mas malupit pa sa mayon
Pabangisan palupitan sakin magkasama yon
Wag ka na magtangka pa na umepal dahil baka mangalaska
Wala akong pakialam kahit na magaling ka pa mang alaska
At hindi usapan kung tayo ay di magkasingtanda
Ito ay paalala sa mga di nagsipagtanda
Binalasa ko mga kalaban ko't pinagtabuyan
Binalasa ko bangis ng letra ko't pinagsabuyan
Akin ng pasasabugin ang galit sa sindikato
Oh eto ang bomba pare pakisindi nga to

Verse I I I:

Tawagin na ngayon lahat lahat ng pwede mong tawagin
Pag ako na ang bumanat di mo na pwedeng awatin
At sukatin ang libingan lampas anim na dipa
Kung pinalad ka noon ngayon samin na iba
Kaya mikropono ay akin at aking wawasakin na
Kalaban napa sakin na diploma at stamina
Basahin mo ang pahina ilan na ang nagpahinga
Korona na sa amin na ilan na ba ang biktima
Ang dami na mula andromida ating pagitan
Sumulat ka man ng maganda o kahit pangitan
Hindi ka mananalo sa pakikipagdigma
Saking talentong di pantao batang laging sa gitna
Marami saking nabigla ng hinawakan ang mikropono
Natalo mo ako sa duwelo sino ang niloko mo
Istupido si kupido man di ka papanain
Sa laban natin kailanma'y di ka papalarin

Verse iv:

Kapag nag umpisang bumanat entablado'y mawawasak
Pulidong mga barang na sa utak mo'y tatarak
Sulidong mga letra na inyong matatamasa
Sa mga magpipilit ako'y makikipag sagupa
Ako ay isang paham na nakikipag tagisan
Wala kong magawa kaya ika'y pagbabalingan
Ng aking oras parang posas at di ka makakatakas
Tampalasang na katulad mo ako ay paghihimas
Sapagkat mga banat mo ay kulang sa pagsusuri
Siguro kahit na langgam ay di ka mapupuri
Wag mo kaming daanin sa iyong pagmamalabis
Slim at siobal d ngayon sayo ang maglilitis

Verse V:

Simulan mo na maghanap ng pwedeng saking itumbas
Maghakot pa ng kasama punuin ang pitong bus
O higit sampu basta ung pedeng maipangsanggalang
Simple lang ang paraan para maibagsak kalang
Kasi ako ung tipo na di kayang ilampaso
Ng mga dapat pang mag aral mag bilang ng ilang pasko
Ngayon ay lalabas ko ang pasensya sa dibdib
At sayo ihahampas ko ang prisensya ng bibig
At sa pagtitig ng mata nakataas parin ang kilay
Tumindig man ng madapa bakas parin ang pagkapilay
Hindi na malaman umano ang dapat na ihakbang
Nang di tawanan umano ng mga itinakdang
Ipwesto sa pinakamataas na libel
Kaya alisto sa pinakamalakas na baril
Na sing laki ng kanyon kailangan ng higanting bala
Katumbas nyan ay ang lupet ni numerious ginantimpala

Verse vi:

Makinig sa letrang kayang magkamada ng bigas
Kami ang repablikan ang armada ng tigas
Ang mga nangyari sa mga kalaban pagkapalo ko
Ng mga salita nakatikim ng pagkatalo
Kung nakalingat ako nagsikalat ang mga bobo
Pagbwelta ko parang nagsikalasang mga lobo
Na walang pag asa pagkat pagtapon ng mga buhay
Dapat sa demonyong yan ipakapon ang mga sungay
Di na susukat ang iyong galing sa bilang ng patalo
Ngayon makinig ka sa mga dilang makabago
Flict g ang anim na tugma ay akin ng hinanay
Pag narinig mo to para ka lamang inanay

Verse vii:

Nagtakbuhan ang mga puta ng lusubin ko sa kuta
Parang mga tupang nagsikalat ng ako na ang nanguna
Sa digmaan at bakbakan ang lakas tinatapakan
At kung sino mang umentra ay aking tinatapalan
Ng mga letra kong nagtatalsikan parang laway
Ako si cocky na dumudurog ng kaaway
Walang patawad at sindikatong isinilang
Dala ko ang kargadang di mahaba maiksi lang
Pero kayang tapusin kahit na gano kadami
Bilang ng tinaob ko pare ay napakarami
Uubusin ko lahat kayo mga mapagbalat kayo
Kahit ilan pa man kayo durog lahat sa pagbayo

Verse viii:

Isang __ ng __ puro mga alanganin
Bawat bibitawan ko siguradong di mo kakayanin
Bakit? Wag mo ng subukang magtanong
Dahil lahat ng pilit humarang isa isang pinagulong
Parang basahan na aking pinamunas sa
Mga nangangarap na basurerong maaangas sa
Mga maeepal na mahihilig magpanggap
Di mo matanggap panis kayong lahat
Makinig kayo sa bawat dikta ko
Lahat ng yabang mo lalamunin mo
Ngaun itanim mo sa walang lamang kukote niyo
Masta plan pangalan ko
Galing pa ko ng cavite
Repablikan southside

Verse ix:

Para muling nasa eksena at makikipagtagisan
Layunin ay durugin ang mga nagsisipagtigasan
Sa larangan ng tula sige subukang kalabanin
Pag ako katunggali mo ang lagay mo alanganin
Kaya wag mo ng balaking sumabay ng palupitan
Di ka mananalo samin kaya wag ng ipagpilitan
Ang katulad mong tanga sa ami'y hindi nababagay
Magpakabihasa na muna bago ka samin humanay
Malumanay man ang banat ko pero pulido
Letra ko na bibitawan sin tigas pa ng kungkreto
Sa kukote mo ipasok kailan may di mo kaya
Kahit anung gawin mo style ko di mo magagaya

Verse X:

Hindi kana makakabangon pag ako ang kinalaban
Lahat ng aking dadaanan siguradong kakabagan
Dadapa ang lahat sakin ay haharang
Pupuksain kita na parang isang mambabarang
Na parang harang na aking gigibain
Ang buhay mo ay siguradong aking kikikilen
Hindi mo kakayanin kahit ilan pa ang
Iyong tawagin parang bumangga ka lang
Sa pinakamatibay at walang makakasabay
Ako ang sindikato na walang makakapantay
Sa kahusayan lahat ng ***** basura
Ang nararapat sa inyo ay ***** na mura

Verse xi:

Kami'y sinilang at sa microphone ngayon sumalang
Talino na dala lumalagpas at di masalang
Sinuyod na namin ang iba't ibang lugar
Sa mga mapang api kami'y depensang militar
At tinahak ng utak ang masukal na lagusan
Ang pinamalas namin ay hindi matatawaran
Marami ngang humarang ngunit lahat paralisado
Kapag pamilya repablikan ang nasa entablado
Ganyan kabagsik parang legitate ng gatilyo
At mas maikli pa to kesa sa hampas ng martilyo
Mga walang respeto magmumumog ng dugo
Papel na pinunas sa tumbong ang syang panyo"
Repablikan,Babala,/r/repablikan/babala_21050731.html,"Sige na halika pakinggan ang mga salitang binibitawan ng isang makatang di
Malaman ng mga kalaban kung paano makakauwi ng mga takteka na ginagamit na
Pinakamalupit sa laro kapag ako ang nakapagsabayan sa mga katunggali na
Uuwi sa kamatayan na hindi namamalayan kung paano ko to hinatid na mga
Salita na babala at pinababatid huwag munang subukang tapatan ang mga banat
Na napatikim namulat sa mga malulupit imulat ang mga mata upang iyong
Maunawaan na kahit gaano karami di magagawang unahan ang mga kalaban sa mga
Maturing kataga kahit ako pa mag-isa wala kayong magagawa sinimulan ko noon
Hanggang ngayon ako pa rin ang pinakamatibay sa 'kin namulat ang lupain,
Siobal D. Sa lupa na to pinanganak di ko na mabilang ang mga kalabang
Sinibak sa pamamagitan ng balang pinapakawalan pag binihag na kita di ka na
Papakawalan ng buhay sige na halika sumabay pag hinawakan ang mikropono
Handa ng pumatay ako lang mag-isa hindi ko na kailangan na iba isa ka lang
Sa mga tinapakan ng paa ng ako ay lumitaw ikaw ang unang dumilim noong wala
Ka na wala sinuman sa 'kin tagilid ang mga kalaban na hindi man lang
Pinag-isipang kalabanin ang isa sa mga pinakamatibay hindi nakakawala sa
Mga kapahamakan na dulot ng kayabangan at mga kapangahasan makinig sa 'king
Mga babala nagpahiwatig na paparating na sakuna di mo na pwedeng pigilan
Aking pag-atake sa lahat ng aking mga biktima ang pangalan ko'y David
Batang Mandaluyong na wala man lang katakutan sa katawan kahit na ga'no
Karami ang mga kalaban ko ako lang mag-isa kayang kong tapatan sige subukan
Mong hamakan aking mga salita na para bang ako mitsa napakaraming patalim
Tiyakin mo lamang na kaya mo kung sabayan pag nagsimula ng dumilim ang
Aking paningin simulan mo nang bilangin aking mga salita at kung ilang mga
Kalaban ko pinataob para di ka na magulat pag ikaw ay napabilang sa king
Mga biktima walang samaan ng loob ilang taon na ba ang dumaan mula ng
Binitawan ko ang mga susunod na kataga na para bang sakit na di mo malaman
Kung bakit ba hanggang ngayon sa isipan mo tumataga

Repablikan, hindi mo malaman kung malalampasan ang mga kataga, mga salitang
Binibitawan ko sa harapan mo na parang isang babala kaya mo na ba tagalan
Sabayan ang mga buga ng aking mga salita wala ka ng magagawa sa 'kin ba 'to
Hindi ka na makakawala... Repablikan"
Repablikan,Baby Girl,/r/repablikan/baby+girl_20917820.html,"Baby girl why don't you come back to me
Why don't you love me anymore
Baby girl you know I still care for you
You know I will love you forevermore

Pagnakikita ko ang larawan
Na iyong iniwan ako'y nasasaktan
Naalala nung ikaw pay kapiling
Kaya ang magbalik ka yan ang laging hiling

Pag naiisip kong nakaraan
Nung tayo pay nagmamahalan
Ngunit bakit ko pa ito sayo nagawa
Sinaktan ka't iniwan mo ako ngayon
Hanap ka sinta

Baby girl why don't you come back to me
Why don't you love me anymore
Baby girl you know I still care for you
You know I will love you forevermore

Masaki tang ginawa mong paglisan
Ng di nagpapaalam kaya ngayon luhaan
Nagsisisi sa mga maling nagawa
Patawarin ako oh sinta magbalik ka na

Pag naiisip kong nakaraan
Nung tayo pay nagmamahalan
Ngunit bakit ko pa ito sayo nagawa
Sinaktan ka't iniwan mo ako ngayon
Hanap ka sinta

Baby girl why don't you come back to me
Why don't you love me anymore
Baby girl you know I still care for you
You know I will love you forevermore

Ang muli mong pagbalik
Yan ang aking pangarap
Ang makatabi't makayakap ka ay hinahanap
Alam kong kulang ang respeto na aking binigay
Kaya di mo naiwasan na sa iba'y bumigay
Pero kung babalik ka sakin akin titiyakin
Na hinding hindi na kita muling paluluhain
Ako ay patawarin kung nasaktan kita noon
Pangako ko sayo di ko na gagawin yan ngayon
At kung sakali na ako ay muli mong tanggapin
Kaya mo kayang gawin dating pagmamahal sakin
Hangad ko lang naman sa iyo ay makabawi
Sa aking kakulangan kung mapapasakin kang muli
Di na mapakali puso'y ang lakas ng pintig
Ang salitang mahal mo ko
Yan ang gustong marinig
Sana'y mapatawad yan ang sigaw ng puso
At ang bulong naman ay
Mahalin mo ulit ako

Baby girl why don't you come back to me
Why don't you love me anymore
Baby girl you know I still care for you
You know I will love you forevermore (3X)"
Repablikan,Bintana,/r/repablikan/bintana_20851477.html,"Sa pagpikit ko ng mga mata handa ng managinip
Kasabay sa paglipad ng aking diwa ang pag-ihip
Ng hangin patungo sa lugar na kung saan maari
Kang hawakan at yakapin, 'kaw ang reyna, ako ang hari
Ng kahariaan na sa pagdilat ko'y nawawala
Pilitin mang pigilin 'to wala akong nagagawa
Upang ang 'sang katulad mo na sa bintana sinisilip
Makasama, makausap ng hindi na pinipilit
Dahil sa alam ko na mundo natin magkaiba 
Sinusundo kana ng boyfriend mong ang kotse ay lima
At nagiba ang mundo ko mula nang di sinasadya
Magkabanggaan at nahulog kwintas mong pinasadya
Pa at kabibigay pa lamang ng boyfriend mong mayaman
Ngunit sa 'yong mata ay may lungkot na di malaman
Na pilit tinatago ng iyong mga ngiti
Sana hindi lang sa bintana makikita kang muli

CHORUS:
Hirap at sakit ay di alintana
Masilayan ka lang dun sa bintana
Lahat ay gagawin upang iyong malaman
Ang pagibig ko'y tunay, walang alinlangan

Tila yata kapalaran na ang sa 'kin tumutulong
Nang hindi sinasadyang muli tayong magkasalubong
At labis kong kinagulat ng ako ay kausapin
Tila ang lahat ng tao'y nakatingin sa akin
Tayo'y naging magkaibigan, sumbungan at sandalan
Ngunit lahat pala ng mga bagay may hangganan
Nang ikaw ay magpaalam na d'on na maninirahan
Kung saan ang pagbalik mo ay malabo nang asahan
Gusto man kitang pigilan, wala 'kong nagawa
Tila ang lahat ng sa 'kin ay biglaang nawala
At mula n'on sayo ay di na nagkaroon ng balita
Sana'y muli kang makita kahit man lang sa bintana

Mula nang nakilala ka
Hindi kana naalis sa aking isipan
Sana'y malaman mo ang tunay
Na nadarama ng puso ko para sa 'yo... 

{Repeat chorus}

Alam mo bang ikaw lang ang aking mahal
Lahat ay gagawin upang iyong malaman
Nang ikaw ay dumating sa buhay kong ito
Muling umiikot ang aking mundo
Sa puso kong ito ikaw ang kailangan
Ang pagibig mo dahil minamahal kita... 

{RepeaT chorus}"
Repablikan,First Love,/r/repablikan/first+love_21020760.html,"I was three years old nang ikaw ay na-meet
Napahanga ako sa taglay mong bait
Ikaw ang guest ko sa twing birthday
Pati sa room ko ikaw ang display
Di kana nawala sa alaala
Ikaw lang talaga at walang gagaya
Ikaw ang gusto ng mga friends ko
At di ko alam pati parents ko
Ano ba ang meron ka na wala sa iba
At napapangiti 'pag nakita kana
Sa mga poster at maging sa T. V.
Inaabangan ang iyong movie
Bata pa ako noon nung marandaman ko 'to
Ayoko ng iba ikaw ang gusto ko
At sa aaminin ko maniwala ka
Mas gusto kita ke'sa kay darna

[Chorus:]
You are always gonna be my love
Itsuka dareka to mata koi ni ochitemo
I'll remember to love
You taught me how
You are always gonna be the one
Ima wa mada kanashii lovu songu
Atarashii uta utaeru made
[ Lyrics from: ]
Oh why Oh why bakit ganito
Gusto ko ikaw lang nasa tabi ko
Mga poster mo at mga magazine
Sa buhay ko hindi kita kayang alisin
So pati sa cellphone at mga gamit
Ikaw ang nakalagay sa aking bed sheet
Ako ay nalungkot nang ika'y nawala
Ano ba ang mali na aking nagawa
Paki-usap naman kahit na sandali
Para lang mapawi ang mga pighati
At muling ngumiti at 'di na umiyak
Magpakita ka lang gusto kong matiyak
Na buhay ka parin at ika'y malakas
Gumawa ka ulit ng mga palabas
At kapag bumalik ngingiti ng kusa
At hinding-hindi ako magmamahal ng pusa
Repeat choruz]

Lumipas ang mga taon nananatili kang pangarap
Nais kong libutin ang mundo para ka lang mahanap
Sapagkat hindi sapat makita ka lang sa larawan
Gusto ko ay makasama ka handa ko nang iwanan
Ang lahat ng kayamanan pati gf ko
Sabihin mo magkano ba ang tf mo
At aking ibibigay tanggapin mo lang ako
Ok lang sa akin kahit alipinin mo ako
Sabi ng ama ko nabubuang ako
Sabi ng ina ko 'di ka raw totoo
Isa kang kwentong binigyan ng buhay
Pero sa mundong ito 'di ka raw tunay
Isa kang nilikha para lang sa bata
Kaya pala ikaw ay 'di tumatanda
Pero kahit ganito sana ay tandaan
Gusto kong maging katulad mo batman

Yeah yeah...
You will always be inside my heart
Itsumo anata dake no basho ga aru kara
I hope that I have a place in your heart too
Now and forever you are still the one
Ima wa mada kanashii love love song
Atarashii uta utaeru made [yeah3x]"
Repablikan,Gidawat Ko Ang Tanan,/r/repablikan/gidawat+ko+ang+tanan_20984233.html,"Wala ko mahibaw nga
Dili angay ang manguyab nimo
Kay ikaw tag-iya
Na sa akong su-od nga amigo

Pero gidawat ko ang tanan
Bisan sakit sa akong dughan
Gi hatagan tika og kagawasan

Wa ko mahisabti ang kalipay
Sa dihang nag uban ta
Wa ko mahisabti ang kasakit
Sa dihang nag uban mo

Pero gidawat ko ang tanan
Bisan sakit sa akong dughan
Gi hatagan tika og kagawasan

Og dili ko hikalimtan ang tanan
Kay ikaw ang pili ning kasinsing
Sundon ko ang tanan nimong gusto
Bisan og sakit pa sa akong buot

Pwerte nimong lipaya pagkahibaw nga
Imo na diay siya
Pwerte nakong hilaka pagka hibaw nga
Kamo na diay'ng duha

Pero gidawat ko ang tanan
Bisan sakit sa akong dughan
Gi hatagan tika og kagawasan

Og dili ko hikalimtan ang tanan
Kay ikaw ang pili ning kasinsing
Sundon mo ang tanan nimong gusto
Bisan og sakit pa sa akong buot

Og dili ko hikalimtan ang tanan
Kay ikaw ang pili ning kasinsing
Sundon ko ang tanan nimong gusto
Bisan og sakit pa sa akong.
Bisan og sakit pa sa akong.
Bisan og sakit pa sa akong buot."
Repablikan,High School Life,/r/repablikan/high+school+life_20784463.html,"High school ko
Ay puno ng alaala
Na hindi malilimutan
Lalo na ng makilala
Ang babaeng
Nagbigay sakin ng inspirasyon
Na gumawa ng homework
At makinig sa leksyon
Kaya nag-aral ng mabuti
Para sa'king future life
At lalong lalo na
Para sa aking future wife
At kapag break time
Lagi tayong magkasabay
Kinikilig ako
Pag hawak ko ang iyong kamay
Habang tayo ay naglalakad
Pag tayo'y pauwi
Lalo akong tinatamaan
Pag ika'y ngumingiti
Ang lahat ng pighati
Ikaw ang nagtatanggal
Dahil sa iyo
Kaya pasado sa periodical
Buhay ko ay nag-iba
Binigyan mo ng sigla
Tumaas na din ang grades ko
Sa matemateka
Ikaw lang ang dahilan
Para to sayo mahal
Inaalay ko sayo
Ang natanggap kong medal

High school life
From my high school life
Akin pang naaalala
High school days
From my high school days
Na ikaw lang kasama
High school life
From my high school life
Akin pang naaalala
High school days
From my high school days
Na ikaw lang ang kasama

Buhay ko ay nag-iba
Buhay ko ay gumanda
At maraming bumilib
At maraming nagtaka
Ganito pala ang feeling
Pag ikaw ay nagmahal
Araw-araw at gabi gabi akong nagdarasal
Na sana'y ikaw na nga
Ang inilaan sa akin
Makasama ko sa buhay
Upang aking mahalin
Nang ako ay iyong sagutin
Muntikan na kong ma-drop
Pero dahil sa iyo
Naabot ko pa ang ulap
Ngunit ang kapalit
Bakit ka biglang nagbago
Lagi kang tulala
At parang lagi kang kabado
Hindi ka pumapasok
San ka nagpupunta
Bumababa na ang mga grado mo
Ano ba ang problema?
Nang kausapin ka
Bigla kang napaiyak
Mabigat ang iyong dala-dala
Yan ang natiyak
Nang ikaw ay tinanong
Hindi mo ko sinagot
Tumakbo ka paalis
Na para bang ika'y takot na takot
Bakit?

High school life
From my high school life
Akin pang naaalala
High school days
From my high school days
Na ikaw lang kasama
High school life
From my high school life
Akin pang naaalala
High school days
From my high school days
Na ikaw lang ang kasama

Tandang-tanda ko pa
Lunes ng umaga nun
Bakit ang daming pulis
Ano bang meron ngayon?
Narinig ko ang usapan
Na mayron daw trahedya
4th year student
Ang nakita sa kubeta
At nang inilabas
Labis kong ikinagulat
Pagkat ikaw ang biktimang
Kanilang buhat-buhat
Ikaw ay nagtapat
Sa sulat mo sa dingding
Ikaw ay ginagahasa
Ng iyong amain
Ang mga pangarap ko
Ay para bang nawala
Gusto kong sumigaw
Gusto kong magwala
Hindi makapaniwala
Hindi to totoo
Hindi na ba kita makakasama sa kolehiyo
Ba't ngayon mo lang sinabi
Di mo pinaalam
Puso ko'y nagdurugo
Puso ko'y nagdaramdam
Matatapos na ako ngayon
Sa kolehiyo
Na dala ang alaala
Nung high school ako

High school life
From my high school life
Akin pang naaalala
High school days
From my high school days
Na ikaw lang kasama
High school life
From my high school life
Akin pang naaalala
High school days
From my high school days
Na ikaw lang ang kasama

High school life
From my high school life
Akin pang naaalala
Lalo nung graduation na
Napaluha akong talaga
High school life
From my high school life
Akin pang naaalala
Lalo nung graduation na
Napaluha akong talaga"
Repablikan,Ikaw Lang Ang Mahal,/r/repablikan/ikaw+lang+ang+mahal_20860910.html,"Buhat ng masilayan ka ay hindi na maalis
Ang kasiyahang dulot ng pagmamahalang kay tamis
Di na matiis ang bawat pag hindi pag naiisip ka
Lumulundag ang aking puso at walang kasing saya
Sayo lang nakalaan ang bawat pagtibok ng puso
Sana di na magbago sumpaan at ating pangako
Pinangako sa sarili na walang ibang iibigin
At sa diyos na may kapal ikaw lang ang tanging dalangin
Sana na makasama ka hanggang sa pagtanda
Ikaw lang ang mahal at sa bato iyong itaga
Pag-asa ka sa bawat pagsikat ng araw sa umaga
At sana pag-gising ko mga pangamba ko'y wala na
Kung ako'y papipiliin gusto ko ay ikaw
At ayaw na mangyari na di na kita matanaw
Na maka-isang araw ay bigla na lang gumuho
Napana na ang pag-ibig natin na ating tinayo

[Chorus:]
Sa aking isipan hindi ako nangangamba
Ikaw lang ang mahal at wala na ngang iba
(2x)

Dito sa aking isip ikaw lang ang laman
Dito sa aking puso ikaw lang ang laman
Ang dahilan kung bakit ang aking puso ay patuloy sa pagtibok
At kahit gaano karami man ang inumin ay patuloy sa pagsinok
At di ko malaman kung panu ko sisimulan na sabihin sayo ang mga
Nais sabihin na mahal kita, kahit na magpalasenggo ka ng tanga
Sa pagnanais ko na mapadama ang pag-ibig na nais sayong ibigay
Gagawin ko ang lahat kahit na ang sarili sa putikan pa malagay
Wag ka lang makita na may lumbay, at makita ang may luha sa mata
Handa 'kong gawin ang lahat kahit na pasabugin man ang dalawa 'kong paa
Sa akin sinta ay wag kang mangamba sapagkat ang pag-ibig ko'y para sayo
Pinapanalangin ang araw't-gabi na pag kinasal ako sana sayo
Na sana wag mang ipangarap na lang pagmamahalang aking inaasam
Sana pakinggan ang awitin at ang dahilan ay para lamang ipaalam
Na kahit ngayon meron ka nang iba sabihin man na sa kanya masaya
Sakali man nasaktan ka nandidito ako mahal ko yayakapin kita

[Repeat chorus]

Hindi na nga mag-iisip ng kung anu-ano pa
Basta't minamahal kita yan lang pangako sinta
Di ka na mag-iisa palagi kang aalalayan
At kahit anong mangyari di kita pababayaan
Ikaw lang ang mahal at wala nang iba
Paniwalaan mo sana ang ginawa kong kanta
Na para lamang sayo sana nama'y dinggin mo
Upang malaman mo na ikaw ay minamahal ko
Ngunit pano ko mahahagilap ang pag-ibig na hinahanap
Kung hindi kita makamit at lagi ko na lang pinapangarap
Na makasama kahit kelan kahit man lang saglit
Sa puso at isipan kung hindi ito mawawaglit
Alam mo naman na ikaw lang ang mahal
Palagi ko na dalangin sa may kapal na sana na tayong dalawa ay magtagal
Upang ako'y hindi na umaatungal
Ako'y sumugal palagi nang sa isip na ako'y iyong minamahal
Ngunit hindi ko naisip na sayo'y maging hangal

Sa aking isipan hindi ako nangangamba
Ikaw lang ang mahal at wala na ngang iba
Sa aking isipan hindi ako nangangamba
Ikaw lang ang mahal at wala na ngang iba

Sa aking isipan hindi ako nangangamba
Ikaw lang ang mahal at wala na ngang iba
Sa aking isipan hindi ako nangangamba
Ikaw lang ang mahal at wala na ngang iba"
Repablikan,Kahit Di Na Tayo,/r/repablikan/kahit+di+na+tayo_20786783.html,"Lumalalim na ang gabi, ngunit wala ka sa 'king tabi
Pilit kong nilalabanan ang nakaraan,
Ngunit di manalo dahil wala ang pag-ibig mo,
Giliw ko kung naririnig mo
Ang pagsamo ko sanay pakingan mo

Kahit di na tayo sana'y maalala mo,
Kahit di na tayo sana'y pakingan mo,
Ang tibok ng puso ko ay pangalan mo,

Alam kong hindi tama pero walang magagawa
Baguhin man ang tadhana sa 'ting dalawa
Limutin ka nga ay hindi ko kaya at hindi ko magawa
Giliw ko, mahal ko pakingan mo.
Ang tibok ng puso ko ay pangalan mo

Kahit di na tayo sana'y maalala mo,
Kahit di na tayo sana'y pakingan mo,
Ang awiting kong ito na para lang sayo,

At saking pagtulog, ang panaginip ko'y ikaw.
Pati saking pag gising, ikaw ang sinisigaw.
At kung tayo'y magbalik, ayaw ko ng bumitaw,
Yayakapin ka, at muling isasayaw.
Pagkat ikaw ang gustong makasama buong araw

Kahit di na tayo sana'y maalala mo,
Kahit di na tayo sana'y pakingan mo,
Ang awiting kong ito na para lang sayo

Kahit di na tayo sana'y maalala mo,
Kahit di na tayo sana'y pakingan mo,
Ang awiting kong ito na para lang sayo"
