artist,song,link,text
UK's National Anthem,God Save The Queen,/u/uks+national+anthem/god+save+the+queen_20983467.html,"God save our gracious Queen
Long live our noble Queen
God save the Queen
Send her victorious
Happy and glorious
Long to reign over us
God save the Queen

O Lord our God arise
Scatter her enemies
And make them fall
Confound their politics
Frustrate their knavish tricks
On Thee our hopes we fix
God save us all

Thy choicest gifts in store
On her be pleased to pour
Long may she reign
May she defend our laws
And ever give us cause
To sing with heart and voice
God save the Queen

Not in this land alone
But be God's mercies known
From shore to shore
Lord make the nations see
That men should brothers be
And form one family
The wide world over

From every latent foe
From the assassins blow
God save the Queen
O'er her thine arm extend
For Britain's sake defend
Our mother, prince, and friend
God save the Queen

Lord grant that Marshal Wade
May by thy mighty aid
Victory bring
May he sedition hush
And like a torrent rush
Rebellious Scots to crush
God save the King"
U2,11 O'clock Tick Tock,/u/u2/11+oclock+tick+tock_20141536.html,"It's cold outside
It gets so hot in here
And the boys and girls collide
To The music in my ear

Hear the children crying
And I know it's time to go
I hear the children crying
Take me home

A painted face
And I know we haven't long
We thought that we had the answers
It was the questions we had wrong

Hear the children crying
And I know it's time to go
I hear the children crying
Take me home

Sad song, sad song
Sad song, sad song

La lah la lah... La lah la lah... La lah lah...
[Repeat 4x]

Sad song, sad song
Sad song, sad song

Call out your name
Call out in shame
Call out your name
Call out
You better call out
Call, call, call out"
U2,40,/u/u2/40_20141614.html,"I waited patiently for the Lord
He inclined and heard my cry
He brought me up out of the pit
Out of the miry clay

I will sing, sing a new song
I will sing, sing a new song

How long to sing this song
How long to sing this song
How long... How long... How long...
How long... To sing this song

He set my feet upon a rock
And made my footsteps firm
Many will see
Many will see and fear

I will sing, sing a new song
I will sing, sing a new song
I will sing, sing a new song
I will sing, sing a new song

How long to sing this song
How long to sing this song
How long... How long... How long...
How long... To sing this song"
U2,A Celebration,/u/u2/a+celebration_20141554.html,"Shake! Shake!

Don't go
I believe in a celebration
I believe you set me free
I believe you can loose this chains
I believe you can dance with me
Dance with me

Shake! Shake!
Shake! Shake!

I believe in the third world war
I believe in the atomic bomb
I believe in the powers that be
But they won't overpower me

And, and you can go there too
And, and you can go go go go

Shake! Shake!
Shake! Shake!

And we don't have the time
And everything goes 'round and 'round
And we don't have the time
To watch the world go tumbling down

Go! Go!

I believe in the bells of Christ's Church
Ringing for this land
I believe in the cells of Mount Joy
Doesn't understand

And, and you can go there too
And, and you can go go go go

I believe in the walls of Jericho (And you...)
I believe they're coming down (Can go there too)
I belive in this city's children  (And you...)
I believe the trumpet's sound (can go go go go)

And you can go there too
And you can go go go go...

I believe in what I'm doing
What am I doing here..."
U2,A Day Without Me,/u/u2/a+day+without+me_20141438.html,"Starting a landslide in my ego
Look from the outside
To the world I left behind

I'm dreaming
You're awake
If I were sleeping
What's at stake
A day without me

Whatever the feelings
I keep feeling
What are the feelings
You left behind

Today's a day without me

I started a landslide in my ego
Look from the outside
To the world I left behind

In the world I left behind
Wipe their eyes, and then let go
To the world I left behind
Shed a tear, and then let go..."
U2,A Different Kind Of Blue,/u/u2/a+different+kind+of+blue_20141555.html,"Those cars
On you
So small
Down there
From here
So high
We drift
We fly
Twilight breaks through
A different kind of blue
More lights
Blue signs
All gold
All new
So small
So high
Down there
Tonight
With twilight breaking through
It's a different kind of blue
Twilight breaking through
It's a different kind of blue"
U2,A Man And A Woman,/u/u2/a+man+and+a+woman_10160907.html,"Little sister don't you worry about a thing today
Take the heat from the sun
Little sister
I know that everything is not ok
But you're like honey on my tongue

True love never can be rent
But only true love can keep beauty innocent

I could never take a chance
Of losing love to find romance
In the mysterious distance
Between a man and a woman
No I could never take a chance
'Cause I could never understand
The mysterious distance
Between a man and a woman

You can run from love
And if it's really love it will find you
Catch you by the heel
But you can't be numb for love
The only pain is to feel nothing at all
How can I hurt when I'm holding you?

I could never take a chance
Of losing love to find romance
In the mysterious distance
Between a man and a woman

And you're the one, there's no-one else
You make me want to lose myself
In the mysterious distance
Between a man and a woman

Brown eyed girl across the street
On rue Saint Divine
I thought this is the one for me
But she was already mine
You were already mine...

Little sister
I've been sleeping in the street again
Like a stray dog
Little sister
I've been trying to feel complete again
But you're gone and so is God

The soul needs beauty for a soul mate
When the soul wants... The soul waits...

No I could never take a chance
Of losing love to find romance
In the mysterious distance
Between a man and a woman

For love and faith and s** and fear.
And all the things that keep us here
In the mysterious distance
Between a man and a woman

How can I hurt when I'm holding you?"
U2,A Room At The Heartbreak Hotel,/u/u2/a+room+at+the+heartbreak+hotel_20141556.html,"From where I stand
I can see thrugh you
From where you're sitting, pretty one
I know it got to you

I see the stars in your eyes
You want the truth, but you need the lies
Like Judy Garland, like Valentino
You give your life for rock n' roll
Uh huh

Stand, we're on a landslide of love
You got everything you want
But what you need you give away

For primitive love
And a ride on the mistery train
A primitive love
A room at the Heart...
The Heartbreak Hotel
A room at the Heartbreak
Heartbreak Hotel
A room at the Heartbreak
Heartbreak Hotel

You say it's love, it's not the money
You let them suck your life out like honey
Turning tricks, you're on the street
Selling your kisses so bittersweet

[Gospel voices]

A primitive love
A and a ride on the mistery train
A primitive love
A room at the Heart
The Heartbreak Hotel

A room at the Heartbreak, the Heartbreak,
The Heartbreak Hotel, Hotel
[Repeat until end]"
U2,A Sort Of Homecoming,/u/u2/a+sort+of+homecoming_20141625.html,"And you know it's time to go
Through the sleet and driving snow
Across the fields of mourning
Light in the distance

And you hunger for the time
Time to heal, desire, time
And your earth moves beneath
Your own dream landscape

Oh, oh, oh...
On borderland we run...

I'll be there
I'll be there...
Tonight
A high road
A high road out from here

The city walls are all pulled down
The dust, a smoke screen all around
See faces ploughed like fields that once
Gave no resistance

And we live by the side of the road
On the side of a hill
As the valley explode
Dislocated, suffocated
The land grows weary of it's own

Oh, oh, oh... On borderland we run...
And still we run
We run and don't look back
I'll be there
I'll be there
Tonight
Tonight

I'll be there tonight... I believe
I'll be there... Somehow
I'll be there... Tonight
Tonight

The wind will crack in winter time
This bomb-blast lightning waltz
No spoken words, just a scream...

Tonight we'll build a bridge
Across the sea and land
See the sky, the burning rain
She will die and live again
Tonight

And your heart beats so slow
Through the rain and fallen snow
Across the fields of mourning
Light's in the distance

Oh don't sorrow, no don't weep
For tonight, at last
I am coming home
I am coming home"
U2,Acrobat,/u/u2/acrobat_20141384.html,"Don't believe what you hear
Don't believe what you see
If you just close your eyes
You can feel the enemy
When I first met you girl
You had fire in your soul
What happened your face
Of melting in snow
Now it looks like this

And you can swallow
Or you can spit
You can throw it up
Or choke on it
And you can dream
So dream out loud
You know that your time is coming 'round
So don't let the bastards grind you down

No, nothing makes sense
Nothing seems to fit
I know you'd hit out
If you only knew who to hit
And I'd join the movement
If there was one I could believe in
Yeah I'd break bread and wine
If there was a church I could receive in
'cause I need it now

To take a cup
To fill it up
To drink it slow
I can't let you go
I must be an acrobat
To talk like this
And act like that
And you can dream
So dream out loud
And don't let the bastards grind you down

Oh, it hurts baby
(What are we going to do now it's all been said)
(No new ideas in the house and every book has been read)

And I must be an acrobat
To talk like this
And act like that
And you can dream
So dream out loud
And you can find
Your own way out
You can build
And I can will
And you can call
I can't wait until
You can stash
And you can seize
In dreams begin
Responsibilities
And I can love
And I can love
And I know that the tide is turning 'round
So don't let the bastards grind you down"
U2,Alex Descends Into Hell For A Bottle Of Milk/Korova 1,/u/u2/alex+descends+into+hell+for+a+bottle+of+milkkorova+1_20141557.html,"Dies irae, dies illa
Dies irae, dies illa
Tuba mirum spargens sonum
Decet in inferno
Dies illa, dies illa

Translation:

A day of wrath, that day
A day of wrath, that day
The amazing sound scattering from the trumpet
As is fitting for hell
That day, that day"
U2,All Along The Watchtower,/u/u2/all+along+the+watchtower_20141483.html,"There must be some way out of here
Said the joker to the thief
There's too much confusion here
I can't get no relief
Businessmen they drink my wine
Plowmen dig my earth
None of them know along the line
What any of this is worth

No reason to get excited
The thief, he kindly spoke
There are many here among us
Who think that life is but a joke
But you and I, we've been through that
And that is not our fate
So let us not talk falsely now
Because the hour is getting late

All along the watchtower
Princes kept the view
While horsemen came and went
Barefoot servants too

All I got is a red guitar
Three chords
And the truth

All I got is a red guitar
The rest is up to you

There's no reason to get excited
The thief, he kindly spoke
There are some among us here
Say that life is just a joke
You and I, we've been through that
And that is not our fate (at least today)
So let us not talk falsely now
Because the hour is getting late
Late..."
U2,All Because Of You,/u/u2/all+because+of+you_10160906.html,"I was born a child of grace
Nothing else about the place
Everything was ugly but your beautiful face
And it left me no illusion

I saw you in the curve of the moon
In the shadow cast across my room
You heard me in my tune
When I just heard confusion

All because of you
All because of you
All because of you
I am... I am

I like the sound of my own voice
I didn't give anyone else a choice
An intellectual tortoise
Racing with your bullet train

Some people get squashed crossing the tracks
Some people got high rises on their backs
I'm not broke but you can see the cracks
You can make me perfect again

All because of you
All because of you
All because of you
I am... I am

I'm alive
I'm being born
I just arrived, I'm at the door
Of the place I started out from
And I want back inside

All because of you
All because of you
All because of you
I am"
U2,All I Want Is You,/u/u2/all+i+want+is+you_20141484.html,"You say you want diamonds on a ring of gold
You say you want your story to remain untold

But all the promises we made
From the cradle to the grave
When all I want is you

You say you'll give me a highway with no one on it
A treasure just to look upon it
All the riches in the night

You say you'll give me eyes in a world of blindness
A river in a time of dryness
A harbour in the tempest

But all the promises we make
From the cradle to the grave
When all I want is you

You say you want your love to work out right
To last with me through the night

You say you want diamonds on a ring of gold
Your story to remain untold
Your love not to grow cold

All the promises we break
From the cradle to the grave
When all I want is you

You
All I want is... You
All I want is... You
All I want is... You"
U2,Always,/u/u2/always_20250930.html,"Here today
And gone tomorrow
Crack the bone, get to the marrow
To be the bee
And the flower
Before the sweetness turns to sour

What we have we're gonna keep...Always
What we've lost we don't need...Always
What is it that won't let you sleep...Always

Be the arrow
And the target
Put your head over the parapet
Be uncool
Yes, be awkward
And don't look in the obvious place
The soul needs beauty for a soul mate(???)

Get down off your holy cloud...Always
God will not deal with the proud...Always
Well if you dream then dream out loud...Always
Eternally yours...Always

I want you
I want you
I want you

Touching the other side
I wanted to be in love(???)
I wanted to call(???)

You say come to know yourself...Always
Don't find yourself in someone else...Always
And always wear a safety belt...Always
Wait for me I'm running late...Always
This is the moment that we share...For always
Turn each song into a prayer...Always

Now and forever
For always
For always
For always
For always"
