artist,song,link,text
Van Morrison,4% Pantomime,/v/van+morrison/4+pantomime_20143310.html,"The management said they were sorry
For the inconvenience you are suffering
And mr. Booking agent, please have mercy
Don't book the jobs so far apart
We went up to griffith park
With a fifth of johnny walker red
And smashed it on a rock and wept
While the old couple looked on into the dark

Oh, richard, tell me if its poker
Oh, richard, tell me, whos got the joker and is it poker

Deuces wild, like an only child
Ill see what you got. How much is in the pot
You pay the tips and Ill collect the chips
Its a full house tonight -- everybody in town is a loser
Yeah, you bet

The dealers been dealing me bad hands
From the bottom of the deck without the slightest blush
And I don't know whether to call or check
But right now I feel like I got a royal flush
And my lady didn't show from frisco
But we had to go on with the show
Everybody got stoned -- it was a gas, it was a smash
Everybody got wrecked, checked. Oh, oh, oh, oh.

Oh, belfast cowboy, lay your cards on the grade
Oh, belfast cowboy, can you call a spade a spade

Oh, richard, tell me, is the game poker
I can't understand who the fool is that holds this joker
Is it poker

Oh, belfast cowboy, lay your cards down on the table
Oh, belfast cowboy, do you think youre able"
Van Morrison,A New Kind Of Man,/v/van+morrison/a+new+kind+of+man_20142917.html,"There's a voice cryin out in the wilderness
All your trails have not been in vain
And you're doin the best you know how to do
Gaining strength in the things that remain

Youre part of the plan
For a new kind of man to come through

There's an angel that's watching right over you
All your trials have not been in vain
Wont you lift your head up to the starry night
Finding strength in the things that remain

Youre part of the plan
For a new kind of man to come through

When a man comes through
He must do what he's supposed to do
When a man comes through.
He can't do what everyone expects him

Wont you lift your head up to the mountain top
All your trials have not been in vain
There's a light that keeps shining up ahead of you
Every step of the way that you take

Its part of the plan
For a new kind of man to come through"
Van Morrison,A Sense Of Wonder,/v/van+morrison/a+sense+of+wonder_20142918.html,"I walked in my greatcoat
Down through the days of the leaves.
No before after, yes after before
We were shining our light into the days of blooming wonder
In the eternal presence, in the presence of the flame.

Didnt I come to bring you a sense of wonder
Didnt I come to lift your fiery vision bright
Didnt I come to bring you a sense of wonder in the flame.

On and on and on and on we kept singing our song
Over newtonards and comber, gransha and the
Ballystockart road.
With boffyflow and spike
I said I could describe the leaves for samuel and felicity
Rich, red browney, half burnt orange and green.

Didnt I come to bring you a sense of wonder
Didnt I come to lift your fiery vision bright
Didnt I come to bring you a sense of wonder in the flame.

Its easy to describe the leaves in the autumn
And its oh so easy in the spring
But down through january and february its a very different thing.

On and on and on, through the winter of our discontent.
When the wind blows up the collar and the ears are frostbitten too
I said I could describe the leaves for samuel and what it means to you and me
You may call my love sophia, but I call my love philosophy.

Didnt I come to bring you a sense of wonder
Didnt I come to lift your fiery vision
Didnt I come to bring you a sense of wonder in the flame.

Wee alfie at the
Castle picture house on the castlereagh road.

Whistling on the corner next door where
He kept johnny mack browns horse.
O solo mio by mcgimsey
And the man who played the saw
Outside the city hall.
Pastie suppers down at daveys chipper
Gravy rings, barmbracks
Wagon wheels, snowballs."
Van Morrison,A Town Called Paradise,/v/van+morrison/a+town+called+paradise_20143100.html,"Copycats ripped off my words
Copycats ripped off my songs
Copycats ripped off my melody
It doesn't matter what they say
It doesn't matter what they do
All that matters is my relationship to you

Gonna take you out
Get you in my car
Were going for a long long drive
Were going down to a town called paradise
Down where we can be free
Were gonna drink that wine
Were gonna jump for joy
In a town called paradise

Were going up the mountainside
Child you can look for miles
And see the vision on the west
Were gonna swing round
And look from north to south
Swing round from east to west
And go round in a circle too
And were gonna start dancing
Like weve never done before
I'm gonna take you in my arms
I'm gonna squeeze you tight
Everything will be alright
Were gonna get that squealin feelin
Gonna take you down to a town called paradise,
Down where we can be free
It doesn't matter what they say
It doesn't matter what they do
All that matters is my relationship to you
By the river we will linger
As we drive down to be free
Were gonna ride all night long
All along the ancient highway
Gonna be there for the mornin comes"
Van Morrison,Across The Bridge Where Angels Dwell,/v/van+morrison/across+the+bridge+where+angels+dwell_20142970.html,"Across the bridge where angels dwell
Across the bridge where angels
Across the bridge where angels dwell
Children play

Beyond the place where time is still
Beyond the place where time is
Beyond the place where time is still
Night is day

Close your eyes in fields of wonder
Close your eyes and dream
Close your eyes in fields of wonder
Close your eyes and dream

Along the path where heaven lies
Along the path where heaven
Along the path where heaven lies
All is clear

Ahead where home awaits the heart
Ahead where home is waiting
Ahead where home awaits the heart
Peace is near

Close your eyes in fields of wonder
Close your eyes and dream
Close your eyes in fields of wonder
Close your eyes and dream

Across the bridge where angels dwell
Across the bridge where angels
Across the bridge where angels dwell
Children play

(repeat)"
Van Morrison,Ain't Gonna Moan No More,/v/van+morrison/aint+gonna+moan+no+more_21582973.html,"Oh, oh, oh
Ain't gonna moan no more
Oh, oh, oh
Ain't gonna moan no more
Ain't no wolf at my door
Ain't gonna moan no more

From the old crooner to the deep, deep blues
Muddy Waters and John Lee too
From the master of vocalese
John Hendricks sang it with ease
Ain't gonna moan no more

Satchmo Jones playing the clown
It didn't stop him laying it down
He chose to smile instead of frown
He kept playing his gigs and
Moving from town to town, alright

No time to frown, ain't gonna moan today
Gone to town, gonna make my day
Do my best to create all a better space
Ain't gonna moan no more, man
Around this place

Willie The Shake said that life is what you make it
Somebody else said, ""Fake it till you make it""
But I feel much better when my
Feet are touching the ground
I get hip to the tip
When I hear that lonesome sound

Some peoples down, someone else's upbeat
Transform the norm, try to make it sweep
When you know things are helpless
Well, just can't be beat
When you know the score
You don't have to moan no more

Oh, oh, oh
Ain't gonna moan no more
Oh, oh, oh
Ain't gonna moan no more
Ain't no wolf at my door
Ain't gonna moan no more
Oh, oh, oh

Ain't no wolf at my door
Ain't gonna moan no more
Sing it one more time

Oh, oh, oh
Hey, ain't gonna moan no more
Oh, oh, oh
Ain't gonna moan no more
When you know the score
Down helps to moan no more"
Van Morrison,Ain't Nothing You Can Do,/v/van+morrison/aint+nothing+you+can+do_20281597.html,"(Deadric Malone, Joe Scott)

When you got a headache
Headache powder soothes the pain
Go right back to sleep
And you feel all right again

When you got a backache
A little rubbin' 'll see you through
When you got a heartache
There ain't nothin' you can do

There ain't nothin' you can do
There ain't nothin' you can do

When you got a heartache
There ain't nothin' you can do

A man can't break a stone
So he tried another lick
Iceman can't break his ice, Lord
So he tried another pick

An electric lights go out
Candle light will see you through
When you got a heartache
There ain't nothin' you can do

There ain't nothin' you can do
There ain't nothin' you can do
When you got a heartache
There ain't nothin' you can do
Hey!

(Instrumental & guitar solo)

Man can't break a stone
So he tried another lick
Iceman can't break his ice, Lord
So he tried another pick

'Lectric lights go out
A candle light will see you through
When ya got a heartache
There ain't nothin' you can do

There ain't nothin' you can do, Lord
There ain't nothin' you can do, hey!
When you got a heartache
There ain't nothin' you can do

Ev'ry time I think about it
Ev'ry time I think about it
When ya got a heartache
There ain't nothin' you can do

Ev'ry time I think about it
Ev'ry time I think about it
Ev'ry time I think about it"
Van Morrison,Alabamy Bound,/v/van+morrison/alabamy+bound_20143230.html,"I'm alabamy bound
I'm alabamy bound
And if the train don't stop n turn around
I'm alabamy bound

Don't you leave me here
Don't you leave me here
The locomos ghost suite pullin out
Leave a dime for a beer

I'm alabamy bound (I'm alabamy bound)
I'm alabamy bound (I'm alabamy bound)
And if the train don't stop and turn around
I'm alabamy bound (I'm alabamy bound)

(hair don't curl)
And your eyes aint blue
Cause if you don't want me, sweet polly ann
(well, I don't want you)

Alabamy bound (I'm alabamy bound)
I'm alabamy bound (I'm alabamy bound)
And if the train down stop and turn around
I'm alabamy bound (I'm alabamy bound)

I'm alabamy bound (don't cha leave me here) umm
I'm alabamy bound (don't cha leave me here)
I'm alabamy bound (don't cha leave me here)
I'm alabamy bound"
Van Morrison,Alan Watts Blues,/v/van+morrison/alan+watts+blues_20143110.html,"Well I'm taking some time with my quiet friend
Well I'm takin some time on my own.
Well I'm makin some plans for my getaway
Therell be blue skies shining up above
When I'm cloud hidden
Cloud hidden
Whereabouts unknown

Well I've got to get out of the rat-race now
I'm tired of the ways of mice and men
And the empires all turning into rust again.
Out of everything nothing remains the same
That's why I'm cloud hidden
Cloud hidden
Whereabouts unknown

Bridge
Sittin up on the mountain-top in my solitude
Where the morning fog comes rollin in
Just might do me some good.

Well I'm waiting in the clearing with my motor on
Well its time to get back to the town again
Where the air is sweet and fresh in the countryside
Well it wont be long before I get back here again."
Van Morrison,All For Myself,/v/van+morrison/all+for+myself_20649966.html,"Well, I love you, love you darlin'
Like I never, whoa, loved before
I wanna get you, yeah, keep you
All for myself, nobody else

Well, sho' 'nuff
I'm gonna take you
Yeah, gon' take you
I'm gonna lead you by-i, the hand

I'm gonna hug you an' squeeze you, baby-yeah
Show you I'm a man
Well-a
It's alright, alright
It's alright, alright
It's alright, all night

Alright, all night
It's alright, it's alright
Feel it, yeah

I wanna keep you
Keep you, baby
I wanna keep you, whoa, satisfied
Walk through the rain, hail an' snow, darlin'
Walk by my side

Well, sho' nuff
It's alright, alright
It's alright, all night
It's alright, all night
It's alright, it's alright
Sho' 'nuff
All night, all night

Bring it on home
Oh, bring it on home, yeah
All night, all night
FADES-
Alright, alright
All night, all right
You're alright all..."
