artist,song,link,text
X-Ray Spex,Age,/x/x+ray+spex/age_20207529.html,"Darling am I
Looking old
Tell me dear
I must be told

Y'know it's a
Million dollar fear
If lines
Creep in over here

Age she's so afraid
Age she's no the rage

She never seems to realise
Celluloid beauty
Never dies"
X-Ray Spex,Art-I-Ficial,/x/x+ray+spex/art+i+ficial_20310282.html,"I know I'm artificial
But don't put the blame on me
I was reared with appliances
In a consumer society

When I put on my make-up
The pretty little mask not me
That's the way a girl should be
In a consumer society

My existence is elusive
The kind that is supported
By mechanical resources

My existence is elusive
The kind that is supported
By mechanical resources

I wanna be instamatic
I wanna be a frozen pea
I wannna be dehydrated
In a consumer society

In a consumer society
In a consumer society"
X-Ray Spex,Cigarettes,/x/x+ray+spex/cigarettes_20165257.html,"Packet of cigarettes on the counter
Carrying a government health warning
Still they want the money, still they want the tax
Still they want the money, still they want the tax

Why not take paper currency and light it up?
A lower tar content and a quicker puff
Then you could keep the money, you could keep the tax
You could keep the money, you could keep the tax

Fields wasted growing tobacco
Could be used to feed the third world countries
This is the Age of Hypocrisy
Everybody's saying ""Vote for me! Vote for me!""
Blind leaders leading the blind
The cheaters and the cheated will you always find
Still they want the money, still they want the tax
Still they want the money, still they want the tax
The tax, the tax, the tax,

Still they want the money, still they want the tax
Still they want the money, still they want the tax
But the biggest serial killer is a heart attack
The biggest serial killer is a heart attack

Still they want the money, still they want the tax
Still they want the money, still they want the tax
Still they want the money, still they want the tax
But the biggest serial killer is a heart attack
Still they want the money, still they want the tax
But the biggest serial killer.....
The biggest serial killer.....
The biggest serial killer.....
The biggest serial killer.....
The biggest serial killer is a heart attack"
X-Ray Spex,Crystal Clear,/x/x+ray+spex/crystal+clear_20177653.html,"How do you feel now? I want to know
Clear as crystal, I can see your face
In my glass of water, I can see your face
How do you feel know? I want to know
Does your love burn like a summer's day
Or is it still on hold in an ice cube tray?

Clear as crystal
How do you feel now? I want to know

Clear as crystal, I can see your face
In my glass of water? I can see your face
Winter has passed now, did you ever know?
Is your love forming like the springtime
Or is it still a snowdrop in the snow so fine?
Clear as crystal

Clear as crystal, I can see your face
In a glass of water, you can see your face
How do you feel know, I want to know
Now I can see you so crystal clear

Crystal clear"
X-Ray Spex,Day The World Turned Day-Glo,/x/x+ray+spex/day+the+world+turned+day+glo_20192732.html,"I clambered over mounds and mounds
Of polystyrene foam
And fell into a swimming pool
Filled with fairy snow
And watched the world turn day-glo
You know you know
The world turned day-glo you know

I wrenched the nylon curtains back
As far as they would go
And peered through perspex window panes
At the acrylic road

I drove my polypropolene
Car on wheels of sponge
Then pulled into a wimpy bar
To have a rubber bun

The X-rays were penetrating
Through the laytex breeze
Synthetic fibre see-thru leaves
Fell from the rayon trees"
X-Ray Spex,Dog In Sweden,/x/x+ray+spex/dog+in+sweden_20181627.html,"Iggy says ""I wanna be your dog.""
But I want you to be a demigod

Look at my bow wow sitting there
Sniffing scratching without a care
Once upon a lifetime peroxide hair
What a heavy load to bear
What a heavy load to bear

Alcohol, drugs and rock n' roll
Come on doggy doggy let's go for a stroll
Before and after human growl so foul
And now animal and left to howl

A dog in Sweden, a man's best friend
Remember all those trends you set
And now you are a housewive's pet
Sit down bad boy, don't bow wow wow
Drink this milk from the sacred cow

Look at my bow wow sitting there
Sniffing scratching without a care
Once upon a lifetime peroxide hair
What a heavy load to bear
What a heavy load to bear

What no meat?
My bloodthirsty little bow wow
Hypnotised
Another family tree
Remember?
20th Century vip
You may have been a king
You may have been a queen
You may have been Nehru
I'm sure there were a few smutty little scenes
Smutty little scenes

Hey doggy doggy, hey doggy doggy
Hey doggy doggy, hey hey hey
What a heavy load to bear
What a heavy load to bear!!"
X-Ray Spex,Genetic Engineering,/x/x+ray+spex/genetic+engineering_20207268.html,"Genetic engineering
Could create the perfect race
(Could) create an unknown life-Force
That could us exterminate

Introducing worker clone
As our subordinated slave
His expertise proficiency
Will surely dig our grave

It's so very tempting
Will biologists resist
When he becomes the creator
Will he let us exist

Bionic man is jumping
Through the television set
He's about to materialise
And guess who's coming next"
X-Ray Spex,Germ Free Adolescent,/x/x+ray+spex/germ+free+adolescent_20208254.html,"I know you're antiseptic
Your deodorant smells nice
I'd like to get to know you
But you're deep frozen like the ice
He's a germ free adolescent
Cleanliness is her obsession
Cleans her teeth ten times a day
Scrub away scrub away scrub away
The S. Are. Way....
You may get to touch her
If your gloves are sterilised
Rinse your mouth with listerine
Blow disinfectant in her eyes
Her phobia is infection
She needs one to survive
It's her built-in protection
Without fear she'd give up and die"
X-Ray Spex,Good Time Girl,/x/x+ray+spex/good+time+girl_20204400.html,"I don't wanna be? I don't wanna be
A good time girl A good time girl

String you along like I string my pearls
A typical good time girl
A good time girl
A good time girl
A typical good time girl
I don't need no diamonds now
They'd seem like broken glass
I'd never wear a fur
Would seem like stepping into anothers skin
A typical good time girl like me

A good time girl
A good time girl
A typical good time girl (repeat)

A typical good time girl (repeat)"
X-Ray Spex,Hi Chaperone,/x/x+ray+spex/hi+chaperone_20211360.html,"You know, you know, you know you know you know
I can't go out alone
Hi chaperone, my chaperone

What you think is all wrong
'Cos you shouldn't treat a girl like a game of ping-pong
But I can't go out alone without a chaperone
Hi chaperone, my chaperone

You may say sweet dreams tonight
Blow me a kiss, well I guess that's alright, that's alright
I can't go out alone without a chaperone
Hi chaperone, my chaperone
You may say the streets are safe
In these modern days, but I'm not OK
I can't go out alone without a chaperone
Hi chaperone, my chaperone
I can't go out alone without a chaperone
Hi chaperone, my chaperone
Hi chaperone, my chaperone
Hi chaperone!

Hi chaperone! Hi chaperone! (repeat)"
