artist,song,link,text
Yui,Again,/y/yui/again_20788418.html,"Yume no tsuzuki oikaketeita hazu nano ni
Magarikunetta hosoimichi hito ni tsumazuku

Ano koro ni mitai ni tte modoritai wake janai no nakushitekita sora wo sagashiteru
Wakattekuremasu you ni gisei ni natta you na kanashii kao wa yamete yo

Tsumi no saigo wa namida janai yo zutto kurushiku seotte kun da
Deguchi mienai kanjou meiru ni
Dare wo matteru no
Shiroi NOOTO ni tsuzutta you ni motto sunao ni hakidashitai yo
Nani kara nogaretainda
Genjitsu tte yatsu

Kanaeru tame ni ikiterun datte
Wasurechaisou na yoru no mannaka
Bunan ni nante yatterarenai kara
Kaeru basho mo nai no
Kono omoi wo keshite shimau ni wa
Mada jinsei nagai deshou (I'm on the way)
Natsukashikunaru
Konna itami mo kangei jan

Ayamaranakucha ikenai yo ne aa gomen ne
Umaku ienakute shinpai kaketa mama datta ne

Ano hi kakaeta zenbu ashita kakaeru zenbu
Junban tsuketari wa shinai kara
Wakattekuremasu you ni sotto me wo tojitanda
Mitakunai mono made miendamon

Iranai uwasa ni chotto hajimete kiku hatsugen docchi
Mukaiattara tomodachi datte
Uso wa yamete ne
Akai HAATO ga iradatsu you ni karadan naka moeteirun da
Hontou wa kitai shiten no
Genjitsu tte yatsu

Kanaeru tame ni ikiterun datte
Sakebitaku naru yo kikoete imasu ka
Bunan ni nante yatterarenai kara
Kaeru basho mo nai no
Yasashisa ni wa itsumo kansha shiteru
Dakara tsuyoku naritai (I'm on the way)
Susumu tame ni
Teki mo mikata mo kangei jan

Douyatte tsugi no DOA akerun dakke kangaeteru
Mou hikikaesenai monogatari hajimatterun da
Me wo samase me wo samase

Kono omoi wo keshite shimau ni wa
Mada jinsei nagai deshou
Yarinokoshiteru koto yarinaoshite mitai kara
Mou ichido yukou

Kanaeru tame ni ikiterun datte
Sakebitaku naru yo kikoete imasu ka
Bunan ni nante yatterarenai kara
Kaeru basho mo nai no
Yasashisa ni wa itsumo kansha shiteru
Dakara tsuyoku naritai (I'm on the way)
Natsukashikunaru
Konna itami mo kangei jan"
Yui,Blue Wind,/y/yui/blue+wind_20659218.html,"Naze? Anata wa sonna
Fuu ni katarun darou?
Damatteru konna atashi ni...

Kibou datte kitto
Anata yori tsuyoku motteru
Kotoba ni wa dekinai

Nagusame ni kite iru tsumori na no ka na?
... Arigato

You anata ga itta
Jooku hitotsu mo warae nakatta
You demo yasashi katta
Anata no koto ga wakatta

Hatsumeika wa erai hito dato oshierareta
Doryoku suru mono wo umidasu

Demo sore ni muraga tte yuku hito-tachi koso
Kashikokute nagaiki da

Kuyashikute nai tari suru nomo chigau
... Kaze no na ka

You anata ga itta
Kami-sama wa kitto miteru yotte
You hajimete waraeta
Motto ki no kiita koto itte yo

Hajimete tsukutta uta
Tokidoki hitori kuchizusamu

Wasure sou ni nattara
Ano hi no atashi wo sagasu no

Datte tadoritsukitai basho wa
... Kawara nai

You anata ga itta
Kami-sama no hanashi mo ima wa
You shinjite miru yo
Utau koto shika dekinai mou daijoubu yo

Atashirashiku ikite iyou"
Yui,Che.r.ry,/y/yui/cherry_20654425.html,"Tenohira de furueta
Sore ga chiisana yuuki ni natte ita n' da
Emoji wa nigate datta
Dakedo kimi kara dattara wakuwaku shichau

Henji wa sugu ni shicha dame da tte
Dareka ni kitta koto aru kedo
Kakehiki nante dekinai no

... Suki na no yo ah ah ah ah

* Koi shichatta n' da
Tabun kidzuite'nai deshou?
Hoshi no yoru negai komete che. Are. Ry
~Yubisaki de okuru kimi e no messe-ji

Sakura ga saite iru
Kono heya kara mieteru keshiki wo zenbu
Ima kimi ga kanjita sekai to
10(juu)byou torikaete morau yori

Hon no ichigyou demo kamawanai n' da
Kimi kara no kotoba ga hoshii n' da
Uso demo shinjitsudzukerareru no

... Suki dakara ah ah ah ah

* Repeat

Amaku naru kajitsu ga ii no
Nanigenai kaiwa kara sodatetai ah ah ah ah

Koi no hajimari mune ga kyun to semaku naru
Itsu made mo matte iru kara
Haru no tsumetai yokaze ni azukete messe-ji

* Repeat"
Yui,Cloudy,/y/yui/cloudy_20657611.html,"Naze motto
Hayaku ie nakatta no?

... Konnan ja kanashikutte
... Konnan ja oware nai

Wakatteru mitai na
Kao bakari misete

Shinji atte mata utagatte
Kyori wo chidimete hoshii
Everyday togireru nai you ni

Ah ae nai toki ni wa
Keitai mitsumeta
Meeru dakede mo yokatta

Ah I want you. Because I love you.
Zutto matteta no ni
Sugita jikan ha cloudy love

Moshikashite
Suki na hito demo dekita no?

... Sonnan ja sabishikutte
... Sonnan ja yuzure nai

Wakatteru mitai na
Koto bakari itta kedo

Shinjiteta kotoba wo zenbu
Kyori wa hanarete ita
Everyday doushitara yokatta no?

Ah ae nai toki ni wa
Keitai mitsumeta
Meeru dakede mo yokatta

Ah I want you. Because I love you.
Zutto matteta no ni
Sugita jikan ha cloudy love"
Yui,Cooking,/y/yui/cooking_21501503.html,"買い物に
出かけるわ
今日はあなたと二人の
食卓になる
テレビを観てる
そのすきにそっと
切り抜いたレシピ覗いて
Let's cooking
手際良く
パンチェッタ炒めながら
今日は寒かったわねと
労うの

ソファ越しに
ふりむいている
あなたとおしゃべりする
時間が好き
卵を二つ
よくかき混ぜたら
ひと摘みスパイス加えて
Let's cooking
新鮮な赤いトマトはそのまま
張り切って見えないように
盛りつけた

本当は
得意じゃないの
でも
あなたに
褒めてもらうの
嬉しくて
恋してる
毎日が変わった
幸せの途中が
一番いい…
美味しいよと
目を丸くさせた
あなたが
優し過ぎて
怖くなる
I think while
cooking"
Yui,Crossroad,/y/yui/crossroad_20653505.html,"Hidamari no naka de hashagu kodomo tachi
Mizu shibuki agaru kedo
Umaku waraenakute tada bonyari
Sonna keshiki miteru

Henji no nai meeru bakari
Ki ni shite shimau no wa mou yame you

Aruki dasu boku tachi ni
Atatakai kaze ga fuita
Sayonara no kawari ni

Kotae nado
Mitsukerarenai deki goto ga
Kore kara mata
Bokura wo nayamaseru Baby

Tabidachi no crossroad
Watatte shimatta
Fukuzatsu ni sure chigau
Namida no katachi tte
Minna chigau hazu datte itteta

Komorebi ni me wo hosometa n da
Mabushi sugiru mirai ga yonderu

Aruki dase boku tachi wa
Atatakai kaze no naka ni
Tachi domatterarenai

Kotae nado
Mitsukerarenai deki goto ga
Kore kara mata
Bokura wo nayamaseru

Soba ni ita ano goro ga
Omoide ni kawatte yuku
Sayonara no kawari ni

Namikimichi shabon dama
Tooku made tonde kieta
Good bye
Kanashimi no mukou

Aruki dasu boku tachi ni
Atatakai kaze ga fuita
Sayonara no kawari ni

Kotae nado
Mitsukerarenai deki goto ga
Kore kara mata
Bokura wo nayamaseru Baby

Good bye my love oh baby"
Yui,Daydreamer,/y/yui/daydreamer_20748736.html,"Dare ni mo shirarenai you na supi-Do de Run away
Akai kuruma hashirasete machi wo deru no

Genjitsu wa itsumo no te-Buru no ue Faraway
Hoduzue wo tsukinagara nemuru

Nee suriru ga hoshiku naru

Chotto kiken sugiru kara yametoki na yo to
Iwaretemo ato ni wa hikikaesu you na koto wa dekinai

Atashi ga saigo hitori soko ni nokottemo
Tatakau no yume no naka kuusou no Daydreamer

Dareka no sakebu koe ga kikoetara Hurry up
Sugu ni tasuke ni yuku kara ne tsutaete

Genjitsu wa motto nasakenai hodo Ah cry
Umaku ikanai to nageiteru

Nee yuuki ga hoshiku naru

Sotto kimochi furuwasete kakato narashite
Tobidashita ima nara sukoshi wa jibun wo kaeraresou yo

Atashi wa itsumo hitori konna ketsumatsu wo
Omou dake yume no naka kuusou no Daydreamer

Can I change? Terebi de no kodoku na hirotachi
Sonna koto ja nai no motto riaru ni kagayakitai no

[I change me! ]

Chotto kiken sugiru kara yametoki na yo to
Iwaretemo ato ni wa hikikaesu you na koto wa dekinai

Atashi ga saigo hitori soko ni nokottara
Kondo koso tatakau no
It's now or never Daydreamer"
Yui,Driving Today,/y/yui/driving+today_20776598.html,"Umi made ikitai na menkyo ga toreta nara
Kuruma ni norikonde hitori de doraivu

Daremo mita koto ga nai taiyou wo koete yuku
Akogarete iru sunset driving today

Kimama ni ikite yuku sonnan ja nai keredo
Akai sora miagete nakitai kibun

Dareka no sei ja nai kaze wo kanjite itai
Tokai no kotori wa nakanai

Naritsuzukeru denwa no beru
Mou tsukarete shimatta yo

Dareka ni aitakute koishiku natta nara
Kaeru tsumori sunset driving today"
Yui,Es.car,/y/yui/escar_21036128.html,"Ooki na kaabu wo magatte chikazuku...
Bonyari mieru are ga Enoshima ne?

134 gousen kara
Miwatashitanda buruu no sora

Tabun
Koishiteru

Anata no sugusoba ni
Atashi ja dame kana?

Kira kira hikaru umi no mukou ni
Saafuboodo ga ireru

Shinkirou?
I'm in love

Kamakura atari aruku to omotteta kara
Shiranai basho ni ukareteiru no

Tenbou toudai ni nobottara
Sotto imajinai wo kakeru wa

Gomen
Koishiteru

Famiresu no chuushajou
Juutai shiteru mitai yo

Sara sara no kami nagareru hito ni
Shisen kinisuru

Shinpai dawa...
I'm in love

Sandounuke esukaa ni notte
Oh Baby Oh Baby

Choujoutsuite kaze ni natte
Mou Happy dane sou Happy dane

Anata no sugusoba ni
Atashi ja dame kana?

Kira kira hikaru namida no mukou ni
Egao ga ireru

Onegai Ve-nus...

Kaerimichi no tochuu
Nemutte shimatta

Yuugure no Enoden
Te wo furu kodomo

Aimai na Thank you...

Shinkirou?
I'm in love"
Yui,Feel My Soul,/y/yui/feel+my+soul_20650456.html,"Naki tsukareteta n da toikakeru basho mo naku
Mayoi nagara tsumazuite mo tachi tomarenai

Kimi ga kureta egao otoshita namida wa
Boku no mune no fukai kizu ni furete kieta

I feel my soul Take me away sou tatta hitotsu wo
Kitto dare mo ga zutto sagashite iru no

Sore wa guuzen de wa nakute itsuwari no ai nanka ja nakute
You're right, all right
You're right, all right Scare little boy

Nando mo kuri kaesu dou ka ikanai de
Sasayaku you na kimi no koe wa itoshikute

I feel my soul Take me away mou furimukanai
Kitto kono te de ima tashikametai yo

Itsu mo tanjun na hodo kurushinde ikite yuku imi wo shiritai kara
You're right, all right
You're right, all right Scare little boy

Sotto tsubuyaita kimi no kotoba you say it
Ugoki dase mienai kedo michi wa hirakareteru

I feel my soul Take me away sou mogaki nagara mo
Kitto kono mama zutto aruite yukeru

Sore wa guuzen de mo nakutte arifureta yume nanka ja nakutte
You're right, all right You're right, all right

Itsu mo tanjun na hodo kurushinde yorokobi no imi wo shiritai kara
You're right, all right
You're right, all right Scare little boy"
