artist,song,link,text
ZAYN,A Whole New World (End Title),/z/zayn+malik/a+whole+new+world+end+title_1631281.html,"(feat. Zhavia Ward)

(Aladdin Soundtrack)

[Verse 1: ZAYN]
I can show you the world: shining, shimmering, splendid
Tell me, princess, now when did you last let your heart decide?
I can open your eyes, take you wonder by wonder
Over, sideways, and under on a magic carpet ride

[Chorus: ZAYN & Zhavia Ward]
A whole new world, a new fantastic point of view
No one to tell us ""no,"" or where to go
Or say we're only dreaming
A whole new world, a dazzling place I never knew
But when I’m way up here, it's crystal clear
That now I'm in a whole new world with you
Now I’m in a whole new world with you

[Verse 2: Zhavia Ward]
Unbelievable sights, indescribable feeling
Soaring, tumbling, freewheeling
Through an endless diamond sky

[Chorus: Zhavia Ward, ZAYN, & Both]
A whole new world (Don't you dare close your eyes)
A hundred thousand things to see (Hold your breath; it gets better)
I'm like a shooting star, I've come so far
I can't go back to where I used to be
A whole new world, with new horizons to pursue
I'll chase them anywhere, there's time to spare
Let me share this whole new world with you

[Instrumental Bridge]

[Chorus: Zhavia Ward, ZAYN, & Both]
A whole new world (A whole new world)
A new fantastic point of view
No one to tell us ""no,"" or where to go
Or say we're only dreaming
A whole new world (Every turn, a surprise)
With new horizons to pursue (Every moment, red-letter)
I’ll chase them anywhere, there’s time to spare
Anywhere, ooh, ooh (There's time to spare)
Let me share this whole new world with you

[Outro: Zhavia Ward, ZAYN, & Both]
A whole new world (A whole new world)
That’s where we'll be (That's where we'll be)
A thrilling chase (A wondrous place)
For you and me"
ZAYN,All That,/z/zayn+malik/all+that_21580003.html,"[Verse 1]
When I woke up this morning
The sun had just dawned in
My bed, or your bed
Was the first or the last time
I don't care, it feels right
I'm not, not stopping all night
Things fall apart and in a part you feel distant
Reaction are instant if emotions are constant
Let's say for instance that you had an conscious
Would you take the time then to weigh out the options

[Chorus]
All that, all that
You can give me all that
All that, all that
All that, all that
You can give me all that
Stay here in the morning
You can take it all back
All back, all back
Baby, if you want to you can give me
All that, all that

[Verse 2]
Never cross my mind
Have I crossed the line
Or more defined, more defined
I think inside immortalized
Mortalized, moral life
Coming from both sides
An attack of the mind
Like Optimus prime in his prime
Kick it don't skip it, to the finish line
This minute's mine

[Chorus]
All that, all that
You can give me all that
All that, all that (you can give me all that)
All that, all that
You can give me all that
All that, all that
Stay here in the morning
You can take it all back
If you want to you can give me
All that, all that"
ZAYN,BLUE,/z/zayn+malik/blue_21107634.html,"[Verse 1]
In the clouds where the angels sing
In her eyes, where I wanna be and her smile is all I see
She knows I need her loving
She knows I need her touching
She plays with my heart and emotion
I give her my love and devotion
She gives thoughts and a notion
I need her body, it needs me too

[Chorus]
I need somebody to
Love me blue

[Bridge]
I've been doing it wrong for too long
I said I've been at it wrong for too long
I've been doing it wrong for too long

[Verse 2]
In the clouds where the angels sing
It's her smile, yeah it's all I see, in her eyes, where I wanna be
She knows I need her loving
She knows I need her touching
She plays with my heart and emotion
I give her my love and devotion
She gave me her thought and a notion
I need her body, she needs me too

[Chorus]
I need somebody to love
Love me blue
Love me blue
Love me blue
Love me blue"
ZAYN,BRIGHT,/z/zayn+malik/bright_21107635.html,"[Verse 1]
I found my life in between shots and getting high
The cage I was in fell away when she asked me to dance again, yeah
I found my life in between a first kiss and a last goodbye
The dust settled down, now I can see through the crowd

[Pre-Chorus]
I'm loving the colour white
Surrounding your colored eyes
Though she is the kryptonite
She stays in my crib tonight
I light her like dynamite
Load her like gigabyte
Turn out the fucking lights
I wanna see you bright

[Chorus]
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you

[Verse 2]
For the love in my mind, love for the bass
She likes getting high just for the day
She's different in night, she knows what I say
Free of the flash, dirt on your shoes, I don't know you

[Pre-Chorus]
I'm loving the colour white
Surrounding your coloured eyes
Though she is the kryptonite
She stays in my crib tonight
I light her like dynamite
Load her like gigabyte
Turn out the fucking lights
I wanna see you bright

[Chorus]
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright

[Bridge]
I found my life in between shots and getting high
The cage I was in fell away when she asked me to dance again

[Chorus]
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you bright
I wanna see you"
ZAYN,Back To Life,/z/zayn+malik/back+to+life_21579975.html,"[Verse 1]
What if I changed my mind
What if I said it's over
I been flying so long
Can't remember what it was like to be sober
What if I lost my lives
What if its taking over
What if I forget my lies
And I lose all my composure

[Pre-Chorus]
Honestly she's the only one that's watching over me
Gives me oxygen when it gets hard to breathe
And if I'm wrong or right
She's always on my side
And if I lose the fight

[Chorus]
I know she'll bring me back
Bring me back, bring me back to life
Bring me back
Bring me back, bring me back to life

[Verse 2]
What if we never met
What if I never saw her
Cause I've been burning up for so long
In a world that just keeps getting colder

[Pre-Chorus]
Honestly she's the only one that's watching over me
Gives me oxygen when it gets hard to breathe
And if I'm wrong or right
She's always on my side
And if I lose the fight

[Chorus]
I know she'll bring me back
Bring me back, bring me back to life
Bring me back
Bring me back, bring me back to life

[Bridge]
Nobody does this like you
I've been around the world
I seen a lot of girls
I been a lot of places
I seen a lot of faces
Nobody does this like you

[Pre-Chorus]
Honestly she's the only one that's watching over me
Gives me oxygen when it gets hard to breathe
And if I'm wrong or right
She's always on my side
And if I lose the fight
I know she'll bring me back to life"
ZAYN,BeFoUr,/z/zayn+malik/befour_21107275.html,"[Intro]
I've done this before
Not like this

[Verse 1]
I don't drink to get drunk
I feel all the right funk
If there's something I want
I'll take all the right wrongs
Now, I'm gonna stay in my zone
I'm tired of picking that bone
And I can't be bothered
To fight it no more, no

[Pre-Chorus]
Numb on a roof
Set it on fire
Just to give me proof
I'm living on a wire
Numb on a roof
Set it on fire
Just to give me proof
I'm living on a wire

[Chorus]
So say what you wanna say, what you wanna
So say what you wanna say, what you gotta say, now
So say what you wanna say, what you want
Shame is you won't say that to my face

[Post-Chorus]
I've done this before
Not like this, not like this

[Verse 2]
Time for me to move on
So many hours have gone
Heart beats the pump of my blood
No strings for you to pull on
You've got your tongue in your cheek
So pardon if I don't speak
Can't tune my chords
Into your songs, no

[Pre-Chorus]
Numb on a roof
Set it on fire
Just to give me proof
I'm living on a wire

[Chorus]
So say what you wanna say, what you wanna
So say what you wanna say, what you gotta say, now (So say what you wanna say)
So say what you wanna say, what you want
Shame is you won't say that to my face

[Post-Chorus]
I've done this before
Not like this, not like this

[Chorus]
Flashing lights, so say what you wanna say, what you wanna
So say what you wanna say, what you gotta say, now
So say what you wanna say, what you want
Shame is you won't say that to my face
So say what you wanna say, what you wanna
So say what you wanna say, what you gotta say, now
So say what you wanna say, what you want
Shame is you won't say that to my face

[Post-Chorus]
I've done this before
Not like this, not like this
I've done this before
Not like this, not like this"
ZAYN,Better,/z/zayn+malik/better_1766323.html,"[Verse 1]
Hope I only leave good vibes on your living room floor
It hurts so bad that I didn't when you asked for more
Your dad probably loves me more than he ever did now
'Cause I finally got out
Yeah, we finally knocked down

[Pre-Chorus]
'Cause sometimes it's better that way
Gotta let it go so your heart don't break
'Cause I love you
Yeah, baby, I love you
Just this one time, hear what I'm tryna say
Know you might not feel quite the same way
But I love you
I tell you, I love you

[Chorus]
Why? Why wait to fight?
Give it a try
Or I'll say goodbye while it's right
Can we save tears in your eyes?
I'm making you cry
Why wait to hate, can we save love?

[Verse 2]
I fell in, I'm falling, I'm for you
I can't let you fall through the floor too
It's a gamble to take any more of you
(It's a gamble to take-take more you)
Still in my mind sometimes, I must admit it
Like it's a crime on trial, I got acquitted
Me and you wasn't meant, we wasn't fitted
Like it's a glove, I hated to admit it

[Pre-Chorus]
'Cause obviously, we go back
So why would we ruin that?
In too deep, we're rearranged
Now you wanna ask for names
We can't let this fruit go bad
Sayin' things we can't take back
In too deep, we're rearranged
Say you feel the same

[Chorus]
Why? Why wait to fight?
Give it a try
Or I'll say goodbye while it's right
Can we save tears in your eyes?
I'm watching you cry
Why wait to hate, can we save love?"
ZAYN,BoRdErZ,/z/zayn+malik/borderz_21107630.html,"[Verse 1]
She is the life of the party
Don't stick that knife in my body
It's something she always wanted
It's for a good cause you're doing a good job
And we're off where the wind blows
And I don't care where we go
Just like the ocean
You change what I see

[Pre-Chorus]
They don't know what I know
How long I've had to hold
You're like a commotion
All because of me

[Chorus]
So take it off, let's break down all of our walls
Right now I wanna see it all
I don't wanna cool off, so let's cross the lines we lost
Right now I wanna see it all
You were right on the border
Give me all of this
Give me all of you
Don't fall on me
Don't lean on me

[Verse 2]
Beautiful insanity
You're like a movie, change the scene
Taste your sweet profanity
It's is all for a good cause think you're doing a good job

[Pre-Chorus]
They don't know what I know
How long I've had to hold
You're like a commotion
All because of me

[Chorus]
So take it off, let's break down all of our walls
Right now I wanna see it all
I don't wanna cool off, so let's cross the lines we lost
Right now I wanna see it all
You were right on the border
Give me all of this
Give me all of you
Don't fall on me
Don't lean on me
You were right on border

[Bridge]
Give me all of this, give me all of you
No falling in, don't need no proof
Give me all of this, give me all of you
No falling in, don't need no proof

[Chorus]
So take it off, let's break down all of our walls
Right now I wanna see it all
I don't wanna cool off, so let's cross the lines we lost
Right now I wanna see it all
You were right on the border
Give me all of this
Give me all of you
Don't fall on me
Don't lean on me
You were right on the border"
ZAYN,Can't Help Falling In Love,/z/zayn+malik/cant+help+falling+in+love_21205693.html,"(Elvis Presley cover)

[Verse 1]
Wise men say
Only fools rush in
But I can't help falling in love with you
Shall I stay?
Would it be a sin?
For I can't help falling

[Chorus]
Like a river flows
Surely to the sea
Darling, so it goes
Some things are meant to be

[Verse 2]
Take my hand
Take my whole life too
For I can't help falling in love with you

[Chorus]
Like a river flows
Surely to the sea
Darling, so it goes
Some things are meant to be

[Verse 3]
Take my hand
Take my whole life, too
For I can't help falling in love with you
Falling in love with you
I've been falling for you, baby
I, I can' help falling
I just can't help falling in love
I, I can' help falling
I just can't help falling in love
I just can't help falling in love"
ZAYN,Can't Say Goodbye,/z/zayn+malik/cant+say+goodbye_21130401.html,"(feat. Timbaland)

Lyrics for this song has not yet appeared. Check out this page on the release date of the song.

We have a lot of other great lyrics that you like."
ZAYN,Common,/z/zayn+malik/common_21579977.html,"[Verse 1]
Always lookin' out behind my fences
Always felt isolated, oh-oh-oh
I don't know why I was so defensive
I'll find a way to let you in

[Pre-Chorus]
I will die if I don't try
Damned if I ask why
This is somethin' real
This is somethin' right
Never been in love
Never found it at all until now

[Chorus]
As I lay here in your bed
I need you on my chest
To warm me all the time
To tickle with your breath
Sweetin' on your lips
There ain't nothin' common 'bout us
In this ordinary world
Where nothin' is enough
Everything is grey
Mistake your love for lust
When I hold you in my arms
There ain't nothin' common 'bout us

[Post-Chorus]
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us

[Verse 2]
I see all your flaws and imperfections
But that's what makes me love you more, oh-oh-oh
We got such a spiritual connection
Don't you know you're fuckin' beautiful

[Pre-Chorus]
I will die if I don't try
Damned if I ask why
This is somethin' real
This is somethin' right
Never been in love
Never found felt at all until now

[Chorus]
As I lay in your bed
I need you on my chest
To warm me all the time
To tickle with your breath
Sweetin' on your lips
There ain't nothin' common 'bout us
In this ordinary world
Where nothin' is enough
Everything is grey
Mistake your love for lust
When I hold you in my arms
There ain't nothin' common 'bout us

[Post-Chorus]
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us

[Bridge]
I wanna feel your love
Just give me all your trust
Common ain't us
'Cause common ain't enough

[Chorus]
In this ordinary world
Where nothin' is enough
Everything is grey
Mistake your love for lust
When I hold you in my arms
There ain't nothin' common 'bout us

[Post-Chorus]
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us
There ain't nothin' common 'bout us"
